sampling,invalid_value,missing_value,floating_point,distribution_shape,multicollinearity,normalization,outlier,punctuation,stopword,lowercase,whitespace,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,ot_Age,corr_Workclass,ot_Workclass,corr_fnlwgt,ot_fnlwgt,corr_Education,ot_Education,corr_Education_Num,ot_Education_Num,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,corr_Country,ot_Country,utility_sp
2,4,1,1,2,1,4,4,1,2,1,2,1,0.19561815336463223,0.19342723004694837,0.17984,1.99469,0.04001722031604856,3.1814814814814816,2902.99,0.47,84.31,0.3,2902.99,0.42,274.36,0.27,1157.92,0.27,443.47,0.21,252.05,0.39,459.18,0.34,18.96,0.13,88.28,0.33,192.0,0.09,325.46,0.06,325.46,0.19,48.0,0.08,0.15697838478469442
3,2,8,2,5,1,3,5,2,1,1,1,1,0.22597482345716918,0.22689591648756524,0.18486,1.93514,0.04154065670299798,3.2115059221658204,270.84,0.48,70.41,0.32,153.65,0.38,332.27,0.29,177.56,0.29,545.47,0.21,310.26,0.41,552.51,0.36,23.31,0.15,104.5,0.34,247.7,0.09,382.51,0.13,168.05,0.27,64.08,0.09,0.18993681947270993
2,4,1,4,3,1,2,5,1,1,2,2,1,0.17433489827856025,0.1755868544600939,0.18294,1.87475,0.04151530504599342,3.1913043478260867,117.46,0.5,118.42,0.3,117.46,0.46,342.02,0.49,136.69,0.28,585.31,0.22,323.19,0.4,607.87,0.34,23.92,0.14,119.86,0.35,126.42,0.09,141.18,0.05,141.18,0.18,42.73,0.08,0.17338598314671885
1,2,3,3,4,2,5,7,1,1,2,2,1,0.17867452859160984,0.18070143111602482,0.19324,1.95989,0.043232609460199765,3.1483938547486034,414.09,0.31,1515.61,0.29,2550.17,0.22,1449.57,0.41,2610.2,0.33,161.61,0.15,541.44,0.34,131.43,0.09,1012.65,0.39,621.4,0.31,13210.14,0.29,2807.91,0.07,2621.97,0.04,575.22,0.26,0.17577863520642034
4,1,3,1,1,2,3,3,1,2,1,2,1,0.1902785463936543,0.19000184467810366,0.17405,0.9143,0.04343847430949822,4.473873873873874,0.0,1.0,230.08,0.15,723.05,0.26,271.88,0.5,738.23,0.68,0.0,1.0,152.61,1.0,0.0,1.0,622.79,0.37,14.02,0.15,678.83,1.0,599.37,0.22,0.12826605904191402,,,,
4,2,2,4,4,1,4,5,2,1,2,2,1,0.19396790260099614,0.1941523704113632,0.19394,1.02147,0.04848594447938725,3.6454545454545455,7313.4,0.47,255.35,0.31,88.61,0.32,826.13,0.28,13034.32,0.28,1583.67,0.25,831.94,0.51,1625.93,0.71,118.44,0.17,397.03,1.0,1410.16,0.07,1020.06,0.15,213.7,0.27,79.25,0.09,0.15878957141076103
1,1,5,1,2,1,5,8,1,2,1,2,1,0.268902401572385,0.2719120447146981,0.19072,1.90005,0.043090196877221494,3.1914821124361157,2988.68,0.42,405.41,0.3,2988.68,0.41,1558.95,0.29,5271.0,0.29,2593.09,0.22,1484.61,0.41,2658.55,0.34,163.04,0.14,555.43,0.34,1232.63,0.08,333.72,0.15,333.71,0.26,131.45,0.09,0.18006143223326232
4,4,3,4,1,2,3,3,1,2,1,2,1,0.17699686404722376,0.17699686404722376,0.18121,0.92278,0.04524361923808687,4.348591549295775,0.0,1.0,255.92,0.15,739.53,0.26,288.57,0.5,756.52,0.68,0.0,1.0,162.61,1.0,0.0,1.0,276.66,0.44,703.94,0.51,12.99,0.15,698.39,1.0,698.39,1.0,270.65,0.15,0.13944626764598636
2,2,8,1,4,2,2,3,1,2,2,1,1,0.1975839475839476,0.1986076986076986,0.15469,1.70741,0.03605998300298816,3.8597122302158273,0.0,1.0,82.43,0.4,287.7,0.23,112.78,0.52,278.8,0.35,0.0,1.0,45.14,0.37,0.0,1.0,528.94,0.47,2470.55,0.37,2.22,0.14,1979.65,1.0,2827.51,0.26,0.10010866804030596,,
1,1,1,4,5,1,4,2,1,2,2,2,1,0.24382833270034182,0.24382833270034182,0.21017,2.58109,0.04230502728222896,3.133437990580848,27727.43,0.38,297.94,0.27,27727.43,0.37,1209.03,0.24,4474.79,0.24,2177.62,0.17,1181.31,0.4,2231.7,0.3,83.01,0.1,509.41,0.28,61987.96,0.06,55210.18,0.08,31288.93,0.2,99.37,0.06,0.1955266466297555
1,1,3,2,5,2,2,8,1,2,1,1,1,0.2455623118973036,0.24402677968183772,0.18805,1.91923,0.042353643586250364,3.2145762711864405,401.14,0.3,1586.34,0.29,2587.84,0.21,1497.35,0.41,2654.1,0.34,153.91,0.15,546.08,0.34,136.76,0.09,543.55,0.37,556.28,0.29,638.82,0.08,579.24,0.26,0.1787530003820979,,,,
4,1,2,1,2,1,1,6,2,1,1,2,1,0.27614831211953517,0.27614831211953517,0.19251,0.98153,0.048130972680382224,3.8209737827715355,39012.64,0.41,266.64,0.0,39012.64,0.4,816.83,0.0,59595.87,0.32,1439.2,0.0,738.15,0.0,1483.24,0.0,114.7,0.0,361.51,0.0,937.53,0.06,51.68,0.13,51.68,0.25,95.24,0.0,0.2079955776279274
4,3,7,3,3,1,5,7,1,2,1,2,1,0.2529053680132817,0.25364323925475,0.19348,0.98326,0.04837241579353002,3.6644457904300425,1.2,0.33,273.34,0.31,1.2,0.36,932.15,0.28,13929.42,0.28,1756.13,0.26,862.66,0.51,1793.62,0.71,129.81,0.17,426.72,1.0,906.44,0.07,143.42,0.15,143.42,0.27,80.15,0.08,0.16589121268016677
4,1,4,1,3,2,1,4,2,1,1,1,1,0.24211400110680686,0.24211400110680686,0.199,0.98055,0.04975260446549666,3.7883663366336635,273.56,0.0,935.66,0.0,1063.63,0.0,852.24,0.0,1853.37,0.0,94.56,0.0,462.43,0.0,78.76,0.0,39079.5,0.33,154949.52,0.28,299.79,0.08,826.65,0.26,0.1625810402481554,,,,
3,3,3,4,3,1,5,8,1,1,2,2,1,0.2450107460853546,0.24040528093337427,0.18335,1.86439,0.04168144666010581,3.3220640569395017,13.04,0.35,69.96,0.31,13.04,0.31,279.1,0.29,3765.85,0.29,557.1,0.21,278.83,0.41,566.57,0.37,21.66,0.14,103.31,0.35,321.55,0.08,104.79,0.13,104.79,0.24,50.51,0.08,0.13765171315026314
1,3,8,1,4,1,4,4,1,2,1,2,1,0.20748111295374977,0.2075425342423684,0.19769,2.0013,0.04392663061988083,3.1733634311512415,264.39,0.31,319.11,0.31,264.39,0.32,1172.99,0.28,14302.14,0.28,1915.21,0.21,1092.53,0.4,1960.23,0.33,103.55,0.15,439.45,0.33,2258.51,0.08,475.86,0.14,475.72,0.23,106.3,0.1,0.15037671608080433
1,4,7,4,3,1,4,7,2,1,2,1,1,0.2470978441127695,0.2472821079786254,0.18933,1.9923,0.04213163725261781,3.0620209059233447,20021.64,0.59,422.93,0.31,2352.32,0.36,1429.49,0.29,21077.39,0.29,2390.54,0.21,1392.22,0.41,2441.37,0.33,156.51,0.15,500.05,0.33,1599.7,0.08,389.99,0.15,387.09,0.27,129.42,0.09,0.17169453987123073
2,4,3,4,3,1,2,5,2,2,2,2,1,0.19983619983619982,0.20515970515970516,0.18602,1.89737,0.042054769390518026,3.151764705882353,152.98,0.46,170.7,0.3,201.11,0.37,404.95,0.29,156.55,0.29,740.56,0.21,394.07,0.4,754.11,0.35,33.95,0.14,149.92,0.35,156.74,0.08,174.32,0.04,137.56,0.26,51.82,0.09,0.18255022207632662
4,3,3,2,1,1,5,4,1,2,2,2,1,0.22532743036340158,0.2268031728463383,0.19695,0.9916,0.049243963771713105,4.021172638436482,234.77,0.29,198.6,0.3,234.77,0.23,687.96,0.27,5479.42,0.27,1388.59,0.25,646.41,0.51,1442.44,0.72,81.4,0.15,373.65,1.0,1369.95,0.06,214.19,0.13,214.19,0.2,67.25,0.09,0.19582291745574829
2,2,5,1,2,1,5,6,2,2,2,1,1,0.24918099918099917,0.25552825552825553,0.179,1.8854,0.040547622748773035,3.2893815635939325,1205.25,0.51,165.3,0.3,903.02,0.42,414.16,0.49,1776.28,0.28,743.69,0.22,410.74,0.4,758.8,0.35,36.9,0.13,148.2,0.35,343.12,0.08,106.38,0.14,106.5,0.27,49.79,0.08,0.16142814007688516
4,1,5,3,2,1,1,7,1,1,2,1,1,0.2726434237225604,0.2726434237225604,0.17487,0.95577,0.043700527314498035,3.9089563286454476,41151.75,0.41,204.77,0.0,41151.75,0.39,830.65,0.0,61657.69,0.32,1418.77,0.0,724.46,0.0,1447.04,0.0,113.8,0.0,311.31,0.0,925.1,0.06,55.8,0.13,55.8,0.25,95.87,0.0,0.16099561510581534
4,4,6,1,1,1,3,2,1,1,2,1,1,0.2276332779929902,0.22726434237225604,0.19568,1.03722,0.04890941852023239,3.965272856130404,280.77,0.44,171.57,0.29,344.73,0.22,763.22,0.25,239.03,0.25,1552.39,0.24,705.31,0.51,1611.55,0.71,71.91,0.13,415.6,1.0,309.14,0.06,190.83,0.03,108.81,0.1,75.44,0.07,-0.07994113922549223
3,1,2,1,5,1,3,5,2,2,2,1,1,0.22689591648756524,0.22443966840650906,0.18396,1.93617,0.04133032154885108,3.195945945945946,151.49,0.39,71.43,0.31,151.49,0.42,329.48,0.29,172.71,0.29,543.27,0.21,304.54,0.41,550.0,0.36,24.01,0.15,102.99,0.34,242.83,0.09,389.26,0.14,162.26,0.24,64.23,0.09,0.19030732860520094
4,2,9,3,4,2,4,7,2,1,1,1,1,0.2271721084670725,0.22707987456188894,0.19652,0.99557,0.049135996000315214,3.7660236465463597,242.73,0.31,918.02,0.28,1802.66,0.26,850.92,0.51,1856.23,0.71,119.52,0.17,444.83,1.0,78.02,0.09,8933.53,0.55,73.19,0.32,14566.54,0.28,1494.63,0.07,234.75,0.26,0.16810578494453254,,
4,1,3,1,4,2,5,4,1,1,1,1,1,0.19996310643792659,0.20116214720531267,0.1951,0.99935,0.04878217408151283,3.8678343949044587,180.74,0.3,667.16,0.27,1358.62,0.25,613.87,0.51,1404.39,0.71,84.41,0.16,355.23,1.0,76.05,0.09,197.21,0.29,8784.77,0.27,1221.26,0.07,184.42,0.23,0.14006412670910393,,,,
4,3,9,1,1,2,1,1,1,2,2,1,1,0.1902785463936543,0.1902785463936543,0.19078,0.99954,0.047699862489546975,3.8147333699835073,276.7,0.0,1046.41,0.0,1924.44,0.0,951.4,0.0,1984.55,0.0,105.9,0.0,483.1,0.0,95.26,0.0,1041.59,0.29,133235.87,0.28,165.64,0.08,1103.34,0.19,0.08271004253313056,,,,
4,4,8,4,2,2,2,7,2,2,2,2,1,0.2730123593432946,0.2730123593432946,0.18777,0.98454,0.04694465376717394,3.7448036951501154,240.39,0.3,1003.53,0.28,1798.3,0.27,909.96,0.51,1842.74,0.71,121.41,0.16,434.31,1.0,88.48,0.09,225.7,0.67,273.62,0.28,315.85,0.08,246.9,0.27,0.1814476068831241,,,,
3,4,7,1,5,2,2,5,2,2,2,1,1,0.25330058335891925,0.25330058335891925,0.18393,1.90276,0.04155223905113796,3.1979166666666665,67.06,0.31,315.75,0.29,521.6,0.21,299.95,0.53,531.12,0.35,20.6,0.15,100.78,0.34,61.81,0.09,119.17,0.58,128.62,0.29,141.24,0.09,119.27,0.24,0.18185267797970925,,,,
4,2,7,3,2,1,1,2,1,1,1,1,1,0.2806677734735289,0.2806677734735289,0.20033,1.03131,0.05007766362389901,4.0439164866810655,231889.76,0.6,201.56,0.0,44683.77,0.41,744.38,0.0,89039.15,0.23,1539.71,0.0,715.47,0.0,1597.13,0.0,70.61,0.0,440.85,0.0,1054.49,0.05,936.47,0.03,828.69,0.17,75.4,0.0,0.15381534848162629
3,1,4,2,3,1,4,3,1,1,1,2,1,0.23733497083205404,0.23794903285231808,0.16412,1.73958,0.03807708031098394,3.985781990521327,225.19,0.52,0.0,1.0,225.19,0.54,71.19,0.39,2797.44,0.14,144.58,0.17,102.89,0.51,227.41,0.35,0.0,1.0,39.95,0.37,263.69,1.0,263.69,1.0,263.69,0.2,0.0,1.0,0.0
1,2,8,4,4,2,5,4,2,1,1,2,1,0.2071740065106566,0.20686690006756342,0.19726,2.03019,0.04362066496572184,3.151178301467319,319.52,0.31,1218.49,0.28,1906.12,0.21,1104.4,0.4,1949.82,0.33,98.57,0.15,438.19,0.33,123.28,0.1,1298.31,0.49,541.98,0.28,10282.52,0.28,2089.29,0.08,483.93,0.25,0.17968301113734134,,
4,4,5,3,2,2,3,5,2,2,1,1,1,0.2784541597491238,0.2784541597491238,0.19205,0.98506,0.04801691561072681,3.880587875076546,306.3,0.31,942.61,0.28,1784.52,0.26,860.1,0.51,1837.24,0.71,104.22,0.16,449.92,1.0,92.13,0.1,598.24,0.67,177.01,0.28,1125.41,0.07,1257.16,0.25,0.08608835703028939,,,,
1,3,1,1,3,2,3,7,2,1,2,2,1,0.24056209646790733,0.23987846562856058,0.18793,1.9717,0.041962421993196664,3.220696584058942,469.28,0.3,1600.82,0.29,2569.29,0.21,1502.7,0.41,2629.25,0.34,146.33,0.14,548.65,0.34,139.14,0.1,507.47,0.39,1085.33,0.29,482.6,0.08,1900.53,0.26,0.12271698114910079,,,,
3,1,6,3,3,1,3,8,2,1,2,2,1,0.2450107460853546,0.24009824992324225,0.17958,1.92457,0.04042402626223597,3.300536672629696,45.67,0.33,58.83,0.31,45.67,0.34,273.58,0.29,303.41,0.29,532.57,0.21,264.0,0.41,533.68,0.36,22.44,0.14,96.74,0.34,83.44,0.08,135.31,0.1,257.87,0.21,56.43,0.08,0.08714676362115159
1,4,4,3,3,2,5,7,2,2,1,1,1,0.20281309501873349,0.20520852527486028,0.19192,1.91568,0.04325044003052799,3.183291422184968,499.52,0.31,1904.75,0.29,1991.21,0.18,1821.58,0.41,3150.05,0.34,183.59,0.15,682.1,0.34,155.61,0.09,3042.72,0.42,72.14,0.34,22645.95,0.29,2078.98,0.07,2800.84,0.04,520.84,0.26,0.18145390111989995
3,3,1,1,3,2,1,2,1,2,1,2,1,0.2328767123287671,0.2328767123287671,0.21784,2.76703,0.042497546589884486,2.921641791044776,58.63,0.0,237.46,0.0,469.26,0.0,251.77,0.0,470.99,0.0,12.34,0.0,101.24,0.0,63.89,0.0,12782.95,0.28,37863.29,0.25,64.87,0.08,125.02,0.23,0.11471855442271621,,,,
2,2,7,3,4,2,5,7,2,1,1,2,1,0.20741195741195742,0.20638820638820637,0.18924,1.87471,0.042941472933523475,3.3495260663507107,148.44,0.3,401.12,0.28,798.63,0.21,396.14,0.4,811.09,0.35,38.87,0.13,167.38,0.35,50.1,0.08,555.9,0.52,184.46,0.31,4480.58,0.28,740.45,0.08,206.38,0.25,0.14922944270098373,,
1,4,8,1,4,1,4,1,1,2,2,1,1,0.22216080093360357,0.2216694306246545,0.18716,2.00571,0.04155447945074113,3.2154979186679475,12584.52,0.51,445.99,0.31,335.74,0.31,1670.2,0.29,20563.53,0.29,2674.38,0.21,1566.51,0.41,2741.45,0.34,134.31,0.14,564.77,0.33,2878.63,0.08,787.99,0.14,669.81,0.21,143.24,0.1,0.16384429665551753
4,4,2,3,4,1,4,8,2,2,2,1,1,0.19396790260099614,0.1941523704113632,0.19,0.96906,0.04749299357540936,3.898399014778325,8755.15,0.51,231.75,0.31,81.95,0.25,973.43,0.28,15763.67,0.28,1860.85,0.26,892.83,0.51,1900.88,0.71,110.2,0.16,440.58,1.0,1511.18,0.06,1109.77,0.14,240.29,0.26,84.44,0.08,0.1648881554822149
4,2,5,2,2,1,5,2,1,2,2,1,1,0.28306585500830106,0.2835270245342188,0.20258,1.02779,0.050642489979528145,3.9234012649332395,2947.17,0.46,196.21,0.28,2021.85,0.4,798.29,0.23,4455.57,0.23,1536.47,0.25,722.84,0.51,1600.14,0.71,75.99,0.12,442.75,1.0,746.85,0.05,1104.98,0.03,1104.98,0.16,75.92,0.06,0.18350062211129864
3,2,2,3,1,2,5,8,1,2,2,1,1,0.1882100092109303,0.18513969910961006,0.17578,1.89603,0.03975460046798276,3.3339160839160837,67.22,0.31,314.21,0.29,565.12,0.21,299.25,0.41,575.74,0.36,25.57,0.15,96.57,0.35,55.56,0.08,40.92,0.48,179.31,0.3,1634.42,0.29,625.64,0.08,551.64,0.13,157.61,0.24,0.1429941092127766
1,2,6,4,1,2,5,8,1,1,1,2,1,0.21006080707573244,0.21356182052699466,0.18165,1.88451,0.04114479683739323,3.3063520871143375,434.81,0.31,1551.8,0.3,2438.67,0.22,1428.14,0.41,2502.89,0.33,139.67,0.15,496.26,0.35,136.61,0.09,889.81,0.46,709.47,0.31,8070.93,0.3,3206.34,0.07,614.61,0.26,0.16605902603784717,,
4,3,2,1,3,2,1,6,2,1,1,1,1,0.22966242390702823,0.22966242390702823,0.20086,1.00503,0.05022099450738327,3.578544061302682,283.54,0.0,893.96,0.0,1607.66,0.0,852.67,0.0,1658.13,0.0,103.67,0.0,422.45,0.0,93.67,0.0,33886.51,0.33,136503.52,0.28,326.32,0.09,960.59,0.28,0.18100497473417665,,,,
3,4,4,2,5,1,2,4,1,1,2,2,1,0.197420939514891,0.20509671476819158,0.19984,1.92883,0.04495434733764638,3.122241086587436,126.71,0.52,55.09,0.3,145.53,0.39,319.9,0.28,113.63,0.28,368.28,0.17,301.37,0.41,562.49,0.35,24.02,0.14,117.58,0.34,124.93,0.09,124.75,0.04,108.65,0.26,44.91,0.09,0.19565379749556983
3,4,5,1,2,2,1,8,2,1,2,2,1,0.26097635861221985,0.26097635861221985,0.1707,1.8587,0.0388408023681495,3.3833333333333333,67.11,0.0,323.61,0.0,529.67,0.0,298.75,0.0,534.91,0.0,28.48,0.0,88.12,0.0,59.29,0.0,68821.27,0.68,20023.45,0.32,291.61,0.08,19.05,0.24,0.15581828968556655,,,,
1,1,6,4,1,2,1,6,2,1,2,2,1,0.1932313739942264,0.1932313739942264,0.18566,1.99012,0.0413297900524952,3.2610837438423643,390.76,0.0,1523.29,0.0,2580.08,0.0,1438.94,0.0,2636.2,0.0,151.1,0.0,516.31,0.0,139.05,0.0,1379.15,0.32,173586.12,0.29,224.12,0.08,1614.88,0.26,0.09328615629690899,,,,
