missing_value,normalization,outlier,fselection,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,profile_median,corr_OverallQual,ot_OverallQual,corr_YearBuilt,ot_YearBuilt,corr_YearRemodAdd,ot_YearRemodAdd,corr_ExterQual,ot_ExterQual,corr_BsmtQual,ot_BsmtQual,corr_TotalBsmtSF,ot_TotalBsmtSF,corr_1stFlrSF,ot_1stFlrSF,corr_GrLivArea,ot_GrLivArea,corr_FullBath,ot_FullBath,corr_KitchenQual,ot_KitchenQual,corr_TotRmsAbvGrd,ot_TotRmsAbvGrd,corr_Fireplaces,ot_Fireplaces,corr_GarageFinish,ot_GarageFinish,corr_GarageCars,ot_GarageCars,corr_GarageArea,ot_GarageArea,utility_rmse
1,2,3,1,1,0.1567732115677321,0.1567732115677321,155000.0,0.77,0.19,0.57,0.44,0.52,0.58,4999.32,0.33,4999.31,0.05,0.57,0.21,0.52,0.21,0.74,0.23,0.59,0.02,4999.31,0.03,0.51,0.25,0.45,0.07,4999.32,0.23,0.65,0.42,0.63,0.24,148.48729142077798
1,2,4,1,1,0.1567732115677321,0.1567732115677321,165000.0,0.79,0.25,0.54,0.36,0.48,0.6,2529.6,0.05,2529.6,0.13,0.66,0.16,0.63,0.19,0.73,0.14,0.59,0.02,2529.6,0.11,0.54,0.14,0.47,0.52,2529.6,0.28,0.66,0.46,0.63,0.22,189.92263454651086
1,2,5,1,1,0.1567732115677321,0.1567732115677321,165000.0,0.81,0.25,0.56,0.43,0.52,0.61,2416.49,0.05,2416.49,0.14,0.68,0.2,0.65,0.15,0.77,0.17,0.6,0.46,2416.49,0.1,0.57,0.15,0.49,0.5,2416.49,0.28,0.68,0.48,0.69,0.29,176.07255011638
1,2,6,1,1,0.1567732115677321,0.1567732115677321,173000.0,0.83,0.13,0.6,0.38,0.54,0.55,2986.1,0.05,2986.1,0.11,0.68,0.2,0.66,0.18,0.75,0.2,0.59,0.42,2986.1,0.08,0.59,0.13,0.47,0.49,2986.1,0.27,0.71,0.43,0.7,0.24,168.69402488707502
1,2,7,1,1,0.1567732115677321,0.1567732115677321,175000.0,0.82,0.23,0.6,0.33,0.54,0.54,3076.62,0.04,3076.62,0.1,0.69,0.24,0.67,0.21,0.75,0.21,0.6,0.42,3076.62,0.06,0.6,0.12,0.47,0.49,3076.63,0.25,0.72,0.43,0.7,0.19,166.52921005676424
1,2,8,1,1,0.1567732115677321,0.1567732115677321,175000.0,0.82,0.24,0.61,0.34,0.55,0.53,3089.79,0.04,3089.79,0.1,0.7,0.24,0.67,0.2,0.76,0.23,0.61,0.01,3089.78,0.06,0.62,0.25,0.46,0.49,3089.79,0.25,0.73,0.42,0.71,0.2,165.9359062938051
1,3,1,1,1,0.1567732115677321,0.1567732115677321,167500.0,0.8,0.27,0.56,0.42,0.52,0.65,3147.99,0.05,3147.96,0.14,0.66,0.18,0.63,0.18,0.74,0.17,0.58,0.03,3147.96,0.11,0.56,0.17,0.49,0.08,3147.96,0.28,0.65,0.46,0.64,0.26,186.57432344202869
1,3,2,1,1,0.1567732115677321,0.1567732115677321,164000.0,0.77,0.19,0.6,0.36,0.55,0.58,5061.29,0.37,5061.25,0.05,0.58,0.17,0.56,0.18,0.73,0.25,0.63,0.01,5061.24,0.02,0.52,0.23,0.41,0.05,5061.25,0.2,0.64,0.1,0.62,0.24,149.87460990632485
1,3,3,1,1,0.1567732115677321,0.1567732115677321,155000.0,0.77,0.19,0.57,0.44,0.52,0.58,4999.35,0.33,4999.3,0.05,0.57,0.21,0.52,0.21,0.74,0.23,0.59,0.02,4999.3,0.03,0.51,0.25,0.45,0.07,4999.3,0.23,0.65,0.42,0.63,0.24,148.48729142077798
1,3,4,1,1,0.1567732115677321,0.1567732115677321,167000.0,0.79,0.27,0.55,0.38,0.5,0.57,2548.83,0.05,2548.81,0.13,0.67,0.17,0.63,0.14,0.73,0.15,0.58,0.02,2548.81,0.11,0.55,0.14,0.48,0.51,2548.81,0.29,0.66,0.45,0.63,0.25,188.4232401773059
1,3,5,1,1,0.1567732115677321,0.1567732115677321,168500.0,0.83,0.12,0.59,0.3,0.55,0.59,2863.53,0.04,2863.51,0.13,0.67,0.18,0.63,0.14,0.74,0.18,0.57,0.02,2863.51,0.09,0.57,0.14,0.45,0.51,2863.51,0.29,0.71,0.46,0.73,0.25,167.90069808438574
1,3,6,1,1,0.1567732115677321,0.1567732115677321,174000.0,0.82,0.12,0.6,0.32,0.56,0.6,2925.29,0.05,2925.26,0.12,0.68,0.16,0.65,0.21,0.76,0.24,0.57,0.01,2925.26,0.09,0.59,0.13,0.47,0.49,2925.26,0.29,0.72,0.44,0.72,0.27,170.1380028067334
1,3,7,1,1,0.1567732115677321,0.1567732115677321,174000.0,0.82,0.24,0.61,0.33,0.55,0.6,3025.09,0.04,3025.07,0.1,0.7,0.25,0.67,0.22,0.76,0.24,0.6,0.01,3025.06,0.06,0.62,0.12,0.47,0.5,3025.07,0.26,0.73,0.43,0.71,0.21,165.9911839849688
1,3,8,1,1,0.1567732115677321,0.1567732115677321,174000.0,0.81,0.23,0.61,0.3,0.55,0.58,3143.42,0.41,3143.39,0.09,0.68,0.23,0.66,0.19,0.75,0.29,0.6,0.01,3143.39,0.06,0.62,0.25,0.46,0.07,3143.39,0.25,0.72,0.42,0.7,0.18,165.69031243609297
1,4,1,1,1,0.1567732115677321,0.1567732115677321,167500.0,0.8,0.27,3147.94,0.05,3147.95,0.14,0.66,0.18,0.63,0.18,0.74,0.17,0.58,0.03,3147.94,0.11,0.56,0.17,0.49,0.08,3147.96,0.28,0.65,0.46,0.64,0.26,187.24157671192233,,,,
1,4,2,1,1,0.1567732115677321,0.1567732115677321,164000.0,0.77,0.19,5061.22,0.37,5061.23,0.05,0.58,0.17,0.56,0.18,0.63,0.01,5061.22,0.02,0.52,0.23,0.41,0.05,5061.24,0.2,0.64,0.1,0.62,0.24,158.44752458070235,,,,,,
1,4,3,1,1,0.1567732115677321,0.1567732115677321,155000.0,0.77,0.19,5073.61,0.33,5073.62,0.05,0.56,0.2,0.52,0.19,0.59,0.01,5073.61,0.03,0.51,0.25,0.45,0.07,5073.63,0.23,0.65,0.41,0.62,0.23,157.35625744025347,,,,,,
1,4,4,1,1,0.1567732115677321,0.1567732115677321,169990.0,0.8,0.26,2501.45,0.05,2501.46,0.14,0.66,0.16,0.63,0.14,0.74,0.17,0.59,0.02,2501.46,0.11,0.56,0.17,0.49,0.08,2501.47,0.28,0.66,0.44,0.65,0.25,189.301279557354,,,,
1,4,5,1,1,0.1567732115677321,0.1567732115677321,169000.0,0.8,0.13,2465.78,0.04,2465.79,0.13,0.69,0.17,0.67,0.2,0.78,0.15,0.58,0.45,2465.79,0.11,0.57,0.15,0.49,0.08,2465.79,0.29,0.69,0.45,0.69,0.25,177.16024091114082,,,,
1,4,6,1,1,0.1567732115677321,0.1567732115677321,170000.0,0.82,0.27,2618.59,0.05,2618.6,0.13,0.69,0.19,0.67,0.19,0.77,0.16,0.6,0.45,2618.6,0.11,0.59,0.14,0.49,0.5,2618.61,0.29,0.7,0.45,0.7,0.24,174.9954295833251,,,,
1,4,7,1,1,0.1567732115677321,0.1567732115677321,173500.0,0.8,0.26,2544.39,0.4,2544.4,0.12,0.68,0.15,0.66,0.18,0.75,0.18,0.6,0.43,2544.4,0.08,0.58,0.13,0.48,0.49,2544.41,0.3,0.68,0.43,0.68,0.23,190.36663219834014,,,,
1,4,8,1,1,0.1567732115677321,0.1567732115677321,176000.0,0.79,0.24,2767.05,0.05,2767.06,0.11,0.67,0.19,0.65,0.17,0.74,0.19,0.58,0.02,2767.05,0.07,0.57,0.13,0.45,0.48,2767.06,0.27,0.68,0.39,0.66,0.18,189.46511105172144,,,,
1,5,1,1,1,0.1567732115677321,0.1567732115677321,167500.0,0.8,0.27,0.56,0.42,0.52,0.65,3147.94,0.05,3147.95,0.14,0.66,0.18,0.63,0.18,0.74,0.17,0.58,0.03,3147.94,0.11,0.56,0.17,0.49,0.08,3147.96,0.28,0.65,0.46,0.64,0.26,186.57432344202869
1,5,2,1,1,0.1567732115677321,0.1567732115677321,164000.0,0.77,0.19,0.6,0.36,0.55,0.58,5061.22,0.37,5061.23,0.05,0.58,0.17,0.56,0.18,0.63,0.01,5061.22,0.02,0.52,0.23,0.41,0.05,5061.24,0.2,0.64,0.1,0.62,0.24,157.44484654722658,,
1,5,3,1,1,0.1567732115677321,0.1567732115677321,155000.0,0.77,0.19,0.57,0.41,0.52,0.48,5073.61,0.33,5073.62,0.05,0.56,0.2,0.52,0.19,0.59,0.01,5073.61,0.03,0.51,0.25,0.45,0.07,5073.63,0.23,0.65,0.41,0.62,0.23,155.64471792820612,,
1,5,4,1,1,0.1567732115677321,0.1567732115677321,165150.0,0.79,0.14,0.56,0.39,0.5,0.59,2442.71,0.05,2442.72,0.13,0.66,0.18,0.63,0.17,0.75,0.15,0.59,0.03,2442.71,0.11,0.58,0.16,0.47,0.09,2442.72,0.27,0.67,0.46,0.65,0.25,190.88265428759743
1,5,5,1,1,0.1567732115677321,0.1567732115677321,164700.0,0.8,0.27,0.56,0.38,0.5,0.55,2382.52,0.04,2382.53,0.13,0.7,0.18,0.67,0.16,0.79,0.17,0.6,0.01,2382.53,0.11,0.6,0.15,0.49,0.07,2382.53,0.3,0.69,0.46,0.68,0.3,176.539324528061
1,5,6,1,1,0.1567732115677321,0.1567732115677321,170000.0,0.82,0.27,0.59,0.38,0.52,0.6,2618.31,0.05,2618.32,0.13,0.7,0.17,0.68,0.17,0.78,0.19,0.6,0.01,2618.31,0.1,0.6,0.14,0.48,0.48,2618.32,0.3,0.71,0.45,0.7,0.25,172.66749727541543
1,5,7,1,1,0.1567732115677321,0.1567732115677321,172400.0,0.81,0.25,0.6,0.35,0.51,0.52,2700.8,0.41,2700.81,0.12,0.7,0.14,0.67,0.27,0.78,0.18,0.63,0.01,2700.8,0.07,0.62,0.13,0.47,0.48,2700.81,0.26,0.73,0.45,0.7,0.17,171.79658671221182
1,5,8,1,1,0.1567732115677321,0.1567732115677321,173000.0,0.81,0.24,0.59,0.35,0.5,0.54,2792.43,0.41,2792.43,0.11,0.68,0.17,0.66,0.16,0.74,0.18,0.6,0.02,2792.43,0.06,0.6,0.13,0.47,0.49,2792.44,0.25,0.72,0.44,0.69,0.18,183.66362667601467
2,1,1,1,1,0.16575342465753426,0.16575342465753426,163500.0,0.77,0.24,0.55,0.44,0.51,0.6,3575.79,0.0,3575.8,0.0,0.65,0.19,0.62,0.18,0.74,0.16,0.59,0.03,3575.79,0.0,0.56,0.17,0.48,0.08,3575.83,0.0,0.65,0.2,0.64,0.26,186.495135598788
2,1,2,1,1,0.16575342465753426,0.16575342465753426,160000.0,0.73,0.28,0.6,0.34,0.54,0.54,5195.79,0.0,5195.81,0.0,0.58,0.17,0.54,0.21,0.75,0.19,0.62,0.01,5195.8,0.0,0.53,0.24,0.41,0.05,5195.87,0.0,0.66,0.1,0.64,0.22,154.44121100450218
2,1,3,1,1,0.16575342465753426,0.16575342465753426,159000.0,0.78,0.22,0.6,0.42,0.55,0.62,4638.67,0.0,4638.68,0.0,0.63,0.22,0.59,0.27,0.72,0.22,0.59,0.02,4638.68,0.0,0.52,0.27,0.46,0.55,4638.74,0.0,0.68,0.44,0.66,0.29,160.4318837680673
2,1,4,1,1,0.16575342465753426,0.16575342465753426,165375.0,0.79,0.25,0.57,0.34,0.51,0.57,2727.66,0.0,2727.66,0.0,0.68,0.2,0.65,0.2,0.77,0.17,0.58,0.02,2727.66,0.0,0.56,0.17,0.48,0.08,2727.69,0.0,0.66,0.2,0.65,0.23,181.37144316143954
2,1,5,1,1,0.16575342465753426,0.16575342465753426,165000.0,0.79,0.24,0.57,0.32,0.54,0.58,3314.35,0.0,3314.36,0.0,0.67,0.23,0.63,0.21,0.74,0.25,0.61,0.02,3314.36,0.0,0.58,0.16,0.47,0.08,3314.39,0.0,0.68,0.17,0.71,0.26,169.60385261459857
2,1,6,1,1,0.16575342465753426,0.16575342465753426,167250.0,0.8,0.24,0.59,0.32,0.56,0.59,3769.39,0.0,3769.4,0.0,0.64,0.2,0.61,0.33,0.75,0.19,0.62,0.02,3769.4,0.0,0.56,0.15,0.46,0.07,3769.44,0.0,0.68,0.18,0.72,0.26,162.68549025443633
2,1,7,1,1,0.16575342465753426,0.16575342465753426,173000.0,0.79,0.22,0.58,0.32,0.56,0.56,3941.63,0.0,3941.64,0.0,0.63,0.16,0.6,0.29,0.74,0.28,0.61,0.02,3941.64,0.0,0.55,0.15,0.45,0.08,3941.69,0.0,0.69,0.16,0.72,0.24,163.70619393457454
2,1,8,1,1,0.16575342465753426,0.16575342465753426,172500.0,0.77,0.31,0.57,0.32,0.55,0.61,4287.66,0.0,4287.67,0.0,0.6,0.21,0.6,0.29,0.73,0.29,0.61,0.02,4287.67,0.0,0.53,0.15,0.45,0.08,4287.72,0.0,0.67,0.15,0.7,0.19,162.08519705230174
2,2,1,1,1,0.16575342465753426,0.16575342465753426,163500.0,0.77,0.24,0.55,0.44,0.51,0.6,3575.89,0.05,3575.89,0.14,0.65,0.19,0.62,0.18,0.74,0.16,0.59,0.03,3575.89,0.1,0.56,0.17,0.48,0.08,3575.89,0.28,0.65,0.2,0.64,0.26,186.49513559878798
2,2,2,1,1,0.16575342465753426,0.16575342465753426,160000.0,0.73,0.28,0.6,0.34,0.54,0.54,5195.94,0.37,5195.94,0.07,0.58,0.17,0.54,0.21,0.75,0.19,0.62,0.01,5195.94,0.01,0.53,0.24,0.41,0.05,5195.95,0.19,0.66,0.1,0.64,0.22,154.4412110045022
2,2,3,1,1,0.16575342465753426,0.16575342465753426,154000.0,0.73,0.28,0.57,0.36,0.52,0.61,5555.65,0.32,5555.64,0.05,0.55,0.26,0.5,0.22,0.73,0.17,0.6,0.01,5555.64,0.03,0.5,0.26,0.43,0.06,5555.65,0.23,0.64,0.13,0.62,0.23,151.7178562750748
2,2,4,1,1,0.16575342465753426,0.16575342465753426,163200.0,0.76,0.23,0.53,0.34,0.48,0.54,2864.15,0.05,2864.15,0.13,0.66,0.18,0.62,0.16,0.73,0.15,0.59,0.02,2864.15,0.1,0.53,0.15,0.47,0.52,2864.15,0.28,0.66,0.46,0.65,0.24,188.02440812652387
2,2,5,1,1,0.16575342465753426,0.16575342465753426,160000.0,0.79,0.22,0.55,0.35,0.51,0.6,2786.18,0.04,2786.18,0.13,0.68,0.18,0.64,0.17,0.77,0.17,0.61,0.47,2786.18,0.09,0.55,0.15,0.47,0.52,2786.18,0.27,0.68,0.47,0.68,0.25,175.22137196607935
2,2,6,1,1,0.16575342465753426,0.16575342465753426,167750.0,0.8,0.22,0.59,0.35,0.52,0.64,3441.09,0.04,3441.09,0.11,0.66,0.19,0.63,0.24,0.74,0.22,0.58,0.44,3441.09,0.07,0.55,0.13,0.47,0.49,3441.09,0.27,0.7,0.44,0.7,0.23,168.05502356812065
2,2,7,1,1,0.16575342465753426,0.16575342465753426,172750.0,0.79,0.31,0.6,0.38,0.53,0.63,3502.85,0.04,3502.85,0.09,0.67,0.26,0.65,0.22,0.75,0.2,0.6,0.43,3502.85,0.06,0.59,0.12,0.46,0.5,3502.85,0.24,0.72,0.43,0.69,0.21,168.47205013534463
2,2,8,1,1,0.16575342465753426,0.16575342465753426,173000.0,0.79,0.31,0.61,0.36,0.53,0.58,3517.75,0.04,3517.75,0.1,0.68,0.2,0.65,0.24,0.76,0.21,0.61,0.01,3517.75,0.06,0.61,0.26,0.45,0.5,3517.76,0.24,0.72,0.43,0.7,0.2,167.87280786324985
2,3,1,1,1,0.16575342465753426,0.16575342465753426,163500.0,0.77,0.24,0.55,0.44,0.51,0.6,3575.9,0.05,3575.87,0.14,0.65,0.19,0.62,0.18,0.74,0.16,0.59,0.03,3575.87,0.1,0.56,0.17,0.48,0.08,3575.87,0.28,0.65,0.2,0.64,0.26,186.49513559878798
2,3,2,1,1,0.16575342465753426,0.16575342465753426,160000.0,0.73,0.28,0.6,0.34,0.54,0.54,5195.97,0.37,5195.93,0.07,0.58,0.17,0.54,0.21,0.75,0.19,0.62,0.01,5195.92,0.01,0.53,0.24,0.41,0.05,5195.93,0.19,0.66,0.1,0.64,0.22,154.4412110045022
2,3,3,1,1,0.16575342465753426,0.16575342465753426,154000.0,0.73,0.28,0.57,0.36,0.52,0.61,5555.68,0.32,5555.62,0.05,0.55,0.26,0.5,0.22,0.73,0.17,0.6,0.01,5555.62,0.03,0.5,0.26,0.43,0.06,5555.63,0.23,0.64,0.13,0.62,0.23,151.7178562750748
2,3,4,1,1,0.16575342465753426,0.16575342465753426,164500.0,0.77,0.24,0.54,0.42,0.49,0.6,2892.1,0.05,2892.08,0.13,0.66,0.16,0.63,0.17,0.73,0.15,0.59,0.02,2892.08,0.1,0.54,0.15,0.47,0.51,2892.08,0.29,0.66,0.45,0.64,0.24,187.47734000987634
2,3,5,1,1,0.16575342465753426,0.16575342465753426,161750.0,0.8,0.23,0.58,0.35,0.53,0.58,3167.3,0.04,3167.27,0.14,0.68,0.19,0.63,0.15,0.74,0.18,0.58,0.47,3167.27,0.09,0.57,0.14,0.47,0.53,3167.27,0.28,0.7,0.47,0.71,0.3,169.59589632483588
2,3,6,1,1,0.16575342465753426,0.16575342465753426,169000.0,0.8,0.23,0.59,0.36,0.54,0.64,3325.37,0.04,3325.35,0.12,0.67,0.16,0.63,0.22,0.75,0.21,0.57,0.43,3325.34,0.08,0.57,0.12,0.47,0.5,3325.35,0.29,0.71,0.45,0.71,0.22,169.8542415357608
2,3,7,1,1,0.16575342465753426,0.16575342465753426,171000.0,0.79,0.32,0.6,0.36,0.54,0.61,3398.76,0.4,3398.73,0.1,0.68,0.16,0.66,0.19,0.75,0.19,0.6,0.01,3398.73,0.06,0.6,0.12,0.47,0.51,3398.74,0.27,0.72,0.44,0.7,0.24,168.27342911650697
2,3,8,1,1,0.16575342465753426,0.16575342465753426,171000.0,0.79,0.31,0.6,0.35,0.53,0.55,3488.1,0.4,3488.07,0.09,0.67,0.22,0.65,0.25,0.75,0.17,0.6,0.01,3488.07,0.06,0.61,0.12,0.46,0.51,3488.08,0.24,0.72,0.44,0.7,0.17,168.09218731827357
2,4,1,1,1,0.16575342465753426,0.16575342465753426,163500.0,0.77,0.24,3575.85,0.05,3575.86,0.14,0.65,0.19,0.62,0.18,0.74,0.16,0.59,0.03,3575.85,0.1,0.56,0.17,0.48,0.08,3575.87,0.28,0.65,0.2,0.64,0.26,187.25337747923368,,,,
2,4,2,1,1,0.16575342465753426,0.16575342465753426,160000.0,0.73,0.28,5195.9,0.37,5195.91,0.07,0.58,0.17,0.54,0.21,0.62,0.01,5195.9,0.01,0.53,0.24,0.41,0.05,5195.93,0.19,0.66,0.1,0.64,0.22,163.44336310166437,,,,,,
2,4,3,1,1,0.16575342465753426,0.16575342465753426,154000.0,0.72,0.28,5628.95,0.32,5628.97,0.05,0.54,0.26,0.5,0.22,0.59,0.01,5628.96,0.02,0.5,0.26,0.44,0.07,5628.98,0.23,0.64,0.13,0.62,0.25,160.4048106808781,,,,,,
2,4,4,1,1,0.16575342465753426,0.16575342465753426,165000.0,0.77,0.23,2862.25,0.05,2862.26,0.13,0.65,0.16,0.62,0.16,0.74,0.15,0.6,0.03,2862.26,0.11,0.55,0.17,0.48,0.08,2862.27,0.28,0.66,0.45,0.66,0.24,188.08935212395713,,,,
2,4,5,1,1,0.16575342465753426,0.16575342465753426,165000.0,0.77,0.23,2818.06,0.04,2818.07,0.13,0.68,0.17,0.65,0.17,0.77,0.15,0.59,0.01,2818.06,0.11,0.57,0.15,0.49,0.08,2818.07,0.29,0.68,0.46,0.68,0.25,178.8295841837128,,,,
2,4,6,1,1,0.16575342465753426,0.16575342465753426,166075.0,0.8,0.34,2942.2,0.04,2942.21,0.13,0.68,0.15,0.65,0.2,0.76,0.2,0.6,0.45,2942.2,0.11,0.56,0.14,0.5,0.51,2942.21,0.28,0.7,0.47,0.7,0.25,177.34293108086086,,,,
2,4,7,1,1,0.16575342465753426,0.16575342465753426,168250.0,0.78,0.34,2831.1,0.38,2831.11,0.12,0.67,0.2,0.65,0.2,0.75,0.15,0.61,0.45,2831.1,0.08,0.57,0.14,0.48,0.49,2831.12,0.29,0.68,0.45,0.67,0.25,190.44962991583654,,,,
2,4,8,1,1,0.16575342465753426,0.16575342465753426,175000.0,0.77,0.22,3080.69,0.41,3080.7,0.11,0.66,0.17,0.64,0.22,0.75,0.15,0.6,0.42,3080.69,0.07,0.57,0.13,0.44,0.49,3080.71,0.27,0.68,0.41,0.66,0.22,189.1510223317358,,,,
2,5,1,1,1,0.16575342465753426,0.16575342465753426,163500.0,0.77,0.24,0.55,0.44,0.51,0.6,3575.85,0.05,3575.86,0.14,0.65,0.19,0.62,0.18,0.74,0.16,0.59,0.03,3575.85,0.1,0.56,0.17,0.48,0.08,3575.87,0.28,0.65,0.2,0.64,0.26,186.49513559878798
2,5,2,1,1,0.16575342465753426,0.16575342465753426,160000.0,0.73,0.28,0.6,0.34,0.54,0.54,5195.9,0.37,5195.91,0.07,0.58,0.17,0.54,0.21,0.62,0.01,5195.9,0.01,0.53,0.24,0.41,0.05,5195.93,0.19,0.66,0.1,0.64,0.22,162.60352226571223,,
2,5,3,1,1,0.16575342465753426,0.16575342465753426,154000.0,0.72,0.28,0.57,0.39,0.51,0.69,5628.95,0.32,5628.97,0.05,0.54,0.26,0.5,0.22,0.59,0.01,5628.96,0.02,0.5,0.26,0.44,0.07,5628.98,0.23,0.64,0.13,0.62,0.25,158.58536982619808,,
2,5,4,1,1,0.16575342465753426,0.16575342465753426,160500.0,0.76,0.24,0.55,0.35,0.5,0.57,2845.27,0.04,2845.28,0.12,0.65,0.19,0.62,0.14,0.74,0.15,0.61,0.03,2845.27,0.1,0.56,0.16,0.46,0.08,2845.28,0.27,0.66,0.46,0.65,0.23,188.69220283434473
2,5,5,1,1,0.16575342465753426,0.16575342465753426,160000.0,0.78,0.24,0.56,0.39,0.49,0.57,2708.51,0.04,2708.52,0.13,0.69,0.21,0.66,0.22,0.78,0.17,0.6,0.01,2708.51,0.1,0.58,0.15,0.49,0.52,2708.52,0.29,0.69,0.47,0.69,0.27,177.1343273736589
2,5,6,1,1,0.16575342465753426,0.16575342465753426,165000.0,0.8,0.24,0.62,0.33,0.54,0.55,3170.3,0.04,3170.31,0.12,0.69,0.22,0.66,0.21,0.75,0.2,0.61,0.46,3170.3,0.1,0.58,0.14,0.47,0.49,3170.31,0.29,0.72,0.46,0.71,0.24,169.90739896369158
2,5,7,1,1,0.16575342465753426,0.16575342465753426,172200.0,0.79,0.22,0.57,0.32,0.48,0.55,2904.29,0.4,2904.3,0.11,0.69,0.18,0.67,0.21,0.79,0.15,0.63,0.01,2904.29,0.08,0.61,0.13,0.47,0.49,2904.3,0.27,0.71,0.45,0.69,0.22,176.74646799962397
2,5,8,1,1,0.16575342465753426,0.16575342465753426,172500.0,0.78,0.32,0.57,0.39,0.48,0.53,2995.92,0.41,2995.93,0.11,0.67,0.15,0.65,0.16,0.76,0.13,0.62,0.02,2995.92,0.06,0.61,0.27,0.46,0.49,2995.93,0.24,0.71,0.44,0.68,0.2,187.45063921486116
3,1,1,1,1,0.1684931506849315,0.1684931506849315,163500.0,0.78,0.24,0.55,0.44,0.51,0.6,3575.79,0.0,3575.8,0.0,0.65,0.19,0.62,0.18,0.74,0.16,0.59,0.03,3575.79,0.0,0.56,0.17,0.48,0.08,3575.83,0.0,0.65,0.2,0.64,0.26,186.47379350062582
