missing_value,normalization,outlier,similarities
4,2,6,0.9995519314070914
4,2,7,0.9995519314070914
4,3,1,0.9920372006742906
4,3,2,0.9920372006742906
4,3,3,0.9920372006742906
4,3,4,0.9920372006742906
4,3,5,0.9920372006742906
4,3,6,0.9920372006742906
4,3,7,0.9920372006742906
4,4,1,0.8777294175885186
4,4,2,0.8777294175885186
4,4,3,0.8777294175885186
4,4,4,0.8777294175885186
4,4,5,0.8777294175885186
4,4,6,0.8777294175885186
4,4,7,0.8777294175885186
4,5,1,0.8747226674461964
4,5,2,0.8747226674461964
4,5,3,0.8747226674461964
4,5,4,0.8747226674461964
4,5,5,0.8747226674461964
4,5,6,0.8747226674461964
4,5,7,0.8747226674461964
5,1,1,0.8389034804005556
5,1,2,0.8389034804005556
5,1,3,0.8389034804005556
5,1,4,0.8389034804005556
5,1,5,0.8389034804005556
5,1,6,0.8389034804005556
5,1,7,0.8389034804005556
5,2,1,0.9996599405806631
5,2,2,0.9996599405806631
5,2,3,0.9996599405806631
5,2,4,0.9996599405806631
5,2,5,0.9996599405806631
5,2,6,0.9996599405806631
5,2,7,0.9996599405806631
5,3,1,0.9925350142342316
5,3,2,0.9925350142342316
5,3,3,0.9925350142342316
5,3,4,0.9925350142342316
5,3,5,0.9925350142342316
5,3,6,0.9925350142342316
5,3,7,0.9925350142342316
5,4,1,0.8778891578565624
5,4,2,0.8778891578565624
5,4,3,0.8778891578565624
5,4,4,0.8778891578565624
5,4,5,0.8778891578565624
5,4,6,0.8778891578565624
5,4,7,0.8778891578565624
5,5,1,0.8751533270068032
5,5,2,0.8751533270068032
5,5,3,0.8751533270068032
5,5,4,0.8751533270068032
5,5,5,0.8751533270068032
5,5,6,0.8751533270068032
5,5,7,0.8751533270068032
6,1,1,0.8389034804005556
6,1,2,0.8389034804005556
6,1,3,0.8389034804005556
6,1,4,0.8389034804005556
6,1,5,0.8389034804005556
6,1,6,0.8389034804005556
6,1,7,0.8389034804005556
6,2,1,0.9996599405806631
6,2,2,0.9996599405806631
6,2,3,0.9996599405806631
6,2,4,0.9996599405806631
6,2,5,0.9996599405806631
6,2,6,0.9996599405806631
6,2,7,0.9996599405806631
6,3,1,0.9925350142342316
6,3,2,0.9925350142342316
6,3,3,0.9925350142342316
6,3,4,0.9925350142342316
6,3,5,0.9925350142342316
6,3,6,0.9925350142342316
6,3,7,0.9925350142342316
6,4,1,0.8778891578565624
6,4,2,0.8778891578565624
6,4,3,0.8778891578565624
6,4,4,0.8778891578565624
6,4,5,0.8778891578565624
6,4,6,0.8778891578565624
6,4,7,0.8778891578565624
6,5,1,0.8751533270068032
6,5,2,0.8751533270068032
6,5,3,0.8751533270068032
6,5,4,0.8751533270068032
6,5,5,0.8751533270068032
6,5,6,0.8751533270068032
6,5,7,0.8751533270068032
7,1,1,0.8389034804005556
7,1,2,0.8389034804005556
7,1,3,0.8389034804005556
7,1,4,0.8389034804005556
7,1,5,0.8389034804005556
7,1,6,0.8389034804005556
7,1,7,0.8389034804005556
7,2,1,0.9996599405806631
7,2,2,0.9996599405806631
7,2,3,0.9996599405806631
7,2,4,0.9996599405806631
7,2,5,0.9996599405806631
7,2,6,0.9996599405806631
7,2,7,0.9996599405806631
7,3,1,0.9925350142342316
7,3,2,0.9925350142342316
7,3,3,0.9925350142342316
7,3,4,0.9925350142342316
7,3,5,0.9925350142342316
7,3,6,0.9925350142342316
7,3,7,0.9925350142342316
7,4,1,0.8778891578565624
7,4,2,0.8778891578565624
7,4,3,0.8778891578565624
7,4,4,0.8778891578565624
7,4,5,0.8778891578565624
7,4,6,0.8778891578565624
7,4,7,0.8778891578565624
7,5,1,0.8751533270068032
7,5,2,0.8751533270068032
7,5,3,0.8751533270068032
7,5,4,0.8751533270068032
7,5,5,0.8751533270068032
7,5,6,0.8751533270068032
7,5,7,0.8751533270068032
8,1,1,0.8389034804005556
8,1,2,0.8389034804005556
8,1,3,0.8389034804005556
8,1,4,0.8389034804005556
8,1,5,0.8389034804005556
8,1,6,0.8389034804005556
8,1,7,0.8389034804005556
8,2,1,0.9996599405806631
8,2,2,0.9996599405806631
8,2,3,0.9996599405806631
8,2,4,0.9996599405806631
8,2,5,0.9996599405806631
8,2,6,0.9996599405806631
8,2,7,0.9996599405806631
8,3,1,0.9925350142342316
8,3,2,0.9925350142342316
8,3,3,0.9925350142342316
8,3,4,0.9925350142342316
8,3,5,0.9925350142342316
8,3,6,0.9925350142342316
8,3,7,0.9925350142342316
8,4,1,0.8778891578565624
8,4,2,0.8778891578565624
8,4,3,0.8778891578565624
8,4,4,0.8778891578565624
8,4,5,0.8778891578565624
8,4,6,0.8778891578565624
8,4,7,0.8778891578565624
8,5,1,0.8751533270068032
8,5,2,0.8751533270068032
8,5,3,0.8751533270068032
8,5,4,0.8751533270068032
8,5,5,0.8751533270068032
8,5,6,0.8751533270068032
8,5,7,0.8751533270068032
9,1,1,0.8389034804005556
9,1,2,0.8389034804005556
9,1,3,0.8389034804005556
9,1,4,0.8389034804005556
9,1,5,0.8389034804005556
9,1,6,0.8389034804005556
9,1,7,0.8389034804005556
9,2,1,0.9996599405806631
9,2,2,0.9996599405806631
9,2,3,0.9996599405806631
9,2,4,0.9996599405806631
9,2,5,0.9996599405806631
9,2,6,0.9996599405806631
9,2,7,0.9996599405806631
9,3,1,0.9925350142342316
9,3,2,0.9925350142342316
9,3,3,0.9925350142342316
9,3,4,0.9925350142342316
9,3,5,0.9925350142342316
9,3,6,0.9925350142342316
9,3,7,0.9925350142342316
9,4,1,0.8778891578565624
9,4,2,0.8778891578565624
9,4,3,0.8778891578565624
9,4,4,0.8778891578565624
9,4,5,0.8778891578565624
9,4,6,0.8778891578565624
9,4,7,0.8778891578565624
9,5,1,0.8751533270068032
9,5,2,0.8751533270068032
9,5,3,0.8751533270068032
9,5,4,0.8751533270068032
9,5,5,0.8751533270068032
9,5,6,0.8751533270068032
9,5,7,0.8751533270068032
