missing_value,normalization,outlier,model,cosine_similarity
5,5,4,1,0.9979539438604647
5,5,5,1,0.9970765536786109
5,5,6,1,0.996953010713848
5,5,7,1,0.9968522411985111
6,1,1,1,0.9999187806095431
6,1,2,1,0.9983001339711616
6,1,3,1,0.9952196180319478
6,1,4,1,0.9985938259124091
6,1,5,1,0.9998096616882255
6,1,6,1,0.9999149544187904
6,1,7,1,0.9999144135081048
6,2,1,1,0.9996587279614495
6,2,2,1,0.7263092182279469
6,2,3,1,0.9990362205935934
6,2,4,1,0.9995647733229599
6,2,5,1,0.999507167841759
6,2,6,1,0.9990441990746496
6,2,7,1,0.9988266888402428
6,3,1,1,0.9994754706478693
6,3,2,1,0.9806083207921809
6,3,3,1,0.9989277348745991
6,3,4,1,0.9991069048450424
6,3,5,1,0.9989171216455428
6,3,6,1,0.9990794148172758
6,3,7,1,0.9990352935817152
6,4,1,1,0.9993472388501368
6,4,2,1,0.9975356495436243
6,4,3,1,0.9991125647191023
6,4,4,1,0.9981221097004539
6,4,5,1,0.9974090576228183
6,4,6,1,0.9970983611323673
6,4,7,1,0.9970584633372668
6,5,1,1,0.9992946409411202
6,5,2,1,0.9977133954194267
6,5,3,1,0.9992051440752098
6,5,4,1,0.9979539438604647
6,5,5,1,0.9970765536786109
6,5,6,1,0.996953010713848
6,5,7,1,0.9968522411985111
7,1,1,1,0.9999187806095431
7,1,2,1,0.9983001339711616
7,1,3,1,0.9952196180319478
7,1,4,1,0.9985938259124091
7,1,5,1,0.9998096616882255
7,1,6,1,0.9999149544187904
7,1,7,1,0.9999144135081048
7,2,1,1,0.9996587279614495
7,2,2,1,0.7263092182279469
7,2,3,1,0.9990362205935934
7,2,4,1,0.9995647733229599
7,2,5,1,0.999507167841759
7,2,6,1,0.9990441990746496
7,2,7,1,0.9988266888402428
7,3,1,1,0.9994754706478693
7,3,2,1,0.9806083207921809
7,3,3,1,0.9989277348745991
7,3,4,1,0.9991069048450424
7,3,5,1,0.9989171216455428
7,3,6,1,0.9990794148172758
7,3,7,1,0.9990352935817152
7,4,1,1,0.9993472388501368
7,4,2,1,0.9975356495436243
7,4,3,1,0.9991125647191023
7,4,4,1,0.9981221097004539
7,4,5,1,0.9974090576228183
7,4,6,1,0.9970983611323673
7,4,7,1,0.9970584633372668
7,5,1,1,0.9992946409411202
7,5,2,1,0.9977133954194267
7,5,3,1,0.9992051440752098
7,5,4,1,0.9979539438604647
7,5,5,1,0.9970765536786109
7,5,6,1,0.996953010713848
7,5,7,1,0.9968522411985111
8,1,1,1,0.9999187806095431
8,1,2,1,0.9983001339711616
8,1,3,1,0.9952196180319478
8,1,4,1,0.9985938259124091
8,1,5,1,0.9998096616882255
8,1,6,1,0.9999149544187904
8,1,7,1,0.9999144135081048
8,2,1,1,0.9996587279614495
8,2,2,1,0.7263092182279469
8,2,3,1,0.9990362205935934
8,2,4,1,0.9995647733229599
8,2,5,1,0.999507167841759
8,2,6,1,0.9990441990746496
8,2,7,1,0.9988266888402428
8,3,1,1,0.9994754706478693
8,3,2,1,0.9806083207921809
8,3,3,1,0.9989277348745991
8,3,4,1,0.9991069048450424
8,3,5,1,0.9989171216455428
8,3,6,1,0.9990794148172758
8,3,7,1,0.9990352935817152
8,4,1,1,0.9993472388501368
8,4,2,1,0.9975356495436243
8,4,3,1,0.9991125647191023
8,4,4,1,0.9981221097004539
8,4,5,1,0.9974090576228183
8,4,6,1,0.9970983611323673
8,4,7,1,0.9970584633372668
8,5,1,1,0.9992946409411202
8,5,2,1,0.9977133954194267
8,5,3,1,0.9992051440752098
8,5,4,1,0.9979539438604647
8,5,5,1,0.9970765536786109
8,5,6,1,0.996953010713848
8,5,7,1,0.9968522411985111
9,1,1,1,0.9999187806095431
9,1,2,1,0.9983001339711616
9,1,3,1,0.9952196180319478
9,1,4,1,0.9985938259124091
9,1,5,1,0.9998096616882255
9,1,6,1,0.9999149544187904
9,1,7,1,0.9999144135081048
9,2,1,1,0.9996587279614495
9,2,2,1,0.7263092182279469
9,2,3,1,0.9990362205935934
9,2,4,1,0.9995647733229599
9,2,5,1,0.999507167841759
9,2,6,1,0.9990441990746496
9,2,7,1,0.9988266888402428
9,3,1,1,0.9994754706478693
9,3,2,1,0.9806083207921809
9,3,3,1,0.9989277348745991
9,3,4,1,0.9991069048450424
9,3,5,1,0.9989171216455428
9,3,6,1,0.9990794148172758
9,3,7,1,0.9990352935817152
9,4,1,1,0.9993472388501368
9,4,2,1,0.9975356495436243
9,4,3,1,0.9991125647191023
9,4,4,1,0.9981221097004539
9,4,5,1,0.9974090576228183
9,4,6,1,0.9970983611323673
9,4,7,1,0.9970584633372668
9,5,1,1,0.9992946409411202
9,5,2,1,0.9977133954194267
9,5,3,1,0.9992051440752098
9,5,4,1,0.9979539438604647
9,5,5,1,0.9970765536786109
9,5,6,1,0.996953010713848
9,5,7,1,0.9968522411985111
