sampling,invalid_value,missing_value,floating_point,unit_converter,distribution_shape,multicollinearity,normalization,outlier,punctuation,stopword,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,ot_Age,corr_Workclass,ot_Workclass,corr_fnlwgt,ot_fnlwgt,corr_Education,ot_Education,corr_Education_Num,ot_Education_Num,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,corr_Country,ot_Country,utility_sp
1,4,6,2,2,3,1,1,2,1,1,1,0.15274365274365273,0.15274365274365273,0.14368,2.55397,0.029054375143590126,1.839389534883721,332898.14,0.36,118.64,0.0,172382.38,0.27,385.45,0.0,263113.15,0.25,764.15,0.0,447.98,0.0,769.62,0.0,25.29,0.0,213.81,0.0,582.84,0.06,582281.42,0.29,582281.43,0.28,46.34,0.0,0.16411807975894355
3,3,5,4,2,1,2,3,6,2,2,1,0.15037363087317024,0.14965707851366566,0.13438,1.00237,0.03359954834538078,2.1189915966386557,77.72,0.3,294.93,0.27,614.8,0.25,320.68,0.52,639.84,0.71,32.17,0.15,191.71,1.0,64.27,0.09,930.73,0.29,981.05,0.37,993.22,0.35,132.92,0.06,498.18,0.27,498.18,0.26,0.05143988853854577
1,3,8,2,2,1,1,3,8,1,1,1,0.16195741195741195,0.16175266175266176,0.12596,1.99721,0.028006034261008204,1.9622160900021226,1386.44,0.29,120.43,0.3,1656.6,0.41,473.5,0.28,1465.13,0.35,852.27,0.21,513.53,0.41,867.79,0.34,39.32,0.14,219.56,0.33,211.16,0.06,182.1,0.31,182.1,0.3,74.07,0.09,0.04227041558250545
2,4,8,1,1,4,1,5,3,2,1,1,0.16201497617426822,0.16224188790560473,0.12249,2.03846,0.027063291139240466,2.0570264765784114,29.59,0.37,0.0,1.0,6.17,0.3,21.25,0.41,327.58,0.18,86.58,0.23,39.87,0.47,82.81,0.31,0.0,1.0,22.04,0.33,729.21,1.0,47.87,0.26,47.87,0.18,0.0,1.0,0.0506454816285998
2,3,2,3,2,4,2,4,4,1,1,1,0.1865214431586113,0.18697526662128433,0.14003,1.98273,0.031217340840771806,2.011627906976744,43.26,0.3,95.68,0.27,198.22,0.2,173.65,0.4,213.63,0.34,21.34,0.14,60.61,0.34,51.04,0.09,5263.61,0.43,63.98,0.33,45.88,0.35,582.11,0.09,64.03,0.32,64.03,0.33,0.1070619647598538
3,2,2,2,1,1,1,4,6,2,1,1,0.14044426246289282,0.13952298085781553,0.13786,1.01749,0.0344653843956301,2.06182326231226,365.39,0.53,95.61,0.3,1609.51,0.35,288.58,0.28,3332.08,0.26,614.37,0.25,315.93,0.51,628.64,0.71,35.63,0.16,188.73,1.0,3964.98,0.07,185.87,0.28,185.87,0.3,58.88,0.09,0.14527603765790897
3,1,9,3,2,1,1,4,4,1,1,1,0.1437199303920565,0.1440270242604156,0.13317,1.01492,0.033296381866831704,2.127099409895597,1079.69,0.31,79.79,0.3,1344.99,0.37,243.67,0.27,3927.9,0.35,445.04,0.25,263.65,0.52,456.49,0.7,34.84,0.16,139.8,1.0,2978.88,0.07,177.54,0.31,177.54,0.27,68.17,0.09,0.0376790827322818
2,1,3,3,2,3,1,5,1,1,1,1,0.17245291581574768,0.16904923984570003,0.12707,1.98982,0.028291144540506814,2.028865979381443,655.08,0.33,67.53,0.31,26.09,0.36,141.84,0.28,4605.41,0.35,275.45,0.21,207.93,0.41,280.49,0.34,23.31,0.13,71.05,0.33,1766.17,0.09,1233.66,0.26,1233.66,0.25,53.82,0.09,0.06552096782923555
2,4,4,4,1,3,1,2,7,2,1,1,0.14127764127764128,0.14516789516789516,0.12027,1.95421,0.026936797379408007,1.9949811794228356,461.49,0.5,70.48,0.31,497.48,0.27,161.29,0.28,423.7,0.25,258.1,0.19,223.31,0.41,314.67,0.35,17.64,0.14,68.99,0.34,496.08,0.08,486.92,0.29,486.92,0.27,50.77,0.09,0.10936471259538873
3,2,7,4,1,3,1,1,1,1,2,1,0.1490428907769475,0.1490428907769475,0.13416,1.01257,0.0335425331714614,2.0943934114665823,236893.34,0.43,90.28,0.0,129821.58,0.26,328.25,0.0,203798.35,0.29,631.92,0.0,349.18,0.0,653.43,0.0,30.74,0.0,200.35,0.0,580.38,0.07,241042.8,0.26,241042.81,0.29,58.64,0.0,0.1224222998221517
1,2,7,1,2,2,2,3,5,1,1,1,0.17533442533442534,0.17226317226317225,0.12712,1.99177,0.028289979291734102,1.9259102455546147,150.81,0.31,484.53,0.29,871.16,0.21,541.11,0.41,887.94,0.34,46.25,0.14,220.38,0.33,67.33,0.1,3020.06,0.38,3254.68,0.22,2062.47,0.28,278.88,0.08,711.13,0.23,711.12,0.21,0.12961213965343502
3,1,7,2,2,3,1,2,6,1,2,1,0.16286211485310675,0.1632715733442522,0.13295,0.99413,0.03323979450299942,2.0854355869492096,807.55,0.31,75.53,0.31,915.13,0.33,317.34,0.27,794.38,0.34,631.44,0.25,327.92,0.51,645.33,0.71,32.23,0.15,184.42,1.0,1023.13,0.07,881.65,0.27,881.65,0.3,54.95,0.09,0.058506831211553645
1,3,6,1,2,2,2,1,2,1,1,1,0.17785967785967785,0.17785967785967785,0.14393,2.6243,0.028757913292934457,1.8848141767167117,100.6,0.0,362.56,0.0,763.04,0.0,431.69,0.0,762.77,0.0,31.51,0.0,213.56,0.0,54.49,0.0,66409.09,0.33,601761.15,0.26,148527.41,0.3,42.63,0.05,449495.85,0.3,449495.86,0.3,0.07552793282228216
1,3,2,3,1,1,2,4,2,1,2,1,0.15574665574665575,0.1558149058149058,0.14557,2.63555,0.029029580814226588,1.8805603342344557,105.56,0.27,379.7,0.26,773.43,0.17,434.61,0.4,773.97,0.28,25.08,0.09,217.89,0.28,61.25,0.05,3361.29,0.25,2784.29,0.39,6851.56,0.3,6058.7,0.07,228.91,0.31,228.91,0.31,0.06690100228047208
3,3,5,2,2,3,1,1,2,2,1,1,0.16286211485310675,0.16286211485310675,0.15032,1.10307,0.03749550694072239,2.0635045080360643,2017.63,0.24,61.93,0.0,48268.89,0.31,231.74,0.0,133222.29,0.29,559.16,0.0,260.73,0.0,565.55,0.0,23.02,0.0,199.63,0.0,324.24,0.06,314572.86,0.28,314572.88,0.28,39.35,0.0,0.0679172057770398
2,2,8,1,1,2,1,4,4,1,2,1,0.15974585886090312,0.15997277059223963,0.12762,2.00759,0.028333630308598742,2.0393096836049858,3142.8,0.45,62.08,0.3,3774.41,0.21,100.84,0.27,3621.09,0.25,208.78,0.2,170.96,0.4,212.78,0.34,24.43,0.14,51.33,0.33,736.51,0.09,3046.78,0.25,3046.78,0.23,47.08,0.09,0.09397721525344085
1,3,5,2,2,2,2,2,5,2,2,1,0.17785967785967785,0.17424242424242425,0.13308,2.0069,0.029540769293750983,1.8734065934065933,155.3,0.3,490.36,0.28,842.61,0.2,531.38,0.41,854.62,0.33,39.87,0.14,225.91,0.33,63.08,0.09,1284.96,0.29,1260.15,0.26,1341.11,0.35,1240.17,0.08,1342.62,0.24,1342.62,0.25,0.07168032554425532
2,2,1,2,2,1,2,3,2,1,2,1,0.140361821584529,0.13849033063006863,0.14661,2.28425,0.031059990937649197,1.9964953271028036,33.9,0.25,59.56,0.23,187.09,0.19,114.83,0.39,186.21,0.32,9.3,0.08,51.85,0.3,32.26,0.04,387.79,0.45,212.55,0.28,265.21,0.23,120.9,0.07,9.26,0.29,9.26,0.27,0.13877732354173963
1,1,6,3,1,2,1,4,6,2,2,1,0.17594867594867594,0.17246792246792247,0.12976,2.01754,0.0287534253869867,1.8564056540273726,529.87,0.35,157.61,0.3,11214.33,0.26,472.9,0.28,11913.14,0.36,818.11,0.2,515.76,0.4,826.37,0.33,44.64,0.15,208.18,0.33,3812.79,0.08,11051.25,0.22,11051.25,0.23,61.68,0.09,0.07173364942339257
3,2,1,3,2,4,1,2,1,1,2,1,0.18088975937325125,0.17991046446558479,0.13726,0.98998,0.034319893007103426,2.111885067479321,605.9,0.41,56.44,0.31,605.9,0.27,226.71,0.28,605.9,0.28,471.58,0.26,239.51,0.52,478.78,0.71,17.58,0.16,153.76,1.0,605.9,0.07,605.9,0.3,605.9,0.28,57.5,0.09,0.16411172434180696
2,2,3,4,1,4,2,2,2,2,2,1,0.17926026775584297,0.17835262083049694,0.14569,2.42233,0.03013902641260336,1.9923599320882852,66.79,0.26,93.72,0.23,250.4,0.18,158.42,0.39,252.62,0.31,15.17,0.08,68.89,0.29,48.46,0.05,452.37,0.44,349.8,0.25,336.17,0.21,1167.25,0.04,256.15,0.3,256.15,0.3,0.15390781563126252
1,3,5,4,1,4,2,1,2,2,1,1,0.2042042042042042,0.2042042042042042,0.14254,2.56804,0.028754419083276646,1.8841043307086613,111.26,0.0,385.39,0.0,778.64,0.0,442.17,0.0,778.38,0.0,28.27,0.0,211.44,0.0,61.17,0.0,38055.44,0.38,57474.78,0.34,33272.36,0.31,4646.46,0.05,207557.64,0.3,207557.65,0.3,0.11354479930543378
1,2,9,4,1,4,1,4,7,2,1,1,0.1790881790881791,0.17847392847392848,0.1311,1.97825,0.029241066750001744,1.8967948717948717,8610.66,0.42,142.91,0.3,86.52,0.24,497.85,0.29,2272.46,0.29,881.64,0.21,535.95,0.41,896.3,0.33,46.15,0.15,229.32,0.34,3166.51,0.08,246.03,0.32,246.03,0.32,66.62,0.09,0.16235917558005755
3,1,5,2,1,1,2,2,6,1,1,1,0.14965707851366566,0.14934998464530658,0.13297,0.98709,0.03324350474197034,2.134713267729895,82.89,0.31,288.85,0.27,618.56,0.25,320.74,0.52,635.56,0.71,33.0,0.16,187.33,1.0,53.39,0.09,783.86,0.25,974.27,0.41,779.25,0.35,985.43,0.07,826.03,0.29,826.03,0.28,0.044507564616369885
3,1,7,3,1,2,1,5,8,1,1,1,0.1759647865697615,0.179752277612857,0.14018,0.94625,0.03502108697913392,2.075309491059147,500.39,0.35,88.83,0.3,3129.25,0.27,321.82,0.27,9732.47,0.34,641.54,0.25,337.05,0.51,661.25,0.71,36.47,0.16,199.41,1.0,2565.56,0.07,7323.01,0.25,7323.0,0.27,50.1,0.08,0.053585103603472836
1,1,8,4,1,3,1,2,5,2,2,1,0.1627081627081627,0.15854490854490855,0.13317,1.98552,0.029666392817147582,1.89892331355746,1292.93,0.33,140.99,0.31,1439.62,0.35,487.54,0.28,1326.37,0.36,863.69,0.2,533.13,0.4,878.78,0.33,43.51,0.14,230.05,0.33,1394.88,0.08,1330.34,0.27,1330.34,0.21,61.43,0.09,0.06884462843143764
1,1,3,2,2,4,1,5,4,2,1,1,0.1872099372099372,0.18816543816543815,0.13216,2.01245,0.02931168437225428,1.9078771695594126,649.62,0.43,126.97,0.31,386.66,0.36,443.79,0.29,747.72,0.36,677.85,0.21,480.55,0.4,685.17,0.33,42.13,0.14,186.37,0.33,2482.01,0.08,169.4,0.33,169.4,0.34,74.43,0.1,0.12029259528596482
1,4,1,1,1,2,1,1,6,2,1,1,0.16802625410220348,0.16802625410220348,0.12878,1.98809,0.028678710784256593,1.919496855345912,285584.48,0.47,98.34,0.0,2149786.02,0.21,330.96,0.0,126634.86,0.29,599.35,0.0,342.14,0.0,604.5,0.0,27.95,0.0,151.67,0.0,151.5,0.07,288543.19,0.26,288543.2,0.19,63.46,0.0,0.1441696433070155
1,3,9,3,2,3,1,1,7,2,1,1,0.1627081627081627,0.1627081627081627,0.12903,2.00812,0.02863584034755645,1.937186978297162,3956.64,0.29,131.17,0.0,81121.29,0.32,475.29,0.0,138763.22,0.35,872.06,0.0,525.38,0.0,885.39,0.0,46.45,0.0,231.0,0.0,670.47,0.07,373874.67,0.29,373874.68,0.34,59.73,0.0,0.06412438446066322
3,1,7,4,1,2,1,3,8,1,1,1,0.1759647865697615,0.17545296345582967,0.13347,1.00721,0.03337145398484222,2.087707857841539,190.24,0.34,81.08,0.3,2208.59,0.27,320.5,0.27,979.68,0.34,609.36,0.26,330.83,0.52,624.47,0.71,30.56,0.15,192.0,1.0,154.22,0.07,1010.63,0.27,1010.63,0.27,59.82,0.08,0.06488573383973978
3,2,2,2,2,3,1,5,5,1,2,1,0.14116081482239737,0.14249155491862012,0.13594,1.02772,0.033983526352936826,2.0415800415800414,60.12,0.58,99.52,0.31,127.24,0.27,315.92,0.28,5532.2,0.25,607.22,0.25,332.13,0.51,619.9,0.71,36.74,0.16,183.13,1.0,3454.7,0.07,2365.6,0.26,2365.6,0.28,59.35,0.09,0.14105656047665488
3,2,1,3,2,1,2,5,1,2,1,1,0.14157806379406826,0.14101846670397314,0.13726,0.98998,0.034319893007103426,2.111885067479321,56.44,0.31,226.71,0.28,471.58,0.26,239.51,0.52,478.78,0.71,17.58,0.16,153.76,1.0,57.5,0.09,25.31,0.4,1319.79,0.31,2328.01,0.28,3079.54,0.07,148.53,0.29,148.53,0.28,0.13314708851816687
3,2,1,4,1,3,1,5,6,2,1,1,0.15668718522663683,0.1559876888640179,0.14138,0.9916,0.03535082782457177,2.0750695088044484,48.09,0.42,51.39,0.3,90.31,0.28,212.92,0.28,4271.78,0.28,475.62,0.26,231.79,0.51,481.66,0.71,22.3,0.16,150.48,1.0,2613.95,0.06,1844.44,0.27,1844.44,0.31,58.8,0.09,0.14361252975766578
2,3,8,4,1,3,1,2,7,1,2,1,0.17245291581574768,0.16768776945768096,0.13076,1.97173,0.029200715925379955,2.0121776504297992,423.22,0.31,66.25,0.3,421.92,0.31,132.5,0.27,378.21,0.34,276.03,0.21,195.28,0.41,280.11,0.35,27.21,0.13,71.79,0.34,482.23,0.08,448.86,0.28,448.86,0.29,53.01,0.09,0.06823207568676622
2,1,4,3,2,3,2,5,7,2,1,1,0.1554054054054054,0.15397215397215397,0.1191,1.86421,0.02706963519261691,2.035642232683255,76.52,0.3,140.74,0.27,267.43,0.19,202.62,0.41,316.99,0.36,16.03,0.13,65.33,0.35,45.34,0.09,705.47,0.27,26.13,0.32,4636.66,0.35,1917.94,0.08,1290.28,0.3,1290.28,0.3,0.06002650375095459
2,1,4,4,1,1,2,5,7,1,1,1,0.1547911547911548,0.1547911547911548,0.11895,1.86026,0.02705403099585822,2.0250847457627117,68.62,0.3,139.38,0.27,248.69,0.19,201.16,0.41,298.68,0.36,14.69,0.13,64.34,0.35,47.1,0.08,795.33,0.27,940.38,0.39,4603.14,0.34,2118.74,0.08,85.28,0.31,85.28,0.32,0.0469123857993603
2,1,3,1,2,3,2,5,8,1,2,1,0.1527115951894713,0.15793056501021102,0.12526,1.84353,0.028567288783471857,2.067516879219805,62.53,0.3,121.46,0.27,277.61,0.21,182.86,0.41,280.98,0.36,19.59,0.13,66.01,0.35,40.34,0.08,638.4,0.32,20.38,0.37,4469.42,0.34,1712.22,0.08,1208.23,0.29,1208.23,0.3,0.05749083585116803
1,2,6,2,1,1,2,2,3,2,1,1,0.15294840294840295,0.15492765492765492,0.1301,2.15844,0.02815618337175451,1.862860506180106,0.0,1.0,109.92,0.4,313.05,0.22,133.5,0.45,313.55,0.29,0.0,1.0,77.81,0.32,0.0,1.0,1106.73,0.37,1240.97,0.33,310.86,0.18,7054.59,1.0,860.32,0.23,860.32,0.29,0.1314352915435948
3,4,6,1,1,2,2,1,4,1,2,1,0.15805097758214762,0.15805097758214762,0.13669,1.00224,0.034177546903854904,2.0735483870967744,86.44,0.0,259.84,0.0,482.19,0.0,292.49,0.0,501.82,0.0,24.24,0.0,151.45,0.0,46.37,0.0,228232.63,0.4,1757855.98,0.22,105767.78,0.27,123.55,0.07,218972.54,0.26,218972.54,0.21,0.12826091605305306
1,3,1,1,1,4,1,3,5,2,2,1,0.18584493584493583,0.18604968604968605,0.12516,1.99478,0.027839034269413206,1.9284954245584167,1269.27,0.4,138.99,0.31,3093.49,0.36,493.34,0.29,46.57,0.36,861.49,0.21,529.83,0.41,880.57,0.34,40.7,0.14,212.65,0.33,4405.3,0.07,162.96,0.29,162.96,0.3,64.21,0.1,0.10553619054380134
