sampling,invalid_value,missing_value,floating_point,unit_converter,distribution_shape,multicollinearity,normalization,outlier,punctuation,stopword,lowercase,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,ot_Age,corr_Workclass,ot_Workclass,corr_fnlwgt,ot_fnlwgt,corr_Education,ot_Education,corr_Education_Num,ot_Education_Num,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,corr_Country,ot_Country,utility_sp
2,3,6,2,2,3,1,4,5,2,2,2,1,0.17177218062173816,0.17358747447243023,0.14754,1.91757,0.03324535476065635,2.0055555555555555,399.34,0.32,68.99,0.3,8.95,0.36,121.81,0.27,3819.48,0.34,272.55,0.2,182.32,0.4,279.31,0.34,25.7,0.14,82.98,0.34,1616.0,0.07,1455.47,0.26,1455.47,0.3,49.08,0.09,0.06434908357945995
1,3,8,2,2,1,1,3,8,1,1,1,1,0.16195741195741195,0.16175266175266176,0.12596,1.99721,0.028006034261008204,1.9622160900021226,1386.44,0.29,120.43,0.3,1656.6,0.41,473.5,0.28,1465.13,0.35,852.27,0.21,513.53,0.41,867.79,0.34,39.32,0.14,219.56,0.33,211.16,0.06,182.1,0.31,182.1,0.3,74.07,0.09,0.04227041558250545
3,4,1,1,2,1,2,2,8,1,1,2,1,0.1405987688864018,0.14045886961387802,0.13718,0.97937,0.03429733840273182,2.1147176522899067,58.17,0.31,213.92,0.28,472.55,0.26,233.01,0.52,479.34,0.71,17.97,0.16,150.55,1.0,54.0,0.09,617.15,0.48,754.28,0.34,588.21,0.28,979.88,0.06,631.18,0.31,631.18,0.27,0.13044254875236563
1,3,5,4,2,3,1,3,4,2,1,1,1,0.1627081627081627,0.15874965874965874,0.13519,2.03625,0.02986367144857788,1.9525576464351975,974.82,0.32,126.76,0.31,2550.09,0.32,415.42,0.29,1232.29,0.36,715.09,0.2,465.06,0.41,724.05,0.34,37.34,0.14,200.18,0.33,604.64,0.08,369.16,0.27,369.16,0.28,64.79,0.1,0.07055966635996609
2,1,1,1,2,3,2,3,6,1,2,2,1,0.1527115951894713,0.1508963013387792,0.12754,1.96208,0.028528209949275084,2.015010721944246,60.35,0.3,140.57,0.27,277.82,0.21,202.45,0.41,281.41,0.35,20.13,0.13,68.65,0.34,53.66,0.08,357.28,0.32,970.64,0.33,457.52,0.34,218.15,0.08,143.6,0.3,143.6,0.31,0.06005595859506326
3,1,5,3,1,2,1,2,2,1,2,2,1,0.1759647865697615,0.17545296345582967,0.14628,1.0768,0.0365250225123763,2.036130536130536,1759.45,0.27,62.97,0.27,510.82,0.25,234.0,0.24,275.09,0.28,539.49,0.24,271.31,0.51,547.1,0.71,26.61,0.11,188.35,1.0,1334.72,0.06,399.21,0.32,399.21,0.3,43.05,0.05,0.06705231669403258
2,2,9,1,1,1,1,5,3,2,1,2,1,0.1329702745631949,0.13206262763784887,0.11528,2.0272,0.025519962606852936,2.0271966527196654,17.13,0.34,0.0,1.0,318.37,0.31,19.74,0.39,513.31,0.17,81.93,0.23,36.28,0.56,80.72,0.31,0.0,1.0,18.71,0.33,713.3,1.0,46.54,0.28,46.54,0.39,0.0,1.0,0.0412796697626419
2,2,7,4,1,4,1,4,7,1,2,1,1,0.16700703426367144,0.16700703426367144,0.13052,1.88488,0.02956701869902155,2.0232558139534884,2642.27,0.42,62.75,0.3,74.24,0.27,143.89,0.27,929.81,0.27,278.91,0.21,202.51,0.41,284.6,0.35,20.29,0.14,71.92,0.35,877.07,0.08,87.99,0.33,87.99,0.34,49.75,0.08,0.13182573871829964
1,1,5,4,1,2,2,2,6,1,2,2,1,0.17813267813267813,0.1741059241059241,0.12942,1.96889,0.028910334745092258,1.890975037337316,142.27,0.31,480.06,0.28,879.23,0.21,512.2,0.41,894.5,0.33,40.89,0.14,223.48,0.34,59.58,0.09,1275.27,0.3,1297.68,0.26,1363.01,0.36,1301.0,0.08,1387.54,0.2,1387.54,0.23,0.07071644020019066
2,1,5,4,1,4,1,4,6,1,1,2,1,0.180167914681189,0.17994100294985252,0.1359,1.87581,0.03083115651117583,2.01203007518797,6786.46,0.43,73.42,0.3,84.02,0.35,139.88,0.27,66.1,0.35,265.4,0.21,191.68,0.41,279.64,0.35,22.29,0.14,75.05,0.35,816.86,0.08,82.55,0.32,82.55,0.32,57.0,0.09,0.10255915738552804
1,3,1,3,2,1,2,3,7,1,1,1,1,0.15574665574665575,0.1558149058149058,0.1267,1.99079,0.028200994342744087,1.9522299725216656,127.71,0.3,482.42,0.28,863.78,0.21,522.07,0.41,880.65,0.34,41.38,0.14,222.22,0.33,71.4,0.09,1395.9,0.28,1661.59,0.41,1483.34,0.35,220.53,0.06,177.37,0.31,177.37,0.32,0.048642593602182004
1,2,6,1,2,1,1,3,7,1,1,2,1,0.15226590226590225,0.1500819000819001,0.12665,1.9983,0.028155529819838408,1.9499476439790575,1310.68,0.41,135.85,0.31,998.1,0.3,467.74,0.28,1573.95,0.3,862.34,0.21,520.62,0.41,879.33,0.34,44.23,0.14,223.59,0.33,578.02,0.06,156.89,0.33,156.89,0.3,73.9,0.09,0.1282595300686383
3,3,5,2,2,3,1,1,2,2,1,1,1,0.16286211485310675,0.16286211485310675,0.15032,1.10307,0.03749550694072239,2.0635045080360643,2017.63,0.24,61.93,0.0,48268.89,0.31,231.74,0.0,133222.29,0.29,559.16,0.0,260.73,0.0,565.55,0.0,23.02,0.0,199.63,0.0,324.24,0.06,314572.86,0.28,314572.88,0.28,39.35,0.0,0.0679172057770398
2,4,1,1,1,2,2,3,4,2,1,2,1,0.1643792888334373,0.16219588271990018,0.1334,1.8639,0.030328554882305205,2.039167686658507,46.69,0.3,98.71,0.27,159.43,0.21,139.52,0.4,168.82,0.35,11.02,0.13,44.88,0.35,34.85,0.1,496.1,0.49,587.62,0.22,384.89,0.27,70.23,0.09,138.21,0.22,138.21,0.24,0.14705025865908392
2,2,8,2,2,2,2,3,7,1,1,1,1,0.16314953483095077,0.16428409348763331,0.1263,1.97297,0.02819898683736405,2.038243626062323,63.24,0.31,137.05,0.27,270.28,0.21,199.83,0.41,275.27,0.34,25.43,0.13,68.61,0.34,54.61,0.08,996.2,0.47,961.84,0.22,645.57,0.25,91.11,0.08,224.38,0.24,224.37,0.25,0.11084213823939851
2,4,1,4,2,1,1,3,3,1,2,2,1,0.1444167186525265,0.14566437928883344,0.13179,1.92513,0.029678643051762002,2.0054945054945055,216.65,0.48,0.0,1.0,184.01,0.31,14.37,0.4,80.76,0.15,78.62,0.24,31.98,0.56,74.41,0.31,0.0,1.0,18.67,0.34,545.0,1.0,0.38,0.25,0.38,0.17,0.0,1.0,0.09732620320855616
1,2,3,3,2,3,2,4,3,1,2,2,1,0.1539039039039039,0.15253890253890254,0.12796,2.15532,0.027706514203138365,1.8915808600847972,0.0,1.0,96.62,0.38,312.54,0.22,120.92,0.45,313.49,0.29,0.0,1.0,74.23,0.32,0.0,1.0,1687.12,0.56,1.58,0.29,4368.11,0.3,2523.29,1.0,1928.91,0.22,1928.91,0.16,0.09317530801742153
3,1,3,1,1,3,2,2,3,2,1,2,1,0.16357866721261133,0.16388576108097042,0.14652,1.00624,0.0366436137489996,2.1025331724969845,0.0,1.0,48.2,0.59,175.89,0.28,60.2,0.51,179.18,0.65,0.0,1.0,62.53,1.0,0.0,1.0,5043.84,0.42,72.09,0.32,0.73,0.34,3616.09,1.0,115.26,0.27,115.26,0.24,0.010852713178294573
3,2,2,4,2,2,2,3,8,1,2,2,1,0.15815334220493396,0.15323984031118845,0.13195,1.0046,0.032990987556256485,2.1026886945254293,85.35,0.31,321.32,0.27,614.93,0.26,336.46,0.52,629.95,0.71,29.22,0.15,190.27,1.0,63.48,0.08,2650.22,0.51,2601.53,0.26,859.53,0.25,152.48,0.07,1020.64,0.23,1020.64,0.26,0.12345533347286174
1,1,5,1,1,2,2,5,2,2,1,2,1,0.17785967785967785,0.17553917553917553,0.14381,2.62543,0.02872833626410165,1.8848141767167117,100.36,0.27,364.29,0.26,764.45,0.18,432.6,0.4,764.1,0.29,32.29,0.09,213.16,0.28,54.61,0.05,1227.15,0.25,3775.86,0.25,14119.89,0.3,4274.91,0.05,9222.68,0.3,9222.67,0.3,0.07433984420209473
3,4,3,4,1,3,1,2,1,2,1,2,1,0.1437199303920565,0.14105845019961102,0.13416,1.01257,0.0335425331714614,2.0943934114665823,837.04,0.49,90.28,0.31,837.04,0.25,328.25,0.28,837.04,0.25,631.92,0.26,349.18,0.52,653.43,0.71,30.74,0.15,200.35,1.0,837.04,0.07,837.04,0.27,837.04,0.29,58.64,0.09,0.12406786822207441
2,2,8,1,2,3,1,2,1,2,2,1,1,0.1484002722940776,0.1508963013387792,0.12707,1.98982,0.028291144540506814,2.028865979381443,393.29,0.44,67.53,0.31,393.29,0.25,141.84,0.28,393.29,0.27,275.45,0.21,207.93,0.41,280.49,0.34,23.31,0.13,71.05,0.33,393.29,0.09,393.29,0.25,393.29,0.25,53.82,0.09,0.11327448243702297
1,1,1,4,2,1,2,1,3,2,2,2,1,0.15574665574665575,0.15574665574665575,0.12662,2.05565,0.02788116521021319,2.0159329140461217,42.03,0.0,152.06,0.0,441.43,0.0,181.79,0.0,441.15,0.0,23.69,0.0,113.99,0.0,40.64,0.0,68917.42,0.4,19196.22,0.41,174644.78,0.22,3567.58,1.0,753011.52,0.28,753011.52,0.35,0.05104325289618845
1,1,3,2,2,4,1,5,4,2,1,1,1,0.1872099372099372,0.18816543816543815,0.13216,2.01245,0.02931168437225428,1.9078771695594126,649.62,0.43,126.97,0.31,386.66,0.36,443.79,0.29,747.72,0.36,677.85,0.21,480.55,0.4,685.17,0.33,42.13,0.14,186.37,0.33,2482.01,0.08,169.4,0.33,169.4,0.34,74.43,0.1,0.12029259528596482
3,1,2,1,1,1,1,4,8,1,1,2,1,0.14361756576927015,0.1440270242604156,0.1346,0.96532,0.033644115881659435,2.13296011196641,1378.17,0.27,83.92,0.3,1720.82,0.38,299.48,0.27,5050.54,0.34,615.63,0.25,326.52,0.51,635.86,0.71,32.67,0.16,185.96,1.0,3934.12,0.07,218.43,0.3,218.43,0.35,48.57,0.08,0.038709130696729016
3,3,7,3,1,1,2,5,1,2,1,2,1,0.15037363087317024,0.14945234926809295,0.13416,1.01257,0.0335425331714614,2.0943934114665823,90.28,0.31,328.25,0.28,631.92,0.26,349.18,0.52,653.43,0.71,30.74,0.15,200.35,1.0,58.64,0.09,1580.14,0.28,1905.46,0.36,10622.63,0.35,4250.59,0.08,194.98,0.28,194.98,0.26,0.0434788185305949
3,1,4,1,2,4,1,2,8,1,1,1,1,0.18179302711676812,0.18142409149603395,0.12669,0.987,0.03167520241650668,2.07206431237439,936.33,0.43,100.93,0.31,1015.49,0.34,358.4,0.28,921.05,0.35,558.68,0.23,373.23,0.52,714.27,0.71,29.96,0.16,194.98,1.0,976.26,0.08,961.12,0.29,961.12,0.28,60.4,0.09,0.10070515726500653
2,3,3,4,2,2,2,5,4,1,2,2,1,0.1729067392784207,0.17177218062173816,0.12984,1.97856,0.02896637228460465,2.0094161958568737,52.07,0.3,107.32,0.26,189.07,0.2,164.09,0.4,192.88,0.34,17.63,0.13,53.58,0.34,36.82,0.09,178.79,0.32,1025.26,0.27,3224.31,0.34,836.61,0.09,2541.43,0.25,2541.42,0.22,0.07075570055738002
1,3,8,1,2,1,2,3,1,2,1,2,1,0.15601965601965603,0.15485940485940486,0.12747,2.01854,0.028241944391012717,1.9333333333333333,144.09,0.31,528.56,0.29,888.66,0.21,567.82,0.41,904.76,0.34,42.29,0.14,234.18,0.33,69.27,0.1,1593.91,0.33,1430.12,0.38,1604.24,0.36,297.01,0.08,150.78,0.34,150.77,0.35,0.05402643913858458
1,4,7,4,1,2,2,4,7,1,2,1,1,0.17533442533442534,0.17396942396942397,0.12975,2.00873,0.028794069415601,1.8664331070724764,143.96,0.31,470.37,0.29,860.55,0.21,518.24,0.4,871.29,0.33,47.8,0.15,214.72,0.33,61.23,0.09,11683.23,0.43,14037.7,0.23,13397.29,0.29,3812.85,0.08,11440.75,0.22,11440.75,0.24,0.144079821730137
1,4,3,4,1,1,1,3,7,2,2,2,1,0.14912639912639913,0.1498088998088998,0.12629,1.99702,0.028079471686627246,1.953629878304658,1278.04,0.46,133.68,0.31,852.29,0.32,476.69,0.28,797.83,0.26,866.04,0.21,530.69,0.41,882.9,0.34,44.4,0.14,222.33,0.33,583.17,0.06,155.67,0.3,155.66,0.34,76.61,0.09,0.12848420236479938
3,3,3,2,1,2,2,3,1,2,2,2,1,0.16736615825570683,0.17074419080765688,0.13416,1.01257,0.0335425331714614,2.0943934114665823,90.28,0.31,328.25,0.28,631.92,0.26,349.18,0.52,653.43,0.71,30.74,0.15,200.35,1.0,58.64,0.09,236.44,0.35,2318.05,0.27,1064.41,0.35,204.22,0.08,1027.89,0.23,1027.88,0.22,0.06932210998595405
1,2,5,1,1,1,2,4,7,2,2,1,1,0.15158340158340158,0.15124215124215123,0.1329,1.98621,0.029602885643104475,1.9167933956115577,142.16,0.31,475.36,0.29,879.69,0.21,519.97,0.41,897.58,0.33,46.17,0.15,233.83,0.33,70.48,0.09,425.79,0.45,2755.76,0.31,4424.49,0.28,6497.44,0.07,243.7,0.33,243.7,0.31,0.14163028577349332
3,1,5,3,1,1,1,5,3,1,2,1,1,0.1437199303920565,0.1460743167161429,0.14171,0.98553,0.03543820528054981,2.118181818181818,1279.15,0.4,0.0,1.0,573.35,0.42,43.76,0.59,5800.75,0.33,175.13,0.28,59.71,0.52,176.46,0.65,0.0,1.0,62.58,1.0,1294.98,1.0,88.83,0.31,88.83,0.34,0.0,1.0,0.002936857562408223
3,4,6,1,1,2,2,1,4,1,2,1,1,0.15805097758214762,0.15805097758214762,0.13669,1.00224,0.034177546903854904,2.0735483870967744,86.44,0.0,259.84,0.0,482.19,0.0,292.49,0.0,501.82,0.0,24.24,0.0,151.45,0.0,46.37,0.0,228232.63,0.4,1757855.98,0.22,105767.78,0.27,123.55,0.07,218972.54,0.26,218972.54,0.21,0.12826091605305306
3,1,2,1,2,1,1,3,5,2,2,1,1,0.14361756576927015,0.14586958747057016,0.13607,1.00506,0.034020287056987106,2.098673018033345,949.83,0.28,85.7,0.3,932.21,0.38,298.35,0.28,979.31,0.35,607.52,0.26,330.5,0.52,629.51,0.71,30.24,0.15,192.23,1.0,136.92,0.06,457.57,0.3,457.57,0.27,58.58,0.09,0.04970066407095899
3,2,9,3,2,4,2,5,5,1,1,1,1,0.18077592384072064,0.17811444364827517,0.13431,1.01574,0.033578975812313346,2.036082474226804,90.71,0.3,309.38,0.28,609.8,0.25,347.47,0.51,626.04,0.71,33.02,0.16,179.76,1.0,56.19,0.09,293.47,0.45,31.42,0.26,1489.19,0.27,1885.79,0.08,99.32,0.29,99.32,0.31,0.16424906201551817
3,1,3,1,2,3,2,3,3,1,1,1,1,0.16357866721261133,0.16388576108097042,0.14652,1.00624,0.0366436137489996,2.1025331724969845,0.0,1.0,48.2,0.59,175.89,0.28,60.2,0.51,179.18,0.65,0.0,1.0,62.53,1.0,0.0,1.0,1175.3,0.42,371.17,0.32,506.03,0.34,1222.81,1.0,132.73,0.26,132.73,0.24,0.1286773331398372
3,3,9,1,1,4,1,1,4,2,2,1,1,0.19490224178523902,0.19490224178523902,0.13486,1.01298,0.0337190150061642,2.0954091816367266,27783.2,0.46,70.28,0.0,37887.85,0.35,236.04,0.0,19690.02,0.34,516.25,0.0,279.7,0.0,528.56,0.0,20.72,0.0,160.6,0.0,2323.23,0.07,75737.12,0.29,75737.12,0.28,52.31,0.0,0.08356366493099632
3,4,8,4,1,4,1,5,5,2,2,2,1,0.17862626676220697,0.17760262053434334,0.13239,1.01251,0.03309986359229097,2.033241946538725,294.18,0.39,92.37,0.3,31.66,0.26,312.95,0.28,1481.44,0.28,612.42,0.25,348.41,0.51,627.45,0.71,31.35,0.16,174.89,1.0,1917.11,0.08,98.07,0.28,98.07,0.25,60.01,0.09,0.16767334068820658
