sampling,invalid_value,missing_value,floating_point,unit_converter,distribution_shape,multicollinearity,normalization,outlier,punctuation,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,ot_Age,corr_Workclass,ot_Workclass,corr_fnlwgt,ot_fnlwgt,corr_Education,ot_Education,corr_Education_Num,ot_Education_Num,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,corr_Country,ot_Country,utility_sp
3,1,8,1,2,4,2,4,4,2,1,0.18988637526870714,0.18978401064592076,0.13314,1.00173,0.03328898211578662,2.076514816452897,84.59,0.31,238.24,0.28,466.35,0.25,272.82,0.51,477.53,0.71,24.17,0.16,139.89,1.0,58.3,0.09,12100.77,0.41,121.17,0.34,131.31,0.36,1437.82,0.08,106.88,0.27,106.88,0.25,0.10510698364606219
1,4,6,2,2,3,1,1,2,1,1,0.15274365274365273,0.15274365274365273,0.14368,2.55397,0.029054375143590126,1.839389534883721,332898.14,0.36,118.64,0.0,172382.38,0.27,385.45,0.0,263113.15,0.25,764.15,0.0,447.98,0.0,769.62,0.0,25.29,0.0,213.81,0.0,582.84,0.06,582281.42,0.29,582281.43,0.28,46.34,0.0,0.16411807975894355
2,3,6,2,2,3,1,4,5,2,1,0.17177218062173816,0.17358747447243023,0.14754,1.91757,0.03324535476065635,2.0055555555555555,399.34,0.32,68.99,0.3,8.95,0.36,121.81,0.27,3819.48,0.34,272.55,0.2,182.32,0.4,279.31,0.34,25.7,0.14,82.98,0.34,1616.0,0.07,1455.47,0.26,1455.47,0.3,49.08,0.09,0.06434908357945995
2,3,1,3,2,2,2,1,3,1,1,0.1729067392784207,0.1729067392784207,0.12635,1.8945,0.028584491066654456,2.092063492063492,19.52,0.0,38.69,0.0,115.18,0.0,66.96,0.0,114.67,0.0,9.41,0.0,31.56,0.0,42.31,0.0,66100.77,0.31,471134.14,0.2,702898.19,0.19,930.66,1.0,100603.95,0.28,100603.95,0.35,0.021176470588235293
3,1,3,2,2,4,1,2,7,1,1,0.19490224178523902,0.1969495342409663,0.13475,1.00042,0.03369158555719371,2.077514413837284,832.03,0.41,90.29,0.31,925.65,0.37,323.37,0.28,827.6,0.35,624.82,0.26,343.71,0.52,644.8,0.71,32.3,0.16,198.23,1.0,863.13,0.08,850.94,0.3,850.94,0.26,57.0,0.09,0.1015523813052153
3,2,9,2,1,3,1,3,5,2,1,0.14750742143515203,0.14709796294400654,0.13218,1.00737,0.033048307210053314,2.0876958986328775,1304.9,0.46,84.28,0.3,1312.61,0.28,299.03,0.28,1062.41,0.27,595.82,0.26,332.96,0.52,617.39,0.71,31.71,0.15,184.1,1.0,523.89,0.07,756.76,0.28,756.76,0.28,63.28,0.09,0.11883814097293643
3,3,4,2,1,4,1,1,3,1,1,0.18179302711676812,0.18179302711676812,0.12667,0.97018,0.031666283294263034,2.2950721153846154,20894.78,0.41,33.78,0.0,27442.78,0.36,66.56,0.0,58195.68,0.36,273.68,0.0,122.0,0.0,335.13,0.0,11.31,0.0,103.43,0.0,2388.6,1.0,361306.12,0.33,361306.12,0.39,34.58,0.0,0.037037037037037035
1,1,7,3,2,2,2,1,8,2,1,0.17813267813267813,0.17813267813267813,0.12684,1.94235,0.02846053073589718,1.9224907467885914,148.18,0.0,465.41,0.0,847.01,0.0,515.07,0.0,866.47,0.0,41.91,0.0,214.7,0.0,72.28,0.0,61816.35,0.35,577683.02,0.28,102094.47,0.36,297.57,0.08,416338.77,0.26,416338.77,0.27,0.0723629907686748
3,1,5,3,1,2,1,2,2,1,1,0.1759647865697615,0.17545296345582967,0.14628,1.0768,0.0365250225123763,2.036130536130536,1759.45,0.27,62.97,0.27,510.82,0.25,234.0,0.24,275.09,0.28,539.49,0.24,271.31,0.51,547.1,0.71,26.61,0.11,188.35,1.0,1334.72,0.06,399.21,0.32,399.21,0.3,43.05,0.05,0.06705231669403258
3,3,6,2,2,1,1,1,3,2,1,0.14361756576927015,0.14361756576927015,0.13694,0.98279,0.03423987612652834,2.2145071295722256,45594.01,0.44,36.01,0.0,14186.06,0.42,92.05,0.0,128158.2,0.22,323.11,0.0,133.55,0.0,324.62,0.0,16.93,0.0,112.78,0.0,2340.93,1.0,357228.74,0.31,357228.73,0.39,37.58,0.0,0.04516966617315547
2,4,5,3,1,2,2,5,3,2,1,0.1529385069208078,0.15520762423417292,0.13573,2.03198,0.030023328988222665,1.9936842105263157,0.0,1.0,19.21,0.39,97.97,0.22,37.01,0.46,94.82,0.31,0.0,1.0,25.42,0.33,0.0,1.0,63.84,0.47,247.42,0.24,1393.55,0.14,712.75,1.0,1275.63,0.22,1275.63,0.18,0.04197271773347324
1,3,8,2,2,2,1,1,4,2,1,0.176016926016926,0.176016926016926,0.1405,2.0475,0.03097873064443683,1.900599128540305,50036.72,0.32,131.89,0.0,469894.88,0.28,397.78,0.0,86860.45,0.36,726.21,0.0,456.35,0.0,750.61,0.0,37.47,0.0,204.58,0.0,240.7,0.08,333452.36,0.24,333452.37,0.23,71.06,0.0,0.07249444427118194
1,2,7,1,2,2,2,3,5,1,1,0.17533442533442534,0.17226317226317225,0.12712,1.99177,0.028289979291734102,1.9259102455546147,150.81,0.31,484.53,0.29,871.16,0.21,541.11,0.41,887.94,0.34,46.25,0.14,220.38,0.33,67.33,0.1,3020.06,0.38,3254.68,0.22,2062.47,0.28,278.88,0.08,711.13,0.23,711.12,0.21,0.12961213965343502
2,4,1,4,1,3,2,3,3,2,1,0.14597629444791016,0.14566437928883344,0.13389,1.93333,0.030110017371163905,2.021978021978022,0.0,1.0,12.39,0.39,82.46,0.24,30.7,0.46,77.12,0.31,0.0,1.0,19.41,0.34,0.0,1.0,278.52,0.42,246.01,0.3,92.5,0.15,543.53,1.0,0.15,0.24,0.15,0.17,0.08698850574712644
1,3,1,3,2,1,2,3,7,1,1,0.15574665574665575,0.1558149058149058,0.1267,1.99079,0.028200994342744087,1.9522299725216656,127.71,0.3,482.42,0.28,863.78,0.21,522.07,0.41,880.65,0.34,41.38,0.14,222.22,0.33,71.4,0.09,1395.9,0.28,1661.59,0.41,1483.34,0.35,220.53,0.06,177.37,0.31,177.37,0.32,0.048642593602182004
1,2,2,2,2,1,2,1,2,2,1,0.15376740376740378,0.15376740376740378,0.14124,2.49359,0.028859420083494104,1.9398043641835967,102.19,0.0,350.61,0.0,774.31,0.0,421.2,0.0,776.12,0.0,32.9,0.0,212.22,0.0,45.41,0.0,115687.04,0.45,47586.8,0.3,229548.38,0.21,446.45,0.05,202638.73,0.28,202638.73,0.28,0.09487347303488358
3,1,3,4,2,3,1,2,5,2,1,0.1639881257037568,0.1632715733442522,0.13591,0.99932,0.0339810884990318,2.0924693520140103,789.35,0.31,82.39,0.31,860.56,0.31,290.09,0.27,777.29,0.35,607.55,0.25,330.58,0.52,623.09,0.71,30.58,0.16,185.72,1.0,1017.77,0.07,830.02,0.28,830.02,0.26,53.74,0.08,0.06142378865801634
1,1,2,4,1,2,1,4,1,1,1,0.17594867594867594,0.17246792246792247,0.12747,2.01854,0.028241944391012717,1.9333333333333333,718.09,0.32,144.09,0.31,13430.53,0.28,528.56,0.29,14661.5,0.36,888.66,0.21,567.82,0.41,904.76,0.34,42.29,0.14,234.18,0.33,4247.94,0.08,13059.39,0.23,13059.39,0.24,69.27,0.1,0.07171136310707439
1,2,7,2,1,4,1,3,5,1,1,0.18052143052143052,0.17963417963417963,0.12787,1.98549,0.028485578578066988,1.9321420974260795,2694.41,0.34,151.26,0.31,2274.95,0.24,493.53,0.29,1237.97,0.29,862.68,0.21,541.54,0.41,879.69,0.34,46.03,0.14,222.82,0.33,4620.51,0.07,154.49,0.27,154.49,0.31,70.59,0.1,0.15307761624546276
3,2,9,2,2,3,2,3,3,1,1,0.15692496673149758,0.15764151909100216,0.13801,1.02679,0.034507455240474084,2.087843833185448,0.0,1.0,79.86,0.4,246.03,0.27,83.4,0.61,247.72,0.66,0.0,1.0,75.04,1.0,0.0,1.0,839.29,0.51,660.15,0.3,187.23,0.18,1666.31,1.0,153.6,0.29,153.6,0.25,0.12021918217313039
2,4,1,4,2,1,1,3,3,1,1,0.1444167186525265,0.14566437928883344,0.13179,1.92513,0.029678643051762002,2.0054945054945055,216.65,0.48,0.0,1.0,184.01,0.31,14.37,0.4,80.76,0.15,78.62,0.24,31.98,0.56,74.41,0.31,0.0,1.0,18.67,0.34,545.0,1.0,0.38,0.25,0.38,0.17,0.0,1.0,0.09732620320855616
2,3,2,2,1,3,2,4,8,2,1,0.1527115951894713,0.1524846834581348,0.12119,1.84053,0.027650385994797938,2.0831443688586546,62.54,0.3,123.88,0.27,274.21,0.21,183.91,0.41,276.72,0.36,18.59,0.13,61.8,0.35,39.4,0.08,435.84,0.32,3.57,0.35,4513.03,0.34,1697.19,0.07,1659.14,0.27,1659.14,0.28,0.053392468885593625
1,1,6,4,2,1,1,1,2,2,1,0.16284466284466284,0.16284466284466284,0.14254,2.63442,0.028429872522496128,1.8841043307086613,1004.7,0.24,104.81,0.0,29060.33,0.42,395.06,0.0,719.07,0.3,773.84,0.0,460.65,0.0,779.23,0.0,22.82,0.0,209.04,0.0,475.77,0.07,206048.49,0.29,206048.5,0.29,67.91,0.0,0.06834964744010862
2,2,3,4,1,4,2,2,2,2,1,0.17926026775584297,0.17835262083049694,0.14569,2.42233,0.03013902641260336,1.9923599320882852,66.79,0.26,93.72,0.23,250.4,0.18,158.42,0.39,252.62,0.31,15.17,0.08,68.89,0.29,48.46,0.05,452.37,0.44,349.8,0.25,336.17,0.21,1167.25,0.04,256.15,0.3,256.15,0.3,0.15390781563126252
2,2,6,3,2,2,2,5,2,1,1,0.16292262309961425,0.16541865214431586,0.14072,2.45588,0.028944381384790014,2.0,47.94,0.26,81.24,0.24,242.13,0.18,155.35,0.4,242.2,0.31,10.27,0.08,63.96,0.29,44.28,0.04,180.28,0.36,561.64,0.19,3219.89,0.23,1239.91,0.04,2987.07,0.3,2987.07,0.26,0.10640483738405543
2,1,3,2,2,4,1,5,1,2,1,0.180167914681189,0.18107556160653507,0.12707,1.98982,0.028291144540506814,2.028865979381443,334.32,0.42,67.53,0.31,110.69,0.35,141.84,0.28,373.84,0.35,275.45,0.21,207.93,0.41,280.49,0.34,23.31,0.13,71.05,0.33,880.61,0.09,83.04,0.32,83.04,0.33,53.82,0.09,0.10336617751215407
3,4,3,4,1,3,1,2,1,2,1,0.1437199303920565,0.14105845019961102,0.13416,1.01257,0.0335425331714614,2.0943934114665823,837.04,0.49,90.28,0.31,837.04,0.25,328.25,0.28,837.04,0.25,631.92,0.26,349.18,0.52,653.43,0.71,30.74,0.15,200.35,1.0,837.04,0.07,837.04,0.27,837.04,0.29,58.64,0.09,0.12406786822207441
2,3,4,2,2,1,2,4,4,1,1,0.1554054054054054,0.15335790335790336,0.12142,1.95611,0.027187835660010925,1.9843614248479582,55.21,0.31,115.29,0.28,170.72,0.18,179.03,0.41,211.88,0.35,20.27,0.14,50.34,0.34,46.18,0.09,568.57,0.29,746.39,0.35,2086.25,0.35,1596.54,0.08,74.92,0.31,74.92,0.31,0.05377010524657867
1,4,9,1,1,1,1,5,8,1,1,0.1532896532896533,0.1524024024024024,0.13167,1.96045,0.029455338664641183,1.9350760659952861,103.45,0.45,138.32,0.31,2985.69,0.3,493.6,0.29,3818.45,0.28,907.56,0.21,536.04,0.41,923.64,0.33,42.1,0.15,235.91,0.34,6572.82,0.07,210.48,0.32,210.48,0.34,66.89,0.09,0.14050178362626256
3,1,4,3,2,4,1,1,3,1,1,0.18059398634938204,0.18059398634938204,0.12667,0.97018,0.031666283294263034,2.2950721153846154,20894.78,0.41,33.78,0.0,27442.78,0.36,66.56,0.0,58195.68,0.36,273.68,0.0,122.0,0.0,335.13,0.0,11.31,0.0,103.43,0.0,2388.6,1.0,361306.13,0.28,361306.12,0.39,34.58,0.0,0.02259259259259259
3,4,3,4,1,3,1,1,8,1,1,0.1437199303920565,0.1437199303920565,0.13447,1.00866,0.03362059242617374,2.0902890548879505,234610.34,0.53,82.79,0.0,133282.21,0.29,303.19,0.0,202755.56,0.25,622.56,0.0,326.39,0.0,639.76,0.0,29.96,0.0,195.9,0.0,526.58,0.07,238184.43,0.27,238184.43,0.26,55.78,0.0,0.12062052933661804
1,1,3,1,1,3,2,1,3,2,1,0.1528801528801529,0.1528801528801529,0.12889,2.02758,0.028514477902351582,1.984997655883732,41.68,0.0,140.43,0.0,411.36,0.0,162.89,0.0,408.45,0.0,20.32,0.0,104.44,0.0,44.96,0.0,179755.02,0.34,87222.17,0.28,284003168.68,0.19,3207.06,1.0,752516.41,0.24,752516.41,0.35,0.056050656660412757
3,3,7,3,1,1,2,5,1,2,1,0.15037363087317024,0.14945234926809295,0.13416,1.01257,0.0335425331714614,2.0943934114665823,90.28,0.31,328.25,0.28,631.92,0.26,349.18,0.52,653.43,0.71,30.74,0.15,200.35,1.0,58.64,0.09,1580.14,0.28,1905.46,0.36,10622.63,0.35,4250.59,0.08,194.98,0.28,194.98,0.26,0.0434788185305949
1,3,8,1,1,1,2,5,1,1,1,0.15601965601965603,0.15595140595140594,0.12747,2.01854,0.028241944391012717,1.9333333333333333,144.09,0.31,528.56,0.29,888.66,0.21,567.82,0.41,904.76,0.34,42.29,0.14,234.18,0.33,69.27,0.1,2671.86,0.33,3267.13,0.38,14640.93,0.36,6920.8,0.08,228.9,0.34,228.9,0.35,0.04423798302975987
3,2,2,2,2,3,1,5,5,1,1,0.14116081482239737,0.14249155491862012,0.13594,1.02772,0.033983526352936826,2.0415800415800414,60.12,0.58,99.52,0.31,127.24,0.27,315.92,0.28,5532.2,0.25,607.22,0.25,332.13,0.51,619.9,0.71,36.74,0.16,183.13,1.0,3454.7,0.07,2365.6,0.26,2365.6,0.28,59.35,0.09,0.14105656047665488
3,4,5,1,2,3,1,4,7,1,1,0.14771215068072474,0.15119254785546116,0.13726,1.00022,0.034319566374937174,2.079595278246206,3802.7,0.37,81.67,0.3,3.14,0.25,319.35,0.28,8706.2,0.27,646.42,0.26,329.6,0.51,671.12,0.71,33.88,0.16,195.52,1.0,3597.83,0.06,3516.88,0.28,3516.88,0.29,54.9,0.09,0.13403037547394211
3,1,7,2,1,4,1,3,2,2,1,0.19490224178523902,0.1969495342409663,0.14763,1.13059,0.03677278556247202,2.08405682715075,1122.76,0.39,55.55,0.26,1463.55,0.3,242.15,0.24,1.75,0.3,560.08,0.24,279.15,0.51,564.37,0.7,28.27,0.11,192.92,1.0,2808.33,0.05,260.58,0.3,260.58,0.3,43.13,0.04,0.12294812321135037
3,4,4,2,2,4,2,1,6,1,1,0.1963659841357683,0.1963659841357683,0.12686,0.98985,0.03171600028818378,2.076118535735038,100.76,0.0,348.59,0.0,567.3,0.0,362.67,0.0,713.9,0.0,30.27,0.0,193.56,0.0,62.63,0.0,220835.17,0.61,226321.84,0.26,125997.23,0.26,3394.91,0.07,97466.27,0.28,97466.27,0.28,0.1514833149436694
1,4,3,4,1,1,1,3,7,2,1,0.14912639912639913,0.1498088998088998,0.12629,1.99702,0.028079471686627246,1.953629878304658,1278.04,0.46,133.68,0.31,852.29,0.32,476.69,0.28,797.83,0.26,866.04,0.21,530.69,0.41,882.9,0.34,44.4,0.14,222.33,0.33,583.17,0.06,155.67,0.3,155.66,0.34,76.61,0.09,0.12848420236479938
3,4,7,3,1,2,1,2,8,1,1,0.14914525539973386,0.15006653700481112,0.13459,1.00062,0.03365038699738131,2.0916398713826365,850.89,0.41,86.69,0.31,862.13,0.24,328.5,0.28,804.43,0.23,632.09,0.26,349.94,0.52,654.22,0.71,32.17,0.16,198.36,1.0,906.96,0.07,853.76,0.24,853.76,0.25,55.45,0.09,0.12662444454309427
