sampling,invalid_value,missing_value,floating_point,unit_converter,distribution_shape,multicollinearity,model,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,ot_Age,corr_Workclass,ot_Workclass,corr_fnlwgt,ot_fnlwgt,corr_Education,ot_Education,corr_Education_Num,ot_Education_Num,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,corr_Country,ot_Country,utility_sp
2,1,8,1,2,1,2,1,0.12707,1.98982,0.028291144540506814,2.028865979381443,67.53,0.0,141.84,0.0,275.45,0.0,207.93,0.0,280.49,0.0,23.31,0.0,71.05,0.0,53.82,0.0,517.2,0.29,9475.51,0.38,477.98,0.35,97.35,0.09,45081.83,0.33,0.04436832358678973,,
3,4,6,2,2,2,2,1,0.13416,1.01257,0.0335425331714614,2.0943934114665823,90.28,0.0,328.25,0.0,631.92,0.0,349.18,0.0,653.43,0.0,30.74,0.0,200.35,0.0,58.64,0.0,310674.6,0.45,2264843.62,0.23,145146.85,0.28,163.05,0.07,279503.47,0.22,0.11817267674906876,,
2,2,5,3,1,1,1,1,0.12707,1.98982,0.028291144540506814,2.028865979381443,34947.73,0.46,67.53,0.0,13580.69,0.29,141.84,0.0,67972.01,0.27,275.45,0.0,207.93,0.0,280.49,0.0,23.31,0.0,71.05,0.0,230.35,0.08,45081.83,0.32,45081.83,0.33,53.82,0.0,0.07137259491835063
1,2,7,3,1,4,2,1,0.12747,2.01854,0.028241944391012717,1.9333333333333333,144.09,0.0,528.56,0.0,888.66,0.0,567.82,0.0,904.76,0.0,42.29,0.0,234.18,0.0,69.27,0.0,483929.94,0.4,246159.43,0.25,127893.3,0.29,172711.01,0.08,146659.19,0.35,0.12468690792576169,,
1,4,6,3,2,3,1,1,0.12747,2.01854,0.028241944391012717,1.9333333333333333,363733.95,0.41,144.09,0.0,193056.59,0.24,528.56,0.0,287707.66,0.3,888.66,0.0,567.82,0.0,904.76,0.0,42.29,0.0,234.18,0.0,938.31,0.08,380218.69,0.3,380218.7,0.31,69.27,0.0,0.12331670826088723
2,4,3,3,1,2,1,1,0.12707,1.98982,0.028291144540506814,2.028865979381443,143385.29,0.48,67.53,0.0,1018137.27,0.21,141.84,0.0,65820.86,0.25,275.45,0.0,207.93,0.0,280.49,0.0,23.31,0.0,71.05,0.0,102.46,0.08,126902.45,0.24,126902.45,0.22,53.82,0.0,0.11291965612843324
3,1,3,2,2,4,1,1,0.13416,1.01257,0.0335425331714614,2.0943934114665823,36778.58,0.41,90.28,0.0,45297.7,0.35,328.25,0.0,85663.95,0.35,631.92,0.0,349.18,0.0,653.43,0.0,30.74,0.0,200.35,0.0,118414.75,0.08,87440.0,0.29,87439.99,0.26,58.64,0.0,0.07850843825880513
1,4,1,4,1,4,1,1,0.12811,1.9691,0.02861716659825996,1.9583911234396671,344039.01,0.51,86.04,0.0,188755.31,0.24,372.98,0.0,88531.23,0.29,665.0,0.0,383.25,0.0,667.66,0.0,25.11,0.0,174.14,0.0,128129.97,0.08,104845.09,0.3,104845.1,0.26,63.55,0.0,0.11930918795620725
2,3,2,3,2,4,2,1,0.12707,1.98982,0.028291144540506814,2.028865979381443,67.53,0.0,141.84,0.0,275.45,0.0,207.93,0.0,280.49,0.0,23.31,0.0,71.05,0.0,53.82,0.0,15856.34,0.4,20080.68,0.35,37802.89,0.35,47022.94,0.09,42084.16,0.33,0.0822274117433167,,
2,2,4,2,2,2,1,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,146183.73,0.48,73.36,0.0,1128650.89,0.21,158.65,0.0,71566.82,0.25,259.39,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,118.35,0.08,141208.74,0.26,141208.75,0.23,50.57,0.0,0.1100492367467061
2,1,1,1,2,3,2,1,0.12707,1.98982,0.028291144540506814,2.028865979381443,67.53,0.0,141.84,0.0,275.45,0.0,207.93,0.0,280.49,0.0,23.31,0.0,71.05,0.0,53.82,0.0,1269.47,0.33,23961.93,0.36,39524.36,0.35,257.28,0.09,111546.19,0.25,0.066564629044592,,
2,3,2,4,2,4,1,1,0.12707,1.98982,0.028291144540506814,2.028865979381443,15856.34,0.4,67.53,0.0,20080.68,0.35,141.84,0.0,37802.89,0.35,275.45,0.0,207.93,0.0,280.49,0.0,23.31,0.0,71.05,0.0,47022.94,0.09,42084.17,0.31,42084.16,0.33,53.82,0.0,0.08290236817647498
2,3,5,2,1,2,1,1,0.12707,1.98982,0.028291144540506814,2.028865979381443,20971.94,0.37,67.53,0.0,190594.14,0.28,141.84,0.0,35680.21,0.35,275.45,0.0,207.93,0.0,280.49,0.0,23.31,0.0,71.05,0.0,123.58,0.09,126902.45,0.24,126902.45,0.22,53.82,0.0,0.07233992452886051
1,3,6,3,1,4,1,1,0.12747,2.01854,0.028241944391012717,1.9333333333333333,51218.85,0.37,144.09,0.0,67142.11,0.34,528.56,0.0,127505.72,0.36,888.66,0.0,567.82,0.0,904.76,0.0,42.29,0.0,234.18,0.0,167109.63,0.08,146659.18,0.34,146659.19,0.35,69.27,0.0,0.08008231038296204
2,1,4,4,1,4,1,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,17373.46,0.41,73.36,0.0,22312.11,0.34,158.65,0.0,40541.02,0.35,259.39,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,51148.97,0.09,46707.32,0.29,46707.31,0.31,50.57,0.0,0.08478499678007367
3,2,3,4,2,2,2,1,0.13416,1.01257,0.0335425331714614,2.0943934114665823,90.28,0.0,328.25,0.0,631.92,0.0,349.18,0.0,653.43,0.0,30.74,0.0,200.35,0.0,58.64,0.0,314054.77,0.56,2292466.21,0.24,145733.46,0.25,155.38,0.07,279503.47,0.22,0.1218656174329066,,
1,3,8,2,2,2,1,1,0.12747,2.01854,0.028241944391012717,1.9333333333333333,68680.26,0.32,144.09,0.0,634438.51,0.28,528.56,0.0,119394.0,0.36,888.66,0.0,567.82,0.0,904.76,0.0,42.29,0.0,234.18,0.0,329.38,0.08,427960.6,0.22,427960.6,0.24,69.27,0.0,0.07150345508316194
1,2,9,1,1,3,1,1,0.12747,2.01854,0.028241944391012717,1.9333333333333333,369353.44,0.45,144.09,0.0,197251.1,0.25,528.56,0.0,290464.68,0.28,888.66,0.0,567.82,0.0,904.76,0.0,42.29,0.0,234.18,0.0,963.54,0.08,380218.69,0.29,380218.7,0.31,69.27,0.0,0.12321843134909852
3,2,8,3,2,1,1,1,0.13416,1.01257,0.0335425331714614,2.0943934114665823,78444.3,0.42,90.28,0.0,33735.45,0.28,328.25,0.0,157468.09,0.28,631.92,0.0,349.18,0.0,653.43,0.0,30.74,0.0,200.35,0.0,443.18,0.07,96823.32,0.3,96823.32,0.26,58.64,0.0,0.06847247878122562
3,1,7,2,2,3,1,1,0.13416,1.01257,0.0335425331714614,2.0943934114665823,2805.58,0.34,90.28,0.0,54507.78,0.31,328.25,0.0,88970.58,0.35,631.92,0.0,349.18,0.0,653.43,0.0,30.74,0.0,200.35,0.0,480.19,0.08,241042.8,0.27,241042.81,0.29,58.64,0.0,0.06775580417153412
1,3,2,3,1,3,2,1,0.12747,2.01854,0.028241944391012717,1.9333333333333333,144.09,0.0,528.56,0.0,888.66,0.0,567.82,0.0,904.76,0.0,42.29,0.0,234.18,0.0,69.27,0.0,4239.53,0.27,80549.15,0.34,132662.1,0.36,779.79,0.08,380218.7,0.31,0.06773095894295927,,
1,4,4,4,1,1,1,1,0.12139,2.00332,0.026962206439818403,1.9193114577729962,133043.12,0.45,164.17,0.0,53335.24,0.31,581.98,0.0,241823.09,0.26,816.94,0.0,618.02,0.0,1006.71,0.0,44.42,0.0,236.06,0.0,826.93,0.08,167443.8,0.32,167443.8,0.35,68.13,0.0,0.06865086766116218
1,2,6,1,2,1,1,1,0.12747,2.01854,0.028241944391012717,1.9333333333333333,121810.65,0.37,144.09,0.0,50459.51,0.27,528.56,0.0,218040.33,0.3,888.66,0.0,567.82,0.0,904.76,0.0,42.29,0.0,234.18,0.0,740.23,0.08,151907.39,0.34,151907.39,0.35,69.27,0.0,0.07724148945913889
2,4,2,2,2,4,2,1,0.12707,1.98982,0.028291144540506814,2.028865979381443,67.53,0.0,141.84,0.0,275.45,0.0,207.93,0.0,280.49,0.0,23.31,0.0,71.05,0.0,53.82,0.0,142296.26,0.5,74541.97,0.26,44032.07,0.25,47029.45,0.09,42084.16,0.33,0.11566805651869591,,
2,2,6,3,1,1,1,1,0.12707,1.98982,0.028291144540506814,2.028865979381443,37350.56,0.38,67.53,0.0,14782.41,0.27,141.84,0.0,71543.4,0.29,275.45,0.0,207.93,0.0,280.49,0.0,23.31,0.0,71.05,0.0,232.75,0.08,45081.83,0.32,45081.83,0.33,53.82,0.0,0.07615280384489233
3,2,5,2,2,1,1,1,0.13416,1.01257,0.0335425331714614,2.0943934114665823,69329.58,0.42,90.28,0.0,28298.14,0.28,328.25,0.0,146154.54,0.27,631.92,0.0,349.18,0.0,653.43,0.0,30.74,0.0,200.35,0.0,438.63,0.07,96823.32,0.29,96823.32,0.26,58.64,0.0,0.06621653398252367
1,2,7,2,1,4,1,1,0.12747,2.01854,0.028241944391012717,1.9333333333333333,483929.94,0.4,144.09,0.0,246159.43,0.25,528.56,0.0,127893.3,0.29,888.66,0.0,567.82,0.0,904.76,0.0,42.29,0.0,234.18,0.0,172711.01,0.08,146659.18,0.33,146659.19,0.35,69.27,0.0,0.1217346896808738
2,3,5,4,1,4,1,1,0.12707,1.98982,0.028291144540506814,2.028865979381443,15856.34,0.4,67.53,0.0,20080.68,0.35,141.84,0.0,37802.89,0.35,275.45,0.0,207.93,0.0,280.49,0.0,23.31,0.0,71.05,0.0,47022.94,0.09,42084.17,0.31,42084.16,0.33,53.82,0.0,0.08290236817647498
2,3,8,2,1,1,1,1,0.12707,1.98982,0.028291144540506814,2.028865979381443,517.2,0.29,67.53,0.0,9475.51,0.38,141.84,0.0,477.98,0.35,275.45,0.0,207.93,0.0,280.49,0.0,23.31,0.0,71.05,0.0,97.35,0.09,45081.83,0.32,45081.83,0.33,53.82,0.0,0.04436832358678973
3,1,9,3,1,2,2,1,0.13416,1.01257,0.0335425331714614,2.0943934114665823,90.28,0.0,328.25,0.0,631.92,0.0,349.18,0.0,653.43,0.0,30.74,0.0,200.35,0.0,58.64,0.0,46051.02,0.35,434859.99,0.27,80452.26,0.35,204.22,0.08,279503.47,0.22,0.0701410588995201,,
1,1,6,3,1,2,1,1,0.12747,2.01854,0.028241944391012717,1.9333333333333333,68680.26,0.32,144.09,0.0,634438.51,0.28,528.56,0.0,119394.0,0.36,888.66,0.0,567.82,0.0,904.76,0.0,42.29,0.0,234.18,0.0,329.38,0.08,427960.6,0.25,427960.6,0.24,69.27,0.0,0.07150345508316194
2,3,7,4,2,2,1,1,0.12707,1.98982,0.028291144540506814,2.028865979381443,20971.94,0.37,67.53,0.0,190594.14,0.28,141.84,0.0,35680.21,0.35,275.45,0.0,207.93,0.0,280.49,0.0,23.31,0.0,71.05,0.0,123.58,0.09,126902.45,0.24,126902.45,0.22,53.82,0.0,0.07233992452886051
2,4,9,1,1,1,1,1,0.12707,1.98982,0.028291144540506814,2.028865979381443,38078.54,0.43,67.53,0.0,15142.05,0.27,141.84,0.0,73020.15,0.25,275.45,0.0,207.93,0.0,280.49,0.0,23.31,0.0,71.05,0.0,233.1,0.09,45081.83,0.32,45081.83,0.33,53.82,0.0,0.07411058645340696
2,3,4,2,2,2,2,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,73.36,0.0,158.65,0.0,259.39,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,50.57,0.0,23244.77,0.36,210211.38,0.29,38257.19,0.35,141.62,0.09,141208.75,0.23,0.07432395186835684,,
3,2,2,4,2,2,2,1,0.13416,1.01257,0.0335425331714614,2.0943934114665823,90.28,0.0,328.25,0.0,631.92,0.0,349.18,0.0,653.43,0.0,30.74,0.0,200.35,0.0,58.64,0.0,314428.69,0.59,2288800.63,0.23,145806.53,0.25,187.72,0.08,279503.47,0.22,0.11385913223606417,,
2,4,3,4,2,1,1,1,0.12707,1.98982,0.028291144540506814,2.028865979381443,37898.1,0.45,67.53,0.0,14985.88,0.27,141.84,0.0,73767.32,0.25,275.45,0.0,207.93,0.0,280.49,0.0,23.31,0.0,71.05,0.0,228.22,0.08,45081.83,0.32,45081.83,0.33,53.82,0.0,0.07241278651530494
