sampling,invalid_value,missing_value,floating_point,model,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,ot_Age,corr_Workclass,ot_Workclass,corr_fnlwgt,ot_fnlwgt,corr_Education,ot_Education,corr_Education_Num,ot_Education_Num,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,corr_Country,ot_Country,utility_sp
1,4,5,4,1,0.12139,2.00332,0.026962206439818403,1.9193114577729962,120441.31,0.46,164.17,0.0,54122.63,0.29,581.98,0.0,232703.39,0.29,888.66,0.0,618.02,0.0,1006.71,0.0,44.42,0.0,236.06,0.0,827.31,0.08,167443.8,0.32,167443.8,0.35,68.13,0.0,0.07477876340647205
3,4,7,1,1,0.1271,1.0,0.03177751129969559,2.075744680851064,86872.02,0.47,100.58,0.0,37534.55,0.27,361.51,0.0,174113.98,0.29,631.92,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,505.53,0.07,106474.79,0.29,106474.79,0.28,62.13,0.0,0.06686526324525587
2,1,7,3,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,569.74,0.32,73.36,0.0,10569.91,0.38,158.65,0.0,547.61,0.35,275.45,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,110.5,0.09,50044.96,0.29,50044.96,0.28,50.57,0.0,0.04437179320519185
2,2,9,2,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,42085.96,0.46,73.36,0.0,16977.84,0.28,158.65,0.0,80493.26,0.25,275.45,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,266.24,0.09,50044.96,0.29,50044.96,0.28,50.57,0.0,0.07411058645340696
1,2,8,1,1,0.12139,2.00332,0.026962206439818403,1.9193114577729962,137943.39,0.43,164.17,0.0,57549.0,0.31,581.98,0.0,247217.65,0.29,888.66,0.0,618.02,0.0,1006.71,0.0,44.42,0.0,236.06,0.0,840.0,0.08,167443.8,0.33,167443.8,0.35,68.13,0.0,0.07171502168273791
2,1,7,2,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,569.74,0.32,73.36,0.0,10569.91,0.38,158.65,0.0,547.61,0.35,275.45,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,110.5,0.09,50044.96,0.29,50044.96,0.28,50.57,0.0,0.04436832358678973
1,1,6,3,1,0.12139,2.00332,0.026962206439818403,1.9193114577729962,1952.19,0.34,164.17,0.0,35608.4,0.36,581.98,0.0,1775.04,0.36,888.66,0.0,618.02,0.0,1006.71,0.0,44.42,0.0,236.06,0.0,331.13,0.08,167443.8,0.32,167443.8,0.35,68.13,0.0,0.044918351945390844
3,2,2,4,1,0.1271,1.0,0.03177751129969559,2.075744680851064,88767.21,0.49,100.58,0.0,37921.71,0.27,361.51,0.0,176918.67,0.25,631.92,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,505.34,0.08,106474.79,0.29,106474.79,0.28,62.13,0.0,0.0658172869561281
2,3,1,2,1,0.12707,1.98982,0.028291144540506814,2.028865979381443,517.2,0.29,67.53,0.0,9475.51,0.38,141.84,0.0,477.98,0.35,275.45,0.0,207.93,0.0,280.49,0.0,23.31,0.0,71.05,0.0,97.35,0.09,45081.83,0.32,45081.83,0.33,53.82,0.0,0.04436832358678973
3,4,4,4,1,0.1271,1.0,0.03177751129969559,2.075744680851064,73193.41,0.48,100.58,0.0,27963.61,0.27,361.51,0.0,170094.84,0.25,564.94,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,500.2,0.07,106474.79,0.29,106474.79,0.28,62.13,0.0,0.066961815163254
3,2,9,2,1,0.1271,1.0,0.03177751129969559,2.075744680851064,87478.02,0.44,100.58,0.0,37790.45,0.26,361.51,0.0,175641.18,0.27,631.92,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,507.57,0.08,106474.79,0.29,106474.79,0.28,62.13,0.0,0.06931188255556658
1,3,6,1,1,0.12139,2.00332,0.026962206439818403,1.9193114577729962,1952.19,0.34,164.17,0.0,35608.4,0.36,581.98,0.0,1775.04,0.36,888.66,0.0,618.02,0.0,1006.71,0.0,44.42,0.0,236.06,0.0,331.13,0.08,167443.8,0.33,167443.8,0.35,68.13,0.0,0.04532849089304823
3,1,8,1,1,0.1271,1.0,0.03177751129969559,2.075744680851064,1279.31,0.27,100.58,0.0,23790.37,0.37,361.51,0.0,1168.66,0.35,631.92,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,208.22,0.08,106474.79,0.29,106474.79,0.28,62.13,0.0,0.04464076360342552
3,4,8,3,1,0.1271,1.0,0.03177751129969559,2.075744680851064,87317.58,0.43,100.58,0.0,37756.63,0.27,361.51,0.0,175344.23,0.28,631.92,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,506.1,0.08,106474.79,0.29,106474.79,0.28,62.13,0.0,0.06847247878122562
2,3,3,4,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,569.74,0.32,73.36,0.0,10569.91,0.38,158.65,0.0,547.61,0.35,275.45,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,110.5,0.09,50044.96,0.29,50044.96,0.28,50.57,0.0,0.04437179320519185
2,2,5,3,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,38608.32,0.37,73.36,0.0,15162.12,0.3,158.65,0.0,74756.2,0.27,275.45,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,263.01,0.08,50044.96,0.29,50044.96,0.28,50.57,0.0,0.07137259491835063
1,1,3,1,1,0.12139,2.00332,0.026962206439818403,1.9193114577729962,1952.19,0.34,164.17,0.0,35608.4,0.36,581.98,0.0,1775.04,0.36,888.66,0.0,618.02,0.0,1006.71,0.0,44.42,0.0,236.06,0.0,331.13,0.08,167443.8,0.33,167443.8,0.35,68.13,0.0,0.04532849089304823
2,3,6,2,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,569.74,0.32,73.36,0.0,10569.91,0.38,158.65,0.0,547.61,0.35,275.45,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,110.5,0.09,50044.96,0.29,50044.96,0.28,50.57,0.0,0.04436832358678973
3,3,1,4,1,0.13416,1.01257,0.0335425331714614,2.0943934114665823,1149.94,0.28,90.28,0.0,21389.9,0.36,328.25,0.0,1043.54,0.35,631.92,0.0,349.18,0.0,653.43,0.0,30.74,0.0,200.35,0.0,185.88,0.08,96823.32,0.3,96823.32,0.26,58.64,0.0,0.04260873246509156
2,3,6,3,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,569.74,0.32,73.36,0.0,10569.91,0.38,158.65,0.0,547.61,0.35,275.45,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,110.5,0.09,50044.96,0.29,50044.96,0.28,50.57,0.0,0.04437179320519185
1,3,8,2,1,0.12139,2.00332,0.026962206439818403,1.9193114577729962,1952.19,0.34,164.17,0.0,35608.4,0.36,581.98,0.0,1775.04,0.36,888.66,0.0,618.02,0.0,1006.71,0.0,44.42,0.0,236.06,0.0,331.13,0.08,167443.8,0.33,167443.8,0.35,68.13,0.0,0.04532849089304823
2,1,4,2,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,569.74,0.32,73.36,0.0,10569.91,0.38,158.65,0.0,547.61,0.35,259.39,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,110.5,0.09,50044.96,0.29,50044.96,0.28,50.57,0.0,0.044748039588820204
3,1,3,2,1,0.1271,1.0,0.03177751129969559,2.075744680851064,1279.31,0.27,100.58,0.0,23790.37,0.37,361.51,0.0,1168.66,0.35,631.92,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,208.22,0.08,106474.79,0.29,106474.79,0.28,62.13,0.0,0.04464076360342552
3,4,1,1,1,0.13726,0.98998,0.034319893007103426,2.111885067479321,52941.78,0.4,56.44,0.0,22328.98,0.31,226.71,0.0,105556.46,0.28,471.58,0.0,239.51,0.0,478.78,0.0,17.58,0.0,153.76,0.0,314.69,0.07,70766.71,0.29,70766.71,0.28,57.5,0.0,0.06550677546153055
3,1,8,2,1,0.1271,1.0,0.03177751129969559,2.075744680851064,1279.31,0.27,100.58,0.0,23790.37,0.37,361.51,0.0,1168.66,0.35,631.92,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,208.22,0.08,106474.79,0.29,106474.79,0.28,62.13,0.0,0.04464076360342552
3,2,4,3,1,0.1271,1.0,0.03177751129969559,2.075744680851064,73193.41,0.48,100.58,0.0,27963.61,0.27,361.51,0.0,170094.84,0.25,564.94,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,500.2,0.07,106474.79,0.29,106474.79,0.28,62.13,0.0,0.066961815163254
1,3,5,4,1,0.12139,2.00332,0.026962206439818403,1.9193114577729962,1952.19,0.34,164.17,0.0,35608.4,0.36,581.98,0.0,1775.04,0.36,888.66,0.0,618.02,0.0,1006.71,0.0,44.42,0.0,236.06,0.0,331.13,0.08,167443.8,0.32,167443.8,0.35,68.13,0.0,0.044918351945390844
3,3,4,2,1,0.1271,1.0,0.03177751129969559,2.075744680851064,1279.31,0.27,100.58,0.0,23790.37,0.37,361.51,0.0,1168.66,0.35,564.94,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,208.22,0.08,106474.79,0.29,106474.79,0.28,62.13,0.0,0.04537908135030437
2,4,3,1,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,41913.79,0.48,73.36,0.0,16794.76,0.28,158.65,0.0,81377.08,0.25,275.45,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,260.88,0.08,50044.96,0.29,50044.96,0.28,50.57,0.0,0.07206836906192159
2,1,1,1,1,0.12707,1.98982,0.028291144540506814,2.028865979381443,517.2,0.29,67.53,0.0,9475.51,0.38,141.84,0.0,477.98,0.35,275.45,0.0,207.93,0.0,280.49,0.0,23.31,0.0,71.05,0.0,97.35,0.09,45081.83,0.32,45081.83,0.33,53.82,0.0,0.04436832358678973
3,3,7,2,1,0.1271,1.0,0.03177751129969559,2.075744680851064,1279.31,0.27,100.58,0.0,23790.37,0.37,361.51,0.0,1168.66,0.35,631.92,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,208.22,0.08,106474.79,0.29,106474.79,0.28,62.13,0.0,0.04464076360342552
3,1,9,3,1,0.1271,1.0,0.03177751129969559,2.075744680851064,1279.31,0.27,100.58,0.0,23790.37,0.37,361.51,0.0,1168.66,0.35,631.92,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,208.22,0.08,106474.79,0.29,106474.79,0.28,62.13,0.0,0.04260873246509156
3,1,5,3,1,0.1271,1.0,0.03177751129969559,2.075744680851064,1279.31,0.27,100.58,0.0,23790.37,0.37,361.51,0.0,1168.66,0.35,631.92,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,208.22,0.08,106474.79,0.29,106474.79,0.28,62.13,0.0,0.04260873246509156
2,2,2,2,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,42329.27,0.5,73.36,0.0,17031.15,0.28,158.65,0.0,81514.18,0.25,275.45,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,263.42,0.09,50044.96,0.29,50044.96,0.28,50.57,0.0,0.07172742122694034
1,2,7,3,1,0.12139,2.00332,0.026962206439818403,1.9193114577729962,137272.26,0.39,164.17,0.0,57210.58,0.31,581.98,0.0,245296.31,0.3,888.66,0.0,618.02,0.0,1006.71,0.0,44.42,0.0,236.06,0.0,838.06,0.08,167443.8,0.32,167443.8,0.35,68.13,0.0,0.07774233585169497
2,2,9,1,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,42085.96,0.46,73.36,0.0,16977.84,0.28,158.65,0.0,80493.26,0.25,275.45,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,266.24,0.09,50044.96,0.29,50044.96,0.28,50.57,0.0,0.07411058645340696
2,1,4,4,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,569.74,0.32,73.36,0.0,10569.91,0.38,158.65,0.0,547.61,0.35,259.39,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,110.5,0.09,50044.96,0.29,50044.96,0.28,50.57,0.0,0.043203076981543416
2,4,5,3,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,38608.32,0.37,73.36,0.0,15162.12,0.3,158.65,0.0,74756.2,0.27,275.45,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,263.01,0.08,50044.96,0.29,50044.96,0.28,50.57,0.0,0.07137259491835063
2,2,7,4,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,41909.39,0.41,73.36,0.0,16786.3,0.28,158.65,0.0,79866.61,0.29,275.45,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,265.62,0.09,50044.96,0.29,50044.96,0.28,50.57,0.0,0.07307733409325687
