sampling,invalid_value,missing_value,floating_point,unit_converter,distribution_shape,multicollinearity,normalization,outlier,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Workclass,ot_Workclass,corr_Education,ot_Education,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Country,ot_Country,corr_Age,ot_Age,corr_fnlwgt,ot_fnlwgt,corr_Education_Num,ot_Education_Num,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,utility_sp
1,1,5,4,1,2,2,2,6,1,0.17813267813267813,0.1741059241059241,0.12942,1.96889,0.028910334745092258,1.890975037337316,142.27,0.31,480.06,0.28,879.23,0.21,512.2,0.41,894.5,0.33,40.89,0.14,223.48,0.34,59.58,0.09,1275.27,0.3,1297.68,0.26,1363.01,0.36,1301.0,0.08,1387.54,0.2,1387.54,0.23,0.07071644020019066
1,4,6,3,1,2,2,1,7,1,0.165984165984166,0.165984165984166,0.13015,2.01,0.028876854619973316,1.9000672193591754,161.71,0.0,469.21,0.0,815.38,0.0,514.28,0.0,834.66,0.0,50.08,0.0,214.73,0.0,70.06,0.0,407937.28,0.38,3128926.85,0.21,179452.04,0.26,222.23,0.08,410871.45,0.23,410871.46,0.21,0.1357630452389217
2,3,6,2,1,3,1,3,1,1,0.17177218062173816,0.16768776945768096,0.12707,1.98982,0.028291144540506814,2.028865979381443,405.48,0.33,67.53,0.31,942.68,0.36,141.84,0.28,487.26,0.35,275.45,0.21,207.93,0.41,280.49,0.34,23.31,0.13,71.05,0.33,257.28,0.09,143.08,0.27,143.08,0.25,53.82,0.09,0.066564629044592
2,3,1,4,1,4,1,1,4,1,0.18311776718856365,0.18311776718856365,0.12248,1.93215,0.027534126276261825,2.0218531468531467,11801.7,0.4,66.3,0.0,16893.03,0.36,119.51,0.0,8811.99,0.33,236.45,0.0,157.43,0.0,239.28,0.0,24.32,0.0,52.09,0.0,947.05,0.08,36050.0,0.33,36049.99,0.33,51.5,0.0,0.08751408352638841
1,2,6,1,2,1,1,3,7,1,0.15226590226590225,0.1500819000819001,0.12665,1.9983,0.028155529819838408,1.9499476439790575,1310.68,0.41,135.85,0.31,998.1,0.3,467.74,0.28,1573.95,0.3,862.34,0.21,520.62,0.41,879.33,0.34,44.23,0.14,223.59,0.33,578.02,0.06,156.89,0.33,156.89,0.3,73.9,0.09,0.1282595300686383
1,2,9,4,2,2,1,4,5,1,0.15335790335790336,0.1521976521976522,0.12413,2.06619,0.027282353688290708,1.856062342424937,11044.38,0.4,144.67,0.31,13289.42,0.22,474.55,0.28,12600.62,0.27,793.82,0.2,523.27,0.4,811.11,0.33,46.02,0.15,184.9,0.33,3556.89,0.09,10751.37,0.25,10751.37,0.24,67.89,0.1,0.1385472079923557
1,1,2,4,1,2,1,4,1,1,0.17594867594867594,0.17246792246792247,0.12747,2.01854,0.028241944391012717,1.9333333333333333,718.09,0.32,144.09,0.31,13430.53,0.28,528.56,0.29,14661.5,0.36,888.66,0.21,567.82,0.41,904.76,0.34,42.29,0.14,234.18,0.33,4247.94,0.08,13059.39,0.23,13059.39,0.24,69.27,0.1,0.07171136310707439
1,2,5,3,1,2,2,1,5,1,0.16973791973791974,0.16973791973791974,0.12916,2.03962,0.02851419105255543,1.8992302309307207,142.07,0.0,437.72,0.0,778.02,0.0,484.46,0.0,794.8,0.0,46.7,0.0,201.99,0.0,75.27,0.0,376460.33,0.46,2897606.22,0.24,171151.96,0.28,214.67,0.08,394787.02,0.24,394787.03,0.25,0.12650698223519496
2,2,8,2,2,2,2,3,7,1,0.16314953483095077,0.16428409348763331,0.1263,1.97297,0.02819898683736405,2.038243626062323,63.24,0.31,137.05,0.27,270.28,0.21,199.83,0.41,275.27,0.34,25.43,0.13,68.61,0.34,54.61,0.08,996.2,0.47,961.84,0.22,645.57,0.25,91.11,0.08,224.38,0.24,224.37,0.25,0.11084213823939851
2,2,1,2,2,1,2,3,2,1,0.140361821584529,0.13849033063006863,0.14661,2.28425,0.031059990937649197,1.9964953271028036,33.9,0.25,59.56,0.23,187.09,0.19,114.83,0.39,186.21,0.32,9.3,0.08,51.85,0.3,32.26,0.04,387.79,0.45,212.55,0.28,265.21,0.23,120.9,0.07,9.26,0.29,9.26,0.27,0.13877732354173963
1,3,3,1,2,3,1,2,2,1,0.1625034125034125,0.15793065793065794,0.14654,2.54967,0.029655160816631727,1.8749080206033848,2752.35,0.3,103.66,0.27,1076.21,0.32,373.69,0.26,682.75,0.3,767.09,0.18,435.19,0.39,775.62,0.29,21.44,0.09,223.87,0.28,3414.16,0.06,596.03,0.29,596.03,0.29,72.19,0.06,0.08154844156043169
2,3,7,4,2,2,1,4,8,1,0.17154526889040164,0.16995688677104606,0.12099,1.82746,0.02766435712735629,2.0253846153846156,202.59,0.31,60.95,0.3,3847.07,0.28,132.69,0.27,4279.63,0.33,275.4,0.21,185.51,0.4,278.96,0.37,21.33,0.13,58.93,0.35,1124.71,0.07,3778.13,0.24,3778.13,0.25,43.63,0.08,0.06710781516108105
3,1,3,1,1,3,2,2,3,1,0.16357866721261133,0.16388576108097042,0.14652,1.00624,0.0366436137489996,2.1025331724969845,0.0,1.0,48.2,0.59,175.89,0.28,60.2,0.51,179.18,0.65,0.0,1.0,62.53,1.0,0.0,1.0,5043.84,0.42,72.09,0.32,0.73,0.34,3616.09,1.0,115.26,0.27,115.26,0.24,0.010852713178294573
3,2,8,4,1,1,2,4,3,1,0.14668850445286108,0.14730269218957928,0.13495,1.00594,0.033746094435667895,2.111520737327189,0.0,1.0,70.79,0.41,218.94,0.27,80.52,0.52,221.1,0.66,0.0,1.0,69.85,1.0,0.0,1.0,107.83,0.35,631.06,0.33,1585.18,0.18,1598.37,1.0,124.58,0.28,124.58,0.34,0.09214061324828844
2,3,9,2,2,4,1,1,5,1,0.180167914681189,0.180167914681189,0.13104,1.96196,0.029310962937220623,2.0674242424242424,14068.13,0.36,57.85,0.0,19381.11,0.35,129.79,0.0,10049.25,0.33,258.66,0.0,184.85,0.0,262.35,0.0,23.27,0.0,70.16,0.0,1033.94,0.09,48311.19,0.32,48311.19,0.34,42.28,0.0,0.07408080203060638
1,2,4,4,2,1,2,1,6,1,0.14722682881886862,0.14722682881886862,0.12201,1.9956,0.027135395696831367,1.932171632002998,155.95,0.0,547.77,0.0,797.97,0.0,588.19,0.0,977.73,0.0,45.49,0.0,229.99,0.0,73.17,0.0,129233.24,0.47,52628.28,0.32,234350.05,0.26,662.88,0.05,163367.29,0.28,163367.29,0.26,0.06547287744077326
3,4,3,4,1,3,1,2,1,1,0.1437199303920565,0.14105845019961102,0.13416,1.01257,0.0335425331714614,2.0943934114665823,837.04,0.49,90.28,0.31,837.04,0.25,328.25,0.28,837.04,0.25,631.92,0.26,349.18,0.52,653.43,0.71,30.74,0.15,200.35,1.0,837.04,0.07,837.04,0.27,837.04,0.29,58.64,0.09,0.12406786822207441
3,2,6,2,1,4,1,4,6,1,0.17289384788617054,0.17023236769372505,0.13464,1.013,0.03366204020783629,2.0322913088285812,6601.43,0.46,88.73,0.3,189.75,0.26,302.37,0.28,1758.04,0.3,597.64,0.25,335.91,0.51,614.56,0.71,34.99,0.16,180.37,1.0,1977.81,0.07,116.07,0.31,116.07,0.31,53.7,0.09,0.1663165482178254
2,2,1,4,2,1,1,1,1,1,0.1444167186525265,0.1444167186525265,0.13113,1.90399,0.02961510350619889,2.050428163653663,25077.37,0.43,36.12,0.0,9952.57,0.3,101.32,0.0,48805.22,0.27,207.57,0.0,152.36,0.0,212.5,0.0,12.38,0.0,55.89,0.0,163.73,0.08,32870.55,0.29,32870.55,0.32,40.92,0.0,0.07558536383568444
3,4,2,3,1,2,2,4,7,1,0.15815334220493396,0.1572320605998567,0.13451,1.00344,0.03363111404518937,2.0393454038997216,87.44,0.3,294.1,0.28,622.81,0.25,318.99,0.51,640.64,0.71,38.76,0.16,178.24,1.0,50.89,0.09,8604.33,0.48,10398.83,0.24,9997.01,0.25,2381.52,0.08,8328.77,0.23,8328.77,0.22,0.12549307557576844
1,1,3,2,2,4,1,5,4,1,0.1872099372099372,0.18816543816543815,0.13216,2.01245,0.02931168437225428,1.9078771695594126,649.62,0.43,126.97,0.31,386.66,0.36,443.79,0.29,747.72,0.36,677.85,0.21,480.55,0.4,685.17,0.33,42.13,0.14,186.37,0.33,2482.01,0.08,169.4,0.33,169.4,0.34,74.43,0.1,0.12029259528596482
2,2,2,4,1,1,1,2,2,1,0.13728159745858862,0.13592012707056955,0.13638,2.4058,0.028293525249353958,2.0025553662691653,495.75,0.47,54.52,0.27,463.98,0.3,91.37,0.23,281.12,0.2,229.52,0.18,159.07,0.4,225.91,0.31,13.72,0.07,60.6,0.29,1322.36,0.06,330.8,0.3,330.8,0.3,39.39,0.04,0.13775100401606424
1,3,9,1,1,3,2,4,7,1,0.1528801528801529,0.1541769041769042,0.1343,1.9459,0.030115055301753447,1.941358024691358,143.13,0.31,452.11,0.28,909.77,0.21,495.59,0.41,926.47,0.34,44.98,0.15,239.85,0.34,65.87,0.09,1488.6,0.31,48.4,0.33,13366.53,0.35,5906.08,0.07,4785.04,0.31,4785.04,0.32,0.06709387267053676
2,2,2,4,2,1,2,1,6,1,0.134785568413887,0.134785568413887,0.12159,1.95317,0.027238368676858322,2.114741641337386,60.73,0.0,126.8,0.0,246.88,0.0,193.7,0.0,249.49,0.0,19.82,0.0,61.71,0.0,57.88,0.0,35315.84,0.47,15246.23,0.29,69380.07,0.25,86.17,0.03,43081.09,0.33,43081.09,0.34,0.047157115264208044
3,1,4,1,2,4,1,2,8,1,0.18179302711676812,0.18142409149603395,0.12669,0.987,0.03167520241650668,2.07206431237439,936.33,0.43,100.93,0.31,1015.49,0.34,358.4,0.28,921.05,0.35,558.68,0.23,373.23,0.52,714.27,0.71,29.96,0.16,194.98,1.0,976.26,0.08,961.12,0.29,961.12,0.28,60.4,0.09,0.10070515726500653
1,1,5,3,2,2,2,3,3,1,0.17813267813267813,0.1741059241059241,0.13692,2.09269,0.02996586480669047,1.8772802653399667,0.0,1.0,65.1,0.58,238.84,0.22,70.92,0.56,238.66,0.29,0.0,1.0,62.17,0.32,0.0,1.0,1860.06,0.51,848.73,0.24,575.38,0.34,1847.89,1.0,2.16,0.22,2.16,0.16,0.1361677704998679
