sampling,invalid_value,missing_value,floating_point,unit_converter,normalization,outlier,punctuation,stopword,lowercase,whitespace,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,profile_median,corr_OverallQual,ot_OverallQual,corr_YearBuilt,ot_YearBuilt,corr_YearRemodAdd,ot_YearRemodAdd,corr_ExterQual,ot_ExterQual,corr_BsmtQual,ot_BsmtQual,corr_TotalBsmtSF,ot_TotalBsmtSF,corr_1stFlrSF,ot_1stFlrSF,corr_GrLivArea,ot_GrLivArea,corr_FullBath,ot_FullBath,corr_KitchenQual,ot_KitchenQual,corr_TotRmsAbvGrd,ot_TotRmsAbvGrd,corr_Fireplaces,ot_Fireplaces,corr_GarageFinish,ot_GarageFinish,corr_GarageCars,ot_GarageCars,corr_GarageArea,ot_GarageArea,utility_rmse
2.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,1.0,2.0,1.0,0.1598173515981735,0.1598173515981735,145500.0,0.73,0.16,0.73,0.32,0.53,0.62,1334.54,0.3,1334.54,0.02,0.39,0.34,0.41,0.32,0.72,0.16,0.62,0.01,1334.54,0.38,0.55,0.25,0.39,0.05,1334.55,0.23,0.63,0.14,0.41,0.32,156.9961941857499
2.0,2.0,1.0,3.0,2.0,1.0,6.0,2.0,1.0,2.0,1.0,1.0,0.1835443037974683,0.1835443037974683,151250.0,0.79,0.21,0.79,0.3,0.57,0.59,854.75,0.0,854.75,0.0,0.52,0.29,0.52,0.33,0.71,0.28,0.59,1.0,854.75,0.0,0.56,0.22,0.41,0.53,854.76,0.0,0.69,0.17,0.52,0.33,164.7293410334618
2.0,2.0,1.0,4.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,0.1835443037974683,0.189873417721519,147000.0,0.72,0.17,0.72,0.33,0.52,0.57,1105.85,0.33,1105.85,0.04,0.42,0.15,0.41,0.29,0.75,0.2,0.68,1.0,1105.85,0.01,0.61,0.21,0.37,0.02,1105.85,0.24,0.66,0.13,0.41,0.25,160.88942206534892
2.0,4.0,6.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,2.0,1.0,0.1506849315068493,0.1552511415525114,153500.0,0.8,0.26,0.05,0.14,0.58,0.58,1177.29,0.37,1177.29,0.07,0.62,0.23,0.6,0.3,0.75,0.14,0.65,1.0,1177.29,0.06,0.58,0.14,0.41,0.51,1177.29,0.25,0.74,0.2,0.47,0.17,159.55512001588275
1.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.1506849315068493,0.1493150684931506,159975.0,0.75,0.28,0.03,0.3,0.53,0.58,5106.32,0.36,5106.33,0.07,0.56,0.18,0.54,0.25,0.7,0.28,0.62,0.01,5106.32,0.02,0.52,0.28,0.42,0.06,5106.33,0.22,0.66,0.17,0.32,0.16,157.56415521388948
1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,0.165983606557377,0.165983606557377,156500.0,0.75,0.18,0.75,0.26,0.52,0.64,3591.05,0.35,3591.02,0.04,0.52,0.24,0.51,0.29,0.73,0.25,0.63,0.01,3591.06,0.01,0.55,0.24,0.44,0.07,3591.03,0.21,0.66,0.13,0.51,0.28,156.62769924576193
2.0,4.0,7.0,4.0,2.0,3.0,7.0,1.0,1.0,2.0,2.0,1.0,0.1552511415525114,0.1552511415525114,153500.0,0.79,0.15,0.79,0.21,0.55,0.5,1176.27,0.38,1176.26,0.09,0.59,0.36,0.6,0.26,0.74,0.13,0.6,0.01,1176.28,0.05,0.58,0.14,0.45,0.52,1176.28,0.27,0.73,0.19,0.6,0.27,162.94477340807242
2.0,4.0,2.0,4.0,1.0,3.0,4.0,2.0,2.0,2.0,2.0,1.0,0.1598173515981735,0.1598173515981735,153500.0,0.78,0.19,0.01,0.17,0.61,0.69,1140.89,0.04,1140.87,0.11,0.58,0.23,0.52,0.25,0.73,0.17,0.62,0.02,1140.89,0.07,0.57,0.17,0.51,0.53,1140.89,0.57,0.71,0.19,0.23,0.17,162.25903245019333
2.0,3.0,5.0,1.0,2.0,1.0,8.0,2.0,1.0,2.0,1.0,1.0,0.1506849315068493,0.1506849315068493,149500.0,0.79,0.23,0.79,0.31,0.59,0.65,1051.62,0.0,1051.62,0.0,0.59,0.25,0.55,0.3,0.69,0.16,0.61,0.02,1051.62,0.0,0.11,0.17,0.49,0.53,1051.63,0.0,0.7,0.19,0.55,0.3,164.3044997261617
2.0,1.0,5.0,3.0,2.0,3.0,8.0,2.0,1.0,2.0,2.0,1.0,0.1506849315068493,0.1506849315068493,149000.0,0.79,0.23,0.79,0.33,0.58,0.59,1081.12,0.35,1081.11,0.11,0.46,0.25,0.54,0.29,0.68,0.13,0.58,0.02,1081.12,0.06,0.56,0.14,0.49,0.53,1081.13,0.57,0.7,0.18,0.54,0.31,164.2439179067965
1.0,3.0,9.0,4.0,2.0,4.0,3.0,2.0,1.0,2.0,1.0,1.0,0.1547945205479452,0.1575342465753424,150000.0,0.76,0.23,0.76,0.26,0.53,0.55,3838.86,0.31,3838.87,0.05,0.55,0.27,0.5,0.21,0.69,0.18,0.59,0.02,3838.86,0.03,0.53,0.26,0.45,0.07,3838.88,0.24,0.65,0.14,0.5,0.22,155.48858691668417
2.0,1.0,5.0,4.0,2.0,2.0,7.0,2.0,1.0,1.0,1.0,1.0,0.1506849315068493,0.1506849315068493,149500.0,0.77,0.22,0.77,0.31,0.55,0.61,1128.21,0.36,1128.21,0.11,0.36,0.27,0.54,0.29,0.69,0.13,0.58,0.01,1128.2,0.05,0.57,0.27,0.47,0.52,1128.21,0.57,0.71,0.18,0.54,0.31,164.13953304577623
2.0,4.0,4.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,0.1552511415525114,0.1552511415525114,147000.0,0.67,0.15,0.46,0.38,0.56,0.65,1463.21,0.3,1463.2,0.02,0.39,0.27,0.4,0.28,0.72,0.15,0.63,0.01,1463.21,0.38,0.52,0.24,0.41,0.05,1463.22,0.54,0.64,0.11,0.4,0.33,151.44421679457557
1.0,4.0,6.0,4.0,2.0,5.0,2.0,1.0,2.0,1.0,1.0,1.0,0.1547945205479452,0.1534246575342465,160000.0,0.76,0.27,-0.02,0.18,0.54,0.58,4909.6,0.36,4909.62,0.07,0.57,0.18,0.51,0.28,0.72,0.21,0.6,0.01,4909.61,0.03,0.53,0.16,0.44,0.06,4909.63,0.22,0.64,0.16,0.32,0.15,158.94687889298368
2.0,4.0,9.0,4.0,1.0,4.0,7.0,2.0,2.0,2.0,1.0,1.0,0.1598173515981735,0.1506849315068493,149700.0,0.75,0.25,0.11,0.23,0.53,0.5,1350.9,0.34,1350.9,0.07,0.48,0.25,0.5,0.23,0.75,0.17,0.64,0.01,1350.9,0.02,0.56,0.26,0.42,0.53,1350.9,0.25,0.69,0.16,0.5,0.25,162.7192598153575
2.0,4.0,4.0,1.0,1.0,5.0,2.0,2.0,2.0,2.0,1.0,1.0,0.1552511415525114,0.1598173515981735,148000.0,0.69,0.35,0.48,0.34,0.57,0.57,1552.34,0.33,1552.35,0.06,0.32,0.24,0.41,0.27,0.69,0.26,0.65,0.01,1552.34,0.03,0.52,0.23,0.42,0.03,1552.35,0.22,0.65,0.11,0.26,0.15,162.88567269212157
2.0,4.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,0.1835443037974683,0.1835443037974683,145000.0,0.72,0.17,0.72,0.29,0.51,0.65,1215.72,0.3,1215.72,0.02,0.34,0.25,0.34,0.31,0.73,0.15,0.6,0.02,1215.72,0.38,0.56,0.23,0.42,0.05,1215.71,0.23,0.67,0.11,0.34,0.28,154.47324657288587
1.0,1.0,6.0,3.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,0.1602739726027397,0.1575342465753424,151000.0,0.76,0.26,0.76,0.22,0.51,0.67,4165.26,0.31,4165.21,0.05,0.54,0.23,0.5,0.23,0.69,0.18,0.6,0.01,4165.21,0.03,0.52,0.26,0.46,0.07,4165.22,0.23,0.64,0.14,0.5,0.25,154.95379416423688
1.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,0.1657534246575342,0.1657534246575342,157000.0,0.72,0.18,0.46,0.34,0.54,0.59,5188.6,0.35,5188.61,0.08,0.47,0.21,0.52,0.23,0.67,0.23,0.62,0.01,5188.6,0.01,0.52,0.24,0.43,0.05,5188.62,0.22,0.62,0.12,0.3,0.16,157.8275711701182
1.0,4.0,9.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,0.1616438356164383,0.1589041095890411,159975.0,0.77,0.29,0.05,0.17,0.54,0.49,4965.74,0.36,4965.7,0.07,0.57,0.17,0.52,0.28,0.73,0.24,0.63,0.01,4965.69,0.03,0.53,0.16,0.42,0.05,4965.7,0.22,0.66,0.17,0.3,0.15,157.40872537250127
1.0,2.0,9.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,0.1616438356164383,0.1616438356164383,159725.0,0.77,0.29,0.04,0.18,0.54,0.53,4922.05,0.0,4922.06,0.0,0.58,0.16,0.52,0.28,0.73,0.23,0.62,0.01,4922.06,0.0,0.53,0.16,0.42,0.05,4922.12,0.0,0.66,0.17,0.3,0.16,157.4811096331686
1.0,2.0,5.0,4.0,2.0,5.0,3.0,2.0,1.0,2.0,1.0,1.0,0.1506849315068493,0.1589041095890411,154000.0,0.74,0.2,0.74,0.35,0.52,0.63,4945.97,0.33,4945.98,0.05,0.53,0.22,0.49,0.26,0.71,0.21,0.59,0.01,4945.97,0.03,0.51,0.27,0.44,0.06,4945.99,0.23,0.63,0.13,0.49,0.25,155.56110911698343
2.0,4.0,5.0,4.0,2.0,4.0,8.0,2.0,2.0,1.0,2.0,1.0,0.1506849315068493,0.1552511415525114,151000.0,0.72,0.19,0.72,0.37,0.53,0.56,1414.9,0.34,1414.9,0.06,0.48,0.2,0.47,0.22,0.79,0.17,0.64,0.01,1414.9,0.02,0.6,0.25,0.42,0.53,1414.91,0.25,0.67,0.13,0.47,0.23,159.85263001294206
2.0,4.0,6.0,2.0,2.0,1.0,8.0,1.0,1.0,2.0,2.0,1.0,0.1506849315068493,0.1506849315068493,150000.0,0.78,0.23,-0.0,0.19,0.57,0.55,1427.74,0.0,1427.74,0.0,0.49,0.29,0.49,0.36,0.65,0.28,0.58,0.01,1427.74,0.0,0.49,0.14,0.42,0.05,1427.76,0.0,0.67,0.18,0.49,0.36,154.20760593243438
2.0,3.0,6.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,0.1415525114155251,0.1415525114155251,148000.0,0.8,0.24,0.8,0.22,0.59,0.62,1061.9,0.0,1061.9,0.0,0.54,0.3,0.52,0.32,0.68,0.17,0.6,0.01,1061.9,0.0,0.56,0.27,0.45,0.53,1061.91,0.0,0.72,0.19,0.52,0.32,159.8817046794383
2.0,1.0,2.0,3.0,2.0,5.0,3.0,2.0,1.0,2.0,1.0,1.0,0.1552511415525114,0.1598173515981735,144750.0,0.72,0.17,0.72,0.3,0.53,0.49,1196.89,0.29,1196.89,0.01,0.38,0.26,0.38,0.28,0.73,0.16,0.62,0.01,1196.89,0.38,0.57,0.23,0.42,0.05,1196.89,0.54,0.66,0.12,0.38,0.28,153.94161999746893
2.0,3.0,4.0,4.0,2.0,5.0,3.0,2.0,2.0,1.0,1.0,1.0,0.1552511415525114,0.1506849315068493,145000.0,0.66,0.16,0.44,0.39,0.55,0.61,1312.1,0.3,1312.1,0.01,0.37,0.27,0.38,0.29,0.74,0.18,0.63,0.01,1312.1,0.38,0.57,0.23,0.43,0.05,1312.11,0.53,0.66,0.12,0.38,0.29,152.08484842649676
2.0,2.0,8.0,3.0,2.0,4.0,3.0,2.0,1.0,2.0,1.0,1.0,0.1461187214611872,0.1506849315068493,147000.0,0.73,0.17,0.73,0.26,0.53,0.67,1349.3,0.31,1349.3,0.02,0.38,0.3,0.42,0.31,0.73,0.17,0.62,0.01,1349.3,0.38,0.54,0.26,0.39,0.05,1349.31,0.23,0.67,0.15,0.42,0.3,157.10830183723337
2.0,1.0,5.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.1506849315068493,0.1506849315068493,148000.0,0.79,0.21,0.79,0.26,0.59,0.62,1076.03,0.0,1076.03,0.0,0.53,0.29,0.51,0.32,0.68,0.19,0.6,0.01,1076.03,0.0,0.56,0.27,0.46,0.53,1076.04,0.0,0.72,0.18,0.51,0.32,160.76478459622203
2.0,4.0,7.0,3.0,2.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0,0.1552511415525114,0.1461187214611872,147000.0,0.73,0.2,0.73,0.24,0.55,0.51,1395.22,0.32,1395.22,0.02,0.42,0.28,0.42,0.33,0.74,0.15,0.63,0.01,1395.22,0.02,0.55,0.25,0.39,0.05,1395.22,0.23,0.68,0.15,0.42,0.33,154.53458619665105
2.0,2.0,9.0,4.0,1.0,3.0,8.0,2.0,1.0,2.0,2.0,1.0,0.1598173515981735,0.1552511415525114,151000.0,0.81,0.23,0.81,0.32,0.57,0.55,1073.46,0.37,1073.45,0.1,0.62,0.22,0.61,0.31,0.74,0.13,0.6,0.01,1073.46,0.07,0.57,0.17,0.45,0.52,1073.46,0.29,0.73,0.22,0.61,0.25,164.43194610711845
2.0,1.0,3.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,0.1461187214611872,0.1461187214611872,145000.0,0.68,0.34,0.68,0.34,0.54,0.66,1371.54,0.29,1371.54,0.01,0.33,0.29,0.35,0.26,0.73,0.18,0.62,0.01,1371.54,0.38,0.52,0.24,0.45,0.05,1371.54,0.53,0.64,0.11,0.35,0.27,152.98593565883564
2.0,4.0,4.0,1.0,1.0,5.0,8.0,2.0,1.0,1.0,1.0,1.0,0.1552511415525114,0.1598173515981735,149000.0,0.68,0.37,0.46,0.38,0.54,0.5,1433.41,0.34,1433.42,0.06,0.3,0.25,0.47,0.28,0.74,0.18,0.65,0.01,1433.41,0.02,0.57,0.23,0.41,0.04,1433.42,0.24,0.69,0.12,0.33,0.14,163.57745758290193
1.0,1.0,6.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,0.1575342465753424,0.1575342465753424,151000.0,0.76,0.26,0.76,0.24,0.51,0.67,4165.26,0.31,4165.21,0.05,0.54,0.23,0.5,0.23,0.69,0.18,0.6,0.01,4165.21,0.03,0.52,0.26,0.46,0.07,4165.22,0.23,0.64,0.14,0.5,0.25,154.9504610610747
2.0,2.0,5.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.1506849315068493,0.1506849315068493,148500.0,0.72,0.17,0.72,0.35,0.56,0.55,1436.59,0.34,1436.58,0.05,0.47,0.19,0.44,0.27,0.74,0.15,0.66,1.0,1436.59,0.02,0.54,0.25,0.42,0.03,1436.6,0.25,0.67,0.14,0.32,0.11,161.05800567113326
2.0,4.0,5.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,0.1506849315068493,0.1461187214611872,148500.0,0.72,0.17,0.72,0.33,0.56,0.55,1436.58,0.34,1436.58,0.05,0.47,0.19,0.44,0.27,0.74,0.15,0.66,1.0,1436.58,0.02,0.54,0.25,0.42,0.03,1436.58,0.25,0.67,0.14,0.32,0.14,161.0569309414828
1.0,4.0,7.0,2.0,1.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,0.1561643835616438,0.1534246575342465,153900.0,0.75,0.23,0.75,0.23,0.52,0.59,4732.11,0.32,4732.13,0.05,0.55,0.26,0.5,0.25,0.72,0.17,0.58,0.01,4732.11,0.03,0.52,0.17,0.43,0.07,4732.14,0.23,0.64,0.16,0.5,0.23,154.01824560863838
2.0,2.0,8.0,1.0,2.0,1.0,6.0,1.0,1.0,1.0,2.0,1.0,0.1461187214611872,0.1461187214611872,153575.0,0.81,0.27,0.01,0.16,0.59,0.56,1246.21,0.0,1246.21,0.0,0.51,0.31,0.47,0.32,0.71,0.31,0.63,0.01,1246.21,0.0,0.55,0.27,0.46,0.54,1246.22,0.0,0.68,0.21,0.23,0.23,161.27233090512715
1.0,3.0,5.0,1.0,1.0,5.0,3.0,1.0,2.0,1.0,2.0,1.0,0.173972602739726,0.173972602739726,151750.0,0.75,0.2,0.75,0.33,0.52,0.65,4236.58,0.31,4236.59,0.05,0.54,0.25,0.49,0.23,0.7,0.16,0.6,0.01,4236.58,0.03,0.52,0.26,0.46,0.07,4236.6,0.24,0.64,0.14,0.49,0.24,155.7640316059877
2.0,4.0,9.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,0.1598173515981735,0.1598173515981735,151000.0,0.82,0.3,0.05,0.16,0.6,0.62,1117.93,0.04,1117.93,0.11,0.56,0.25,0.46,0.25,0.75,0.18,0.64,0.02,1117.93,0.09,0.55,0.19,0.49,0.54,1117.93,0.55,0.69,0.21,0.21,0.21,164.36465798146762
2.0,2.0,1.0,4.0,2.0,4.0,7.0,2.0,2.0,2.0,1.0,1.0,0.1835443037974683,0.1835443037974683,147000.0,0.72,0.17,0.72,0.29,0.51,0.56,1116.22,0.33,1116.23,0.05,0.43,0.18,0.43,0.26,0.75,0.23,0.66,0.02,1116.22,0.39,0.55,0.19,0.34,0.02,1116.23,0.21,0.68,0.11,0.43,0.25,161.78054052723573
1.0,1.0,4.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,0.1506849315068493,0.1506849315068493,157250.0,0.72,0.2,0.46,0.35,0.53,0.57,4574.42,0.0,4574.43,0.0,0.36,0.2,0.51,0.13,0.7,0.19,0.61,0.01,4574.43,0.0,0.0,0.17,0.45,0.06,4574.49,0.0,0.02,0.18,0.51,0.14,164.4611238908203
2.0,4.0,8.0,3.0,1.0,4.0,3.0,1.0,2.0,2.0,2.0,1.0,0.1461187214611872,0.1506849315068493,147000.0,0.73,0.17,0.73,0.26,0.53,0.67,1349.3,0.31,1349.3,0.02,0.38,0.3,0.42,0.31,0.73,0.17,0.62,0.01,1349.3,0.38,0.54,0.26,0.39,0.05,1349.31,0.23,0.67,0.15,0.42,0.3,157.10830183723337
1.0,2.0,4.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,0.1671232876712328,0.1657534246575342,157250.0,0.72,0.17,0.45,0.4,0.52,0.53,5303.87,0.35,5303.88,0.08,0.45,0.25,0.5,0.28,0.68,0.24,0.61,0.01,5303.87,0.02,0.53,0.24,0.43,0.05,5303.88,0.21,0.62,0.12,0.28,0.13,157.81164450787438
1.0,2.0,3.0,2.0,1.0,1.0,8.0,1.0,2.0,1.0,2.0,1.0,0.1561643835616438,0.1561643835616438,164850.0,0.77,0.21,0.77,0.27,0.54,0.58,4256.21,0.0,4256.22,0.0,0.57,0.37,0.54,0.32,0.7,0.33,0.61,0.02,4256.22,0.0,0.51,0.14,0.47,0.07,4256.27,0.0,0.64,0.16,0.26,0.21,161.53004967830677
1.0,2.0,6.0,4.0,2.0,2.0,5.0,1.0,1.0,2.0,2.0,1.0,0.1547945205479452,0.1630136986301369,160000.0,0.82,0.22,0.02,0.14,0.54,0.6,3472.45,0.04,3472.45,0.11,0.65,0.17,0.55,0.21,0.75,0.18,0.6,0.46,3472.45,0.08,0.54,0.17,0.46,0.5,3472.45,0.27,0.7,0.23,0.31,0.17,163.14509624617827
1.0,3.0,7.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,0.1561643835616438,0.1547945205479452,150500.0,0.76,0.25,0.76,0.21,0.51,0.66,4108.45,0.31,4108.45,0.05,0.54,0.24,0.49,0.28,0.69,0.16,0.59,0.01,4108.45,0.03,0.53,0.26,0.46,0.07,4108.46,0.23,0.65,0.14,0.49,0.26,154.76646046690635
2.0,2.0,4.0,4.0,2.0,1.0,6.0,2.0,2.0,2.0,2.0,1.0,0.1552511415525114,0.1552511415525114,151000.0,0.79,0.19,0.61,0.34,0.62,0.65,1341.22,0.0,1341.22,0.0,0.5,0.32,0.41,0.39,0.66,0.37,0.57,0.01,1341.22,0.0,0.5,0.24,0.42,0.54,1341.24,0.0,0.65,0.14,0.16,0.22,156.12446427917706
1.0,2.0,2.0,3.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,0.1506849315068493,0.1493150684931506,165000.0,0.77,0.21,0.0,0.27,0.53,0.55,3604.22,0.04,3604.22,0.1,0.66,0.24,0.62,0.25,0.73,0.2,0.61,0.45,3604.22,0.06,0.54,0.17,0.45,0.5,3604.22,0.25,0.69,0.47,0.34,0.17,163.3305027384767
2.0,2.0,8.0,1.0,1.0,4.0,8.0,2.0,2.0,1.0,2.0,1.0,0.1461187214611872,0.1506849315068493,149700.0,0.75,0.25,0.04,0.24,0.53,0.5,1407.67,0.34,1407.67,0.06,0.45,0.21,0.48,0.22,0.77,0.17,0.65,0.01,1407.67,0.02,0.59,0.27,0.42,0.53,1407.68,0.25,0.69,0.16,0.48,0.23,161.15976608215135
2.0,3.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,0.1461187214611872,0.1461187214611872,148000.0,0.79,0.21,0.79,0.3,0.59,0.62,1076.03,0.0,1076.03,0.0,0.53,0.29,0.51,0.32,0.68,0.19,0.6,0.01,1076.03,0.0,0.56,0.27,0.46,0.53,1076.04,0.0,0.72,0.18,0.51,0.32,160.2961837720773
1.0,1.0,9.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,0.1547945205479452,0.1534246575342465,150000.0,0.76,0.23,0.76,0.27,0.53,0.55,3838.89,0.31,3838.89,0.05,0.55,0.27,0.5,0.21,0.69,0.18,0.59,0.02,3838.89,0.03,0.53,0.26,0.45,0.07,3838.9,0.24,0.65,0.14,0.5,0.22,155.4885869052465
2.0,4.0,9.0,1.0,2.0,5.0,7.0,1.0,2.0,1.0,1.0,1.0,0.1598173515981735,0.1506849315068493,151000.0,0.75,0.25,0.1,0.17,0.53,0.49,1380.49,0.35,1380.49,0.06,0.48,0.22,0.49,0.23,0.74,0.11,0.64,0.01,1380.49,0.02,0.53,0.26,0.4,0.04,1380.49,0.25,0.69,0.17,0.4,0.13,163.90403609993405
1.0,2.0,4.0,3.0,2.0,5.0,3.0,2.0,2.0,1.0,2.0,1.0,0.1671232876712328,0.1616438356164383,152000.0,0.76,0.2,0.76,0.34,0.53,0.56,4409.14,0.32,4409.15,0.05,0.45,0.28,0.49,0.22,0.66,0.17,0.58,0.02,4409.14,0.03,0.52,0.25,0.43,0.07,4409.16,0.23,0.62,0.41,0.49,0.2,157.57213611044253
2.0,4.0,6.0,1.0,2.0,1.0,8.0,1.0,2.0,1.0,1.0,1.0,0.1506849315068493,0.1506849315068493,150000.0,0.78,0.23,-0.0,0.19,0.57,0.55,1427.74,0.0,1427.74,0.0,0.49,0.29,0.49,0.36,0.65,0.28,0.58,0.01,1427.74,0.0,0.49,0.14,0.42,0.05,1427.76,0.0,0.67,0.18,0.49,0.36,154.20760593243438
