,idDBLP,idACM
189,conf/vldb/Jamil97,673648
190,conf/vldb/KraissW97,673664
191,conf/vldb/ChavdaW97,671021
192,conf/vldb/Moni96,673335
193,conf/vldb/CareyD96,673465
194,conf/vldb/LevyRO96,673469
195,conf/vldb/Levy96,673332
196,conf/vldb/ShaferAM96,673491
197,conf/vldb/KornackerB95,673305
198,conf/vldb/BassiliadesV95,673137
199,conf/vldb/SumiyaYTSI95,673141
200,conf/vldb/MoserKK95,673149
201,conf/vldb/LometT95,673170
202,conf/vldb/HvasshovdTBH95,673136
203,conf/vldb/AgrawalPWZ95,673157
204,conf/vldb/Spintzik95,673162
205,conf/vldb/JagadishLRSS94,673000
206,conf/vldb/Guting94,672980
207,conf/vldb/ChaudhuriS94,672834
208,conf/vldb/PoulovassilisS94,672965
209,conf/vldb/SistlaYH94,672829
210,journals/vldb/Halevy01,767151
211,journals/vldb/RahmB01,767154
212,journals/vldb/WangW01,765508
213,journals/vldb/KornLKF00,764219
214,journals/vldb/PacittiS00,764222
215,journals/vldb/NgC98,765535
216,journals/vldb/MehtaD97,765547
217,journals/vldb/EvangelidisS97,765544
218,journals/vldb/MylopoulosCPST96,765853
219,journals/vldb/TsatalosSI96,765690
220,journals/vldb/RamamrithamC96,765756
221,journals/vldb/StonebrakerALPSSSY96,765754
222,journals/vldb/AtkinsonM95,615226
223,journals/vldb/ChuIT94,615208
224,journals/vldb/PapadiasS94,615209
225,journals/vldb/RamamohanaraoH94,615193
226,journals/vldb/KieslingSSD94,615196
227,journals/vldb/AtzeniM00,765219
228,journals/vldb/RamanRH00,765239
229,journals/vldb/ShanmugasundaramSBCLPR01,767144
230,journals/vldb/Li03,950491
231,journals/vldb/ChanFGR02,764205
232,journals/vldb/AnGSVKI02,641270
233,journals/vldb/FengYLH02,767131
234,journals/vldb/MaratheS02,767098
235,conf/sigmod/MogiK96,233331
