Age,Workclass,fnlwgt,Education,Education_Num,Martial_Status,Occupation,Relationship,Race,Sex,Capital_Gain,Capital_Loss,Hours_per_week,Country,income
56,2,216851,9,13,2,13,0,4,1,0,0,1.5414100380841014e-05,38,1
19,4,168294,11,9,4,3,3,4,1,0,0,-3.6808710928656625e-06,38,0
54,0,180211,15,10,2,0,0,1,1,999,0,1.3350808353007192e-05,34,1
39,4,367260,11,9,0,4,1,4,1,0,0,-1.0442061508797361e-05,38,0
-999,4,193366,11,9,2,3,0,4,1,0,0,-1.080877749765694e-05,38,0
23,2,190709,7,12,4,11,1,4,1,0,0,7.527465714983389e-06,38,1
20,4,266015,15,10,4,12,3,2,1,999,0,-1.5047407384088017e-05,38,0
45,4,386940,9,13,,4,3,4,1,0,1408,1408.0000057276563,38,1
30,1,59951,15,10,2,1,3,4,1,0,0,1.013131937213261e-06,38,0
22,7,311512,15,10,2,8,0,2,1,0,0,1.0718527286548728e-05,38,0
48,4,242406,1,7,4,7,4,4,1,0,0,-5.944396495488946e-07,32,0
21,4,197200,15,10,4,7,3,4,1,0,0,5.604894629552713e-07,38,1
19,4,544091,11,9,1,1,5,4,0,0,0,5.092649929249059e-06,38,0
31,4,84154,15,10,2,12,0,4,1,0,0,-6.626495500597785e-06,0,1
48,6,265477,7,12,2,10,0,4,1,0,0,-7.062063074902213e-06,38,0
31,4,507875,6,5,2,7,0,4,1,0,0,4.744294398434195e-06,38,1
53,6,88506,9,13,2,10,0,4,1,0,0,-2.9287809130637443e-07,38,0
24,4,172987,9,13,2,13,0,4,1,999,0,-4.073139173042804e-06,38,0
49,4,94638,11,9,5,1,4,4,0,0,0,-8.278409969766755e-07,38,0
25,4,289980,11,9,4,6,1,4,1,0,0,1.59455950783833e-05,38,0
57,1,337895,9,13,2,10,0,2,1,0,0,-4.430184067398926e-06,38,0
53,4,144361,11,9,2,7,0,4,1,0,0,-4.720196132820156e-06,38,0
44,4,128354,12,14,0,4,4,4,0,0,0,-1.707444224662495e-05,38,0
-999,7,101603,8,11,2,3,0,4,1,999,0,-4.2352938157115e-07,38,0
29,4,271466,8,11,4,10,1,4,1,0,0,6.56883511240392e-06,38,0
25,4,32275,15,10,2,4,5,3,0,0,0,8.361981156808682e-06,38,0
18,4,226956,11,9,4,8,3,4,0,0,0,1.082176016305326e-06,0,0
47,4,51835,14,15,2,10,5,4,0,0,1902,1902.0000095583357,15,1
50,1,251585,9,13,0,4,1,4,1,0,0,7.31230401880242e-06,38,0
47,5,109832,11,9,0,4,1,4,1,0,0,1.1129502296922627e-05,38,0
43,4,237993,15,10,2,13,0,4,1,0,0,9.843026554775618e-06,38,1
46,4,216666,4,3,2,7,0,4,1,0,0,1.5699781961072513e-05,25,0
35,4,56352,8,11,2,8,0,4,1,0,0,-1.6969316656624964e-06,32,0
41,4,147372,11,9,2,1,0,4,1,0,0,-1.3270580423615085e-05,38,0
30,4,188146,11,9,,7,0,4,1,5013,0,6.6371874368542026e-06,38,0
30,4,59496,9,13,2,12,0,4,1,999,0,7.805531893227764e-06,38,0
32,0,293936,5,4,3,0,1,4,1,0,0,1.5699953933811395e-05,0,0
48,4,149640,11,9,2,14,0,4,1,0,0,1.281290356169706e-05,38,0
42,4,116632,10,16,2,10,0,4,1,0,0,1.9454724558645653e-05,38,1
29,4,105598,15,10,0,13,1,4,1,0,0,6.198539803265331e-06,38,0
36,4,155537,11,9,2,3,0,4,1,0,0,2.288105919386282e-06,38,0
28,4,183175,15,10,0,1,1,4,0,0,0,-1.3849831213257467e-05,38,1
53,4,169846,11,9,2,1,5,4,0,999,0,3.0809653451408038e-06,38,0
49,5,191681,15,10,2,4,0,4,1,0,0,-5.525033568713179e-06,38,1
25,0,200681,15,10,4,0,3,4,1,0,0,2.1151001343247094e-06,38,1
19,4,101509,15,10,4,10,3,4,1,0,0,5.45131863096561e-07,38,0
31,4,309974,9,13,,12,3,2,0,0,0,4.71733588850135e-06,38,0
29,6,162298,9,13,,12,0,4,1,0,0,-9.733070953851064e-07,38,1
23,4,211678,15,10,4,7,1,4,1,0,0,9.350201907325847e-06,38,0
79,4,124744,15,10,2,10,2,4,1,0,0,-2.7231543128750583e-05,38,0
27,4,213921,11,9,4,8,3,4,1,0,0,1.8999357515784447e-06,25,0
40,4,32214,7,12,2,1,0,4,1,0,0,1.202489779152562e-05,38,0
67,0,212759,0,6,2,0,0,4,1,999,0,1.870048508456215e-05,38,0
18,4,309634,1,7,4,8,3,4,0,0,0,7.319613383850629e-06,38,1
31,2,125927,5,4,2,5,0,4,1,999,0,1.684883022582539e-05,38,0
18,4,446839,11,9,4,12,1,4,1,0,0,1.689359957587424e-06,38,0
52,4,276515,9,13,2,8,0,4,1,0,0,2.862575927063058e-08,5,0
-999,4,51618,11,9,2,8,5,4,0,0,0,5.294156432277516e-06,38,0
59,4,159937,11,9,2,12,0,4,1,0,0,-3.194282891065065e-08,38,0
44,4,343591,11,9,0,3,1,4,0,14344,0,-7.823574680173607e-06,38,1
53,4,346253,11,9,0,12,3,4,0,0,0,-5.152402441318994e-06,38,0
49,2,268234,11,9,2,11,0,4,1,0,0,-1.1121529060761573e-05,38,1
33,4,202051,12,14,2,10,0,4,1,0,0,5.283770948652447e-06,38,0
30,4,54334,6,5,4,12,1,4,1,0,0,1.1391812500477264e-07,38,0
43,1,410867,10,16,4,10,1,4,0,0,0,-3.6028611675809754e-06,38,0
57,4,249977,8,11,,10,0,4,1,0,0,-5.6668375683729025e-06,38,1
37,4,286730,15,10,0,3,4,4,0,0,0,5.050563461996265e-06,38,0
28,4,212563,15,10,0,7,4,2,0,0,0,7.804481806100703e-06,38,1
30,4,117747,11,9,2,12,5,1,0,999,1573,1572.9999886948601,0,0
-999,2,226296,9,13,2,11,0,4,1,0,0,-1.2876846697756178e-05,38,1
29,2,115585,15,10,4,6,1,4,1,0,0,9.545099556210151e-06,38,0
48,6,191277,10,16,2,10,0,4,1,0,1902,1901.9999862486677,38,1
37,4,202683,15,10,2,12,0,4,1,0,0,5.474868338224845e-06,38,1
48,4,171095,7,12,0,4,4,4,0,0,0,1.6169091987540134e-05,9,0
-999,1,249409,11,9,4,8,3,2,1,0,0,1.6192348033931346e-05,38,1
76,4,124191,12,14,2,4,0,4,1,0,0,7.378725906320917e-06,38,1
44,4,198282,9,13,2,4,0,4,1,15024,0,7.088095153221207e-06,38,0
47,6,149116,12,14,,10,1,4,0,0,0,2.251907450196455e-05,38,0
20,4,188300,15,10,4,13,3,4,0,0,0,-2.334395662893771e-05,38,0
29,4,103432,11,9,4,3,1,4,1,0,0,-4.643356760806351e-06,38,0
32,5,317660,11,9,2,3,0,4,1,7688,0,8.484918490766016e-06,38,0
-999,0,304873,0,6,4,0,3,4,0,34095,0,-3.3728700784195706e-06,38,1
30,4,194901,1,7,4,6,3,4,1,0,0,1.2397783086070347e-05,38,0
31,2,189265,11,9,4,1,1,4,0,0,0,-3.9354060310192647e-07,38,0
42,4,124692,11,9,2,6,0,4,1,0,0,1.3174386033759755e-06,38,0
24,4,432376,9,13,4,12,2,4,1,0,0,-2.7467466424593768e-06,38,0
38,4,65324,14,15,2,10,0,4,1,0,0,-5.225109588080608e-06,38,0
56,6,335605,11,9,2,8,0,4,1,0,1887,1886.9999945289003,2,0
28,4,377869,15,10,2,12,5,4,0,4064,0,2.7116629683677632e-06,38,1
36,4,102864,11,9,4,7,3,4,0,0,0,-7.74564965822867e-06,38,0
53,4,95647,6,5,2,6,0,4,1,0,0,9.532048834912876e-06,38,0
56,5,303090,15,10,2,12,0,4,1,999,0,6.532259246028234e-06,38,1
49,2,197371,8,11,2,3,0,2,1,0,0,1.0994164409698405e-05,38,1
55,4,247552,15,10,,12,0,4,1,0,0,-1.1289243559929988e-05,38,0
-999,4,102632,11,9,,3,1,4,1,0,0,-1.699476546786444e-05,38,0
21,4,199915,15,10,4,8,3,4,0,0,0,-4.18575563176354e-08,38,0
40,4,118853,9,13,2,4,0,4,1,0,0,2.8988006135595213e-05,38,0
30,4,77143,9,13,4,4,3,2,1,0,0,1.2662087780945707e-05,11,0
29,7,267989,9,13,2,10,0,4,1,0,0,-5.5444630850671314e-06,38,1
19,4,301606,15,10,4,8,3,2,1,0,0,4.24512134431341e-06,38,0
47,4,287828,9,13,2,4,5,4,0,0,0,7.275869074436836e-06,38,1
20,4,111697,15,10,4,1,3,4,0,0,1719,1718.9999863161177,38,0
31,4,114937,7,12,,1,0,4,1,999,0,1.369625869034605e-05,38,1
-999,0,129305,11,9,2,0,0,4,1,0,0,-1.6742412682094073e-06,38,0
39,4,365739,15,10,0,3,1,4,1,999,0,-9.068084460786037e-07,38,1
28,4,69621,7,12,4,12,1,4,0,0,0,2.378465943385564e-07,38,0
24,4,43323,11,9,4,8,1,4,0,0,1762,1762.0000114454015,38,0
38,6,120985,11,9,2,3,0,4,1,4386,0,-7.55182158201408e-06,38,0
37,4,254202,9,13,2,12,0,4,1,999,0,-1.7069700047844524e-05,38,0
46,4,146195,7,12,0,13,1,2,0,0,0,3.2295529290004453e-06,38,0
-999,1,125933,12,14,2,10,0,4,1,0,0,-2.043658086173129e-05,19,1
43,6,56920,11,9,,3,0,4,1,0,0,-3.011035951355401e-06,38,0
27,4,163127,8,11,2,1,5,4,0,0,0,1.1868742898588184e-05,38,0
-999,4,34310,15,10,,12,3,4,1,0,0,5.790939035087383e-06,38,0
49,4,81973,15,10,2,3,0,1,1,0,0,1.0423560657252761e-05,38,1
61,5,66614,11,9,2,3,0,4,1,0,0,6.20351365202829e-06,38,0
27,4,232782,15,10,,12,3,4,0,0,0,2.4103344887834084e-05,38,1
19,4,316868,15,10,4,8,3,4,1,0,0,-5.882396276568151e-06,25,0
45,4,196584,8,11,4,10,1,4,0,0,1564,1564.0000039813167,38,0
70,4,105376,15,10,4,13,2,4,1,999,0,-4.381204712126504e-06,38,1
31,4,185814,11,9,4,14,4,2,0,0,0,9.56801269914871e-06,38,0
22,4,175374,15,10,2,8,0,4,1,0,0,-6.157487605049597e-07,38,0
36,4,108293,11,9,6,8,4,4,0,0,0,1.7188448794440452e-05,38,1
-999,4,181232,1,7,2,3,0,4,1,0,2179,2178.9999946918406,38,0
43,0,174662,15,10,0,0,1,4,0,0,0,1.4071265257169844e-05,38,0
47,2,186009,15,10,0,1,4,4,0,0,0,5.931395305439709e-06,25,0
-999,4,198183,11,9,4,1,1,4,0,0,0,-3.2461069086980586e-07,38,0
-999,4,163003,9,13,4,4,2,1,0,0,0,5.424423378599244e-06,29,0
21,4,296158,11,9,4,3,3,4,1,0,0,2.6126438752919225e-06,38,1
52,0,252903,11,9,0,0,1,4,1,999,0,3.5595468025181005e-06,38,0
48,4,187715,11,9,2,3,0,4,1,0,0,-2.0687107309439093e-06,38,0
23,4,214542,9,13,4,6,1,4,1,0,0,-7.015885075549914e-06,38,0
71,6,494223,15,10,5,12,4,2,1,0,1816,1815.9999966492887,38,0
29,4,191535,11,9,0,3,1,4,1,0,0,-1.6831449779482226e-05,38,0
42,4,228456,9,13,5,8,2,2,1,999,0,8.419483325326256e-06,38,1
68,0,38317,3,2,0,0,1,4,0,0,0,-1.2351639721754798e-05,38,1
25,4,252752,11,9,4,8,4,4,0,0,0,-2.1764705523569966e-06,38,0
44,5,78374,12,14,0,4,4,1,0,0,0,6.480450414810332e-06,38,0
28,4,88419,11,9,,4,1,1,0,0,0,8.393967170999114e-06,9,1
45,6,201080,12,14,2,12,0,4,1,0,0,-1.7746519368372388e-05,38,1
36,4,207157,15,10,0,8,4,4,0,0,0,-9.184807522507778e-07,25,0
39,1,235485,7,12,4,4,1,4,1,0,0,4.597446994488221e-06,38,0
46,7,102628,12,14,6,11,4,4,1,0,0,5.201610926232676e-07,38,0
18,4,25828,1,7,4,6,3,4,1,0,0,1.3440749576735448e-05,38,0
66,2,54826,8,11,,10,1,4,0,0,0,-8.218068999146023e-06,38,0
27,4,124953,11,9,4,8,1,4,1,999,1980,1979.9999795095887,38,0
28,7,175325,11,9,2,11,0,4,1,0,0,8.103260167685213e-06,38,0
51,4,96062,15,10,2,12,0,4,1,0,1977,1976.9999946291389,38,0
27,4,428030,9,13,,3,1,4,1,0,0,-1.758540597585998e-05,38,1
28,7,149624,9,13,2,10,0,4,1,0,0,-1.5851239056647382e-06,38,0
27,4,253814,11,9,3,12,4,4,0,0,0,1.2305579759317014e-05,38,1
21,4,312956,11,9,4,3,3,2,1,0,0,-1.2632526178126983e-05,38,0
34,4,483777,11,9,4,6,1,2,1,0,0,2.3359959539472676e-05,38,1
18,4,183930,11,9,4,8,3,4,1,999,0,-8.37881594536662e-06,38,0
33,4,37274,9,13,2,10,0,4,1,0,0,8.701085412574989e-07,38,1
44,2,181344,15,10,2,4,0,2,1,999,0,-1.2191324178476085e-05,38,1
43,4,114580,15,10,,1,1,4,0,999,0,4.16103486960142e-07,38,0
30,4,633742,15,10,4,3,1,2,1,0,0,-1.3374782175867696e-06,38,0
40,4,286370,5,4,,7,0,4,1,0,0,-1.4894939023310872e-05,25,1
37,1,29054,15,10,2,1,0,4,1,0,0,2.82582696895091e-05,38,1
34,4,304030,11,9,,1,0,2,1,0,0,-4.953371690186946e-06,38,0
-999,6,143129,9,13,0,4,1,4,0,0,0,-4.944625573060286e-06,38,0
53,0,135105,9,13,0,0,1,4,0,0,0,9.690358793536545e-06,38,0
31,4,99928,12,14,2,10,5,4,0,0,0,1.8142548833484688e-05,38,0
58,7,109567,10,16,2,10,0,4,1,0,0,1.126436868004303e-05,38,1
38,4,155222,15,10,0,7,1,2,0,0,0,-1.2011801230265865e-05,38,0
24,4,159567,15,10,,7,0,4,1,0,0,2.1390900949466278e-06,38,0
41,2,523910,9,13,2,3,0,2,1,0,0,-1.881372482384995e-05,38,0
47,4,120939,15,10,2,13,0,4,1,0,0,9.017050813223567e-06,38,0
41,1,130760,9,13,2,13,0,4,1,999,0,-1.635188138530462e-05,38,1
23,4,197387,4,3,2,14,2,4,1,0,0,-8.032013236092371e-06,25,0
36,4,99374,15,10,0,3,1,4,1,0,0,-3.2015040313106767e-08,38,0
-999,1,56795,12,14,4,4,1,4,0,14084,0,4.450065611410122e-06,38,1
35,4,138992,12,14,2,10,2,4,1,7298,0,-2.6093462339531912e-06,38,1
-999,6,32921,11,9,4,12,1,4,1,0,0,1.5190836767328818e-05,38,0
26,4,397317,12,14,4,10,1,4,0,0,1876,1876.0000072323958,38,0
19,0,170653,11,9,4,0,3,4,1,0,0,6.4472475406420865e-06,21,0
51,4,259323,9,13,2,4,0,4,1,0,0,-1.2294009019846638e-05,38,1
42,2,254817,15,10,4,10,1,4,0,0,1340,1340.000016993679,38,0
37,7,48211,11,9,0,1,4,4,0,0,0,-8.030651442785116e-06,38,0
18,4,140164,1,7,4,12,3,4,0,0,0,1.7375424329870942e-05,38,1
36,4,128757,9,13,2,8,0,2,1,7298,0,2.0221950569255716e-05,38,1
35,4,36270,11,9,0,3,1,4,1,0,0,5.126565323637751e-06,38,1
58,5,210563,11,9,2,12,5,4,0,15024,0,1.0320130976794209e-05,38,1
17,4,65368,1,7,4,12,3,4,0,0,0,-3.082919763056869e-05,38,0
-999,2,160943,11,9,2,14,0,2,1,0,0,-1.950024154903774e-06,38,0
37,4,208358,11,9,2,3,0,4,1,0,0,1.1021656399195398e-05,38,1
35,4,153790,15,10,4,12,1,0,0,0,0,9.245102683140847e-06,38,1
60,4,85815,11,9,2,3,0,1,1,0,0,-1.2197233380998777e-05,38,0
54,5,125417,5,4,2,7,0,4,1,0,0,-2.9372203986787378e-06,38,1
37,4,635913,9,13,4,4,1,2,1,999,0,-2.5363655052011468e-05,38,1
50,4,313321,7,12,,12,1,4,0,0,0,4.1299284017275344e-06,38,0
38,4,182609,9,13,2,12,0,4,1,0,0,-1.8833284012268236e-05,30,0
45,4,109434,9,13,2,10,0,4,1,0,0,1.1304778427875717e-05,38,1
25,4,255004,0,6,4,3,1,4,1,0,0,1.1827248607174091e-05,38,0
31,4,197860,15,10,2,6,0,4,1,0,0,-4.7436681440649865e-06,38,0
64,0,187656,3,2,0,0,1,4,1,0,0,5.212759304540886e-06,38,0
90,4,51744,11,9,,8,1,2,1,0,2206,2205.999997829013,38,0
54,4,176681,11,9,2,1,0,2,1,0,0,2.4190839501486613e-06,38,0
-999,2,140359,13,1,4,7,1,4,0,999,0,-1.14725942324315e-05,38,1
18,4,243313,11,9,4,12,3,4,0,0,0,6.224926232399094e-06,38,0
60,0,24215,0,6,0,0,1,0,0,0,0,-1.6411852302244164e-05,38,1
66,6,167687,11,9,2,5,0,4,1,1409,0,-1.8299301623293818e-05,38,0
75,4,314209,8,11,6,1,1,4,0,999,0,-1.2192831666699186e-06,4,0
65,4,176796,11,9,0,1,1,4,0,0,0,-2.1124327961127954e-06,38,1
35,4,538583,1,7,5,14,1,2,1,999,0,2.7230173055175045e-06,38,0
41,4,130408,11,9,0,12,4,2,0,0,0,-6.4950749023632896e-06,38,0
25,4,159732,15,10,4,1,1,4,1,0,0,1.8856916657855893e-05,38,0
33,4,110978,15,10,0,3,2,3,0,0,0,1.60604989379442e-06,38,0
28,4,76714,14,15,4,10,1,4,1,0,0,2.3288177851622547e-06,38,0
59,7,268700,11,9,2,8,0,4,1,0,0,1.972338774070456e-06,38,0
40,7,170525,15,10,4,1,1,4,0,0,0,1.002909868948078e-05,38,0
41,4,180138,9,13,2,4,0,4,1,0,0,5.760174144844643e-06,19,1
-999,2,115076,12,14,2,4,0,4,1,999,0,4.420178997082793e-06,38,1
23,4,115458,11,9,4,14,3,4,1,0,0,7.359841048655909e-06,38,1
40,4,347890,9,13,,10,0,4,1,0,0,-1.8246146370471917e-05,38,1
41,6,196001,11,9,2,8,5,4,0,0,0,-1.7868476505857774e-05,38,1
24,7,273905,7,12,2,11,0,4,1,0,0,-7.605874530144385e-07,38,0
20,0,119156,15,10,4,0,3,4,1,0,0,-1.9767388268190217e-06,38,0
38,4,179488,15,10,0,3,1,4,1,0,1741,1741.0000057980985,38,1
56,4,203580,11,9,2,1,0,4,1,0,0,2.001690218350536e-07,0,0
58,4,236596,11,9,2,1,0,4,1,0,0,5.818649344542107e-06,38,1
32,4,183916,11,9,4,8,1,4,0,0,0,-1.2455952695612858e-05,38,0
-999,4,207578,7,12,2,13,0,4,1,0,1977,1976.9999998925543,38,1
45,4,153141,11,9,2,1,0,4,1,0,0,-1.3410567379577844e-05,0,1
41,4,112763,14,15,2,10,5,4,0,0,0,3.868579343714009e-06,38,1
42,4,390781,9,13,2,1,5,2,0,0,0,-1.8782850423633208e-05,38,0
59,2,171328,0,6,6,8,4,2,0,999,0,3.4831009854087966e-06,38,1
19,2,27382,15,10,4,1,3,4,1,0,0,-1.4689993808971123e-05,38,0
58,4,259014,15,10,4,14,1,4,1,0,0,-3.8352779322179555e-06,38,0
42,6,303044,11,9,2,5,0,1,1,0,0,8.949276914492491e-06,1,1
20,4,117789,11,9,4,8,3,4,0,0,0,2.273799885984175e-06,38,0
32,4,172579,11,9,5,8,1,4,0,0,0,-1.6456602237243012e-05,38,0
-999,4,187666,8,11,6,4,1,4,0,0,0,-6.723938446940241e-06,38,0
50,4,204518,5,4,0,3,1,4,1,0,0,-1.5013785254768021e-05,38,1
36,4,150042,9,13,0,10,3,4,0,0,0,-1.6947584996051935e-05,38,0
45,4,98092,11,9,2,12,0,4,1,0,0,1.176631761339743e-06,38,0
17,4,245918,1,7,4,8,3,4,1,0,0,5.602983435601032e-06,38,1
59,4,146013,15,10,2,12,0,4,1,4064,0,4.406059207156895e-06,38,0
26,4,378322,1,7,2,3,0,4,1,0,0,6.02626814879751e-06,38,0
-999,5,257295,15,10,2,4,0,1,1,0,0,-1.1910850885818459e-07,36,0
19,0,218956,15,10,4,0,3,4,1,0,0,-2.733902187499678e-06,2,0
-999,4,21174,11,9,,4,0,4,1,0,0,-1.0730693270623145e-05,38,1
33,4,185480,9,13,,10,1,4,0,0,0,-4.400796717504989e-06,38,1
33,4,222205,11,9,2,3,5,4,0,0,0,-1.3213483853261706e-05,38,0
61,4,69867,11,9,2,4,0,4,1,0,0,-8.451655271269194e-06,38,1
17,4,191260,6,5,4,8,3,4,1,1055,0,8.892687043804187e-07,38,1
50,6,30653,12,14,2,5,0,4,1,2407,0,-1.178060875409223e-06,38,0
27,2,209109,12,14,4,10,3,4,1,0,0,3.064728037894776e-05,38,0
30,4,70377,11,9,0,10,3,4,0,0,0,-1.3457955975050077e-05,38,0
43,4,477983,11,9,2,6,0,2,1,0,0,-1.2509872083178207e-06,38,0
44,4,170924,15,10,2,3,0,4,1,7298,0,-1.4237321112037244e-05,38,0
35,4,190174,15,10,4,4,1,4,0,0,0,-3.877858759699509e-06,38,1
25,4,193787,15,10,4,13,3,4,0,999,0,-3.4709318211518457e-06,38,0
24,4,279472,15,10,2,7,5,4,0,7298,0,8.448800262331382e-06,38,1
22,4,34918,9,13,4,10,1,4,0,0,0,-4.496665392179212e-06,11,0
42,2,97688,15,10,2,3,0,4,1,5178,0,-1.9131960005615893e-06,38,1
34,4,175413,7,12,0,12,4,2,0,0,0,-4.303179624722195e-06,38,1
-999,4,173960,9,13,0,10,1,4,0,0,0,-1.401051744057209e-05,38,0
21,4,205759,11,9,,6,3,4,1,0,0,-6.521023717931075e-06,38,0
57,1,425161,12,14,2,12,0,4,1,15024,0,-3.819367150838177e-06,38,1
41,4,220531,14,15,2,10,0,4,1,999,0,7.382588340638457e-07,38,1
50,4,176609,15,10,,8,1,4,1,0,0,5.589472872248251e-06,38,0
25,4,371987,9,13,4,4,1,4,0,0,0,-2.345965097110292e-06,38,0
50,4,193884,5,4,2,3,0,4,1,0,0,-2.5217626398134682e-06,7,0
-999,4,200352,9,13,2,10,0,4,1,0,0,-1.720813158487053e-05,38,1
31,4,127595,11,9,0,10,1,4,0,0,0,5.3973451725635115e-06,38,0
29,2,220419,9,13,4,11,1,4,1,0,0,-6.958978871500408e-06,38,0
21,4,231931,15,10,,12,3,4,1,999,0,7.471232382297756e-06,38,0
27,4,248402,9,13,4,13,4,2,0,0,0,1.3164399478541958e-05,38,0
65,4,111095,11,9,2,14,0,4,1,0,0,-1.8791502669300523e-06,38,0
37,5,57424,9,13,0,12,1,4,0,0,0,-1.0233112807658922e-05,38,1
39,0,157443,12,14,2,0,5,1,0,3464,0,-1.6698613086298134e-07,0,0
24,4,278130,11,9,4,3,3,4,1,0,0,3.487019980186385e-06,38,0
38,4,169469,11,9,,12,1,4,1,0,0,-3.1552000124672093e-06,38,0
48,4,146268,9,13,2,1,0,4,1,7688,0,-5.64038409379324e-06,38,0
21,4,153718,15,10,4,8,1,1,0,0,0,5.6353221069741374e-06,38,1
31,4,217460,11,9,2,14,0,4,1,0,0,4.975782746941952e-06,38,1
55,4,238638,11,9,2,12,0,4,1,4386,0,-3.462896403271577e-06,38,1
24,4,303296,15,10,2,1,5,1,0,0,0,-1.65406616526069e-05,24,0
43,4,173321,11,9,0,1,1,4,0,0,0,4.563781853794524e-06,38,0
26,4,193945,7,12,4,13,1,4,1,0,0,-7.673271934413766e-06,38,0
46,4,83082,7,12,,10,1,4,0,0,0,2.14341075370309e-06,38,0
35,4,193815,7,12,2,1,0,4,1,0,0,1.5115723167903696e-06,38,1
41,5,34987,15,10,2,5,0,4,1,0,0,-1.8889474270426654e-05,38,1
26,4,59306,9,13,4,12,1,4,1,0,0,8.108168441157341e-07,38,0
34,4,142897,12,14,2,4,0,1,1,7298,0,5.145325253744555e-06,35,1
19,0,860348,15,10,4,0,3,2,0,0,0,6.371524153104869e-06,38,0
36,6,205607,9,13,0,10,1,2,0,0,0,1.173657510963127e-06,38,0
22,4,199698,15,10,4,12,3,4,1,0,0,-1.9771860439495903e-05,38,0
24,4,191954,15,10,4,7,1,4,1,0,0,1.2770810621866374e-05,38,0
77,6,138714,15,10,2,12,0,4,1,999,0,4.110226675425805e-06,38,0
22,4,399087,4,3,2,7,2,4,0,0,0,-1.2033193293704774e-05,25,0
29,4,423158,15,10,4,13,1,4,0,0,0,-7.877630401582736e-06,38,0
62,4,159841,11,9,6,8,1,4,0,0,0,2.312242092945207e-06,38,0
39,6,174308,11,9,2,4,0,4,1,0,0,6.797841932982557e-06,38,0
43,4,50356,15,10,2,3,0,4,1,0,1485,1484.9999951203715,38,1
35,4,186110,11,9,0,14,1,4,1,0,0,8.255254073790749e-06,38,1
-999,4,200381,1,7,,4,1,4,0,0,0,-1.7927668291001778e-05,38,0
76,6,174309,12,14,2,3,0,4,1,0,0,-1.0424590110937873e-05,38,0
63,6,78383,11,9,2,5,0,4,1,0,0,-2.0643640098420827e-05,38,1
23,0,211601,8,11,4,0,3,2,0,0,0,-8.974051428696933e-06,38,0
43,4,187728,15,10,2,10,5,4,0,999,1887,1887.0000150807718,38,0
58,6,321171,11,9,2,6,0,4,1,999,0,2.0578022345854024e-05,38,0
66,4,127921,11,9,4,14,1,4,1,2050,0,2.3459046823044267e-06,38,0
41,4,206565,15,10,4,3,1,2,1,0,0,-6.384292072685546e-06,38,0
26,4,224563,9,13,4,1,1,4,1,0,0,-2.2163990085094343e-06,38,0
47,4,178686,8,11,4,8,1,4,1,0,0,4.733398908330223e-06,38,0
55,2,98545,0,6,2,1,0,4,1,0,0,-1.5629808516390827e-05,38,0
-999,4,242606,11,9,2,14,0,4,1,0,0,-5.7249917598120485e-06,38,0
17,4,270942,4,3,4,8,2,4,1,0,0,1.4348930744502492e-05,25,0
30,4,94235,11,9,4,3,2,4,1,0,0,-1.0457100693283627e-05,38,1
49,4,71195,12,14,4,10,1,4,1,0,0,-7.49024899261543e-06,38,1
