race,gender,loan_type,applicant_age,lien_status,LV,DI,income_brackets,action_taken
1,0,5.000000630023683,0,1.0,0.9999853655799816,5,2,1
1,1,2.999981080537467,0,1.0,0.9999940929298604,3,1,1
0,0,4.999980414085596,0,1.0,3.1560500359034054e-06,5,1,1
1,1,1.9999998768070708,1,1.0,1.000012058536209,2,3,1
1,1,1.9999977903268222,0,1.0,0.9999927091616225,2,2,1
1,0,7.999998965798865,1,1.0,0.9999934585355993,8,2,0
1,1,-9999.000000279824,0,1.0,0.9999785271097026,-9999,3,1
1,0,2.000002255598395,0,1.0,0.9999983733407946,2,2,1
0,0,5.000009476496098,0,,-1.0624144118595632e-05,5,1,1
0,1,4.999988888950991,0,1.0,-5.294394273660738e-06,5,2,1
1,1,4.999988280284071,-9999,1.0,0.9999912313922183,5,2,1
1,1,1.999989066761421,0,2.0,0.9999990573744575,2,3,0
0,0,2.0000028891666717,1,1.0,-1.7577283913566313e-05,2,2,1
1,1,2.0000124494737865,1,1.0,0.999985329547546,2,3,1
1,1,3.9999956866056174,0,1.0,1.0000212924711203,4,2,1
0,1,6.999974983001558,0,1.0,-1.2874225812740311e-05,7,1,1
0,0,4.999982960071374,0,1.0,-1.0967855784546397e-05,5,2,1
1,1,4.999991669632772,0,2.0,1.0000183691352833,5,3,0
0,1,2.9999944227111253,0,,2.905067169240407e-05,3,1,1
1,1,3.9999959161137273,0,-9999.0,0.9999882843337118,4,1,1
1,1,4.00000038581123,1,1.0,0.9999963175104322,4,4,1
0,0,5.999996882536692,0,1.0,3.415555509405096e-06,6,1,1
0,1,5.000010493396106,1,1.0,1.7286976444055925e-05,5,1,1
0,0,4.999993239826943,0,1.0,-9.868570784282375e-06,5,3,1
1,1,1.9999913768204052,1,1.0,0.9999975472215406,2,2,1
1,1,5.000004788755385,1,1.0,1.0000077733757606,5,3,1
1,1,0.9999846435793007,0,1.0,1.0000043476607448,1,2,1
1,1,-9998.999996103083,-9999,1.0,0.9999962384392876,-9999,3,0
1,0,3.0000010255318372,-9999,1.0,0.9999986617703548,3,2,1
1,0,4.9999985255751005,0,1.0,0.9999862510419163,5,2,1
-9999,0,8.00001588276107,0,-9999.0,-9999.000002381737,8,0,0
1,1,2.999993777925547,0,1.0,0.9999973361250999,3,2,1
1,1,6.000020602981706,0,1.0,1.0000023216988962,6,3,1
0,0,6.999997745685508,0,1.0,-5.553272188190161e-06,7,0,1
1,1,1.9999872298355503,0,1.0,1.0000047153852254,2,3,1
1,1,7.00000069919581,0,1.0,1.0000101271581783,7,3,1
1,1,5.999989237547997,0,,1.0000015542932768,6,2,1
1,1,4.999992482441522,0,,1.000003517564084,5,3,1
1,1,-9998.999996029666,1,1.0,1.0000005315534757,-9999,2,1
0,0,3.0000055558208865,0,1.0,8.439309141418044e-10,3,2,1
1,1,1.9999937783229975,0,1.0,0.9999927844196645,2,4,1
0,0,4.00000987405145,0,1.0,3.1649426167330803e-06,4,2,1
0,0,7.00001157507758,0,1.0,-9.728659841348948e-07,7,1,1
0,1,7.0000143630175655,0,,2.0931683089305948e-05,7,2,1
0,0,7.000005294134072,1,1.0,1.5733549024752425e-05,7,1,1
1,1,2.0000136342871206,1,1.0,1.0000038584655255,2,4,1
1,1,4.999981192015721,0,1.0,0.999992369427903,5,2,1
1,1,1.9999968209345138,0,1.0,0.9999888758852802,2,2,1
0,1,5.999991329947437,0,1.0,1.1911429530888652e-05,6,2,1
-9999,1,-9998.999998807742,-9999,-9999.0,-9998.999997372508,-9999,3,0
1,1,3.999994285507808,0,1.0,1.000004801434034,4,2,1
1,1,2.9999983384215807,1,1.0,0.9999825541401303,3,3,1
1,1,6.000018821748802,0,1.0,1.0000092743848157,6,2,1
0,0,4.999998302802036,1,1.0,4.54420338214363e-06,5,1,1
1,0,6.000004137923172,0,1.0,0.9999888956931559,6,1,1
1,0,0.9999976773067007,1,,0.9999952847519255,1,4,1
1,1,5.00000075713288,0,1.0,1.0000026371720436,5,3,1
1,1,2.0000000601668044,1,,1.0000005246679835,2,3,1
1,1,3.0000044832406596,0,1.0,0.999997078288142,3,3,1
-9999,1,3.0000116530753553,1,,-9999.000001034883,3,3,1
1,1,2.000016473939976,1,1.0,0.9999974802262179,2,3,1
1,1,3.0000030962008193,1,1.0,1.0000015256251211,3,3,1
1,1,2.00000589546886,0,1.0,1.00001471491973,2,2,1
1,1,2.999988491354908,0,1.0,0.9999743334155907,3,3,1
1,1,1.9999991212325758,0,1.0,0.9999976314973549,2,3,1
1,1,4.000009402894649,0,,1.0000017651242137,4,3,1
1,1,2.000008659686384,0,1.0,1.000002959939897,2,3,1
1,0,5.000002116097328,0,1.0,0.9999962808541868,5,3,1
1,0,6.000008863939596,1,1.0,0.9999824327821752,6,2,1
-9999,0,6.00000490766709,0,1.0,-9998.999996720046,6,2,1
1,0,6.000012003062583,1,1.0,1.0000172735021415,6,3,1
0,0,7.00000289359157,0,1.0,-1.5338614049161376e-05,7,3,1
1,1,4.999996443016844,1,1.0,1.000008638280137,5,2,1
1,1,4.000003358412569,0,1.0,0.9999967147477687,4,3,1
0,0,2.9999706940562416,0,1.0,-6.132434582884731e-07,3,2,1
1,0,5.000003828857364,0,1.0,0.999989471014893,5,1,1
1,0,-9999.000036484129,1,1.0,0.9999966554382764,-9999,2,1
0,0,6.999982765365926,0,1.0,1.3000445946989586e-05,7,0,1
0,1,6.000004517686009,1,1.0,5.826552419877071e-06,6,3,1
1,1,5.000004775293372,0,1.0,1.000017323116054,5,1,1
1,0,5.999988375712198,1,1.0,1.0000117741188899,6,1,1
1,1,2.9999928789795813,0,1.0,1.0000043908667893,3,3,1
1,0,6.000013705409886,0,-9999.0,1.0000174393452617,6,1,1
1,0,1.9999951596986842,0,1.0,1.0000043899315874,2,4,1
0,0,7.000022429203124,-9999,1.0,8.27988176797059e-06,7,2,0
1,0,2.9999999808014683,1,1.0,0.9999970342904646,3,2,1
0,0,7.0000040803617685,1,1.0,6.654581585920484e-07,7,1,1
0,0,3.000016168743985,1,1.0,-6.974238233002769e-06,3,3,1
1,1,5.000001310271162,1,1.0,1.000009895839346,5,3,1
0,0,5.999989976560193,0,1.0,-1.1783036231148656e-05,6,2,1
1,0,2.999998902725483,0,1.0,1.0000078235034242,3,2,1
1,1,5.999999643892638,0,1.0,0.9999980934894249,6,1,1
0,0,7.999986352583478,1,1.0,1.1712470934673195e-05,8,1,0
1,1,2.9999974416792865,-9999,1.0,1.0000075086898874,3,3,1
0,1,3.99999257807906,0,1.0,1.8206461576468018e-05,4,2,0
0,1,1.0000092435775718,1,1.0,7.3077469113864486e-06,1,4,1
1,0,3.0000003461187417,1,1.0,0.9999842795974435,3,2,1
-9999,1,0.9999971720425085,0,-9999.0,-9999.000000669532,1,3,1
1,1,2.9999989381806937,0,1.0,0.999988279928074,3,2,1
1,1,8.000002231220185,1,1.0,0.9999948172015763,8,0,0
1,0,2.0000061681419967,0,1.0,1.0000151122843328,2,3,1
0,0,-9999.000009997122,0,1.0,6.3753381089769605e-06,-9999,2,1
1,1,1.999989584123674,0,1.0,0.9999930106957142,2,3,1
1,1,5.000011046792154,0,1.0,0.9999898628263356,5,3,1
1,1,2.999995876631278,0,1.0,1.0000003278209288,3,3,0
1,1,1.999985831579074,1,1.0,0.9999878343985061,2,2,1
0,0,5.000004438127094,0,1.0,-6.711402773965812e-06,5,1,1
1,1,6.00000463369806,1,1.0,1.0000031200947155,6,3,1
0,0,4.999984692847428,1,1.0,1.1553120361066963e-05,5,2,0
-9999,1,6.000002294817155,0,2.0,-9998.999993912385,6,3,1
1,1,3.0000073558309244,1,1.0,0.9999770871049141,3,3,1
1,0,6.000003743864517,0,1.0,1.0000030436672902,6,1,1
1,1,5.000006319814838,0,1.0,1.0000007203357324,5,2,0
1,0,5.999985957309019,0,1.0,1.0000041389028538,6,2,1
1,1,-9998.9999966896,-9999,1.0,1.0000161620968164,-9999,3,1
1,1,0.9999969738024053,0,,0.9999793676172319,1,3,1
1,1,4.999995172098413,1,1.0,0.999994088965748,5,3,1
0,0,5.000008705556094,0,1.0,5.909063227933547e-06,5,0,1
1,1,5.000014792745107,0,2.0,0.9999841840560054,5,3,1
0,1,4.000017943700546,1,,1.475949048053509e-05,4,1,0
1,0,5.000013148078715,0,1.0,1.000003683566127,5,2,1
-9999,0,4.9999989026581835,0,,-9998.99999153416,5,3,0
1,0,2.0000035272016303,1,1.0,0.9999942905633847,2,3,1
0,0,2.000007668228718,0,1.0,8.137636899662106e-06,2,1,1
0,0,4.000001211779493,0,1.0,1.0684715559890385e-05,4,0,1
1,1,5.000001307641879,0,1.0,1.0000023287802013,5,1,1
1,0,5.000008237531318,0,1.0,1.000002344008927,5,4,1
1,1,4.99999940717354,0,1.0,1.0000027034323928,5,2,1
1,1,1.9999927071306363,0,1.0,0.9999913665473527,2,3,1
1,1,4.999995855269342,1,,0.9999985247131976,5,3,1
0,1,7.000006339103777,0,-9999.0,-1.5252253245235881e-06,7,1,1
1,1,6.000000029932912,0,-9999.0,1.0000038339386434,6,3,1
0,1,4.000003402099769,1,,9.998242469102947e-06,4,1,0
1,1,6.000006700792422,0,1.0,0.9999894146391802,6,2,1
1,1,2.999996251585371,0,1.0,0.9999987499096968,3,1,1
1,1,2.0000075624816365,0,1.0,1.0000148145554766,2,2,1
1,0,6.000003788426034,1,1.0,0.9999925641177119,6,2,1
0,0,2.999987651869131,0,1.0,-8.222500172903204e-06,3,1,1
1,0,2.000014423047912,1,1.0,1.0000020230619182,2,3,1
1,1,-9999.000005007447,0,-9999.0,1.0000084438519048,-9999,3,1
0,0,2.999983449046568,0,1.0,1.1426055560659332e-07,3,2,1
1,1,4.999989549562904,1,1.0,1.0000132896059044,5,1,1
1,1,4.999989789548393,1,,1.0000085679398256,5,3,1
1,0,2.0000005217331864,0,1.0,1.000008418200669,2,4,1
1,0,4.999997261494944,0,,1.0000055411650133,5,2,1
0,1,-9999.000003368319,0,1.0,2.3276531003460853e-05,-9999,2,1
1,1,3.0000061970196548,0,1.0,0.9999979483831113,3,2,1
1,1,2.000003398753612,-9999,1.0,0.9999799647770793,2,4,1
1,1,2.0000031604787063,1,1.0,1.000016042543615,2,3,1
0,1,1.0000040982845733,0,1.0,-4.576994309568257e-06,1,3,1
1,1,6.00000616134668,1,1.0,1.0000010788044433,6,3,1
1,1,4.9999789204665825,0,1.0,1.0000130955068487,5,1,1
-9999,0,6.999996355617477,0,1.0,-9999.000016022595,7,2,1
0,0,-9999.000021802101,0,1.0,-1.2516472141061395e-05,-9999,2,1
1,0,2.000000360599268,0,1.0,0.9999839872206288,2,3,1
1,1,3.9999999536702777,0,,0.9999920586370997,4,3,1
1,0,2.000010455322748,0,1.0,1.00000439636606,2,1,1
1,0,4.000011876343927,0,1.0,1.0000052418784282,4,3,1
0,1,5.000002027750482,1,1.0,2.762741793285538e-06,5,2,0
1,0,2.999994996389226,1,1.0,0.9999858723411611,3,3,1
1,0,3.0000048516111253,0,1.0,0.9999768989656337,3,3,1
0,0,3.9999947208236266,0,1.0,5.435358539038227e-07,4,2,1
0,1,6.999999986073486,0,1.0,-4.717760336383358e-06,7,1,1
0,0,7.00000986136317,1,-9999.0,4.593857717166118e-06,7,0,1
0,0,5.99999442228654,0,,7.019536262212702e-06,6,2,0
-9999,1,6.000008056786393,0,1.0,-9998.999998617586,6,1,1
1,1,1.0000067740136869,0,1.0,1.0000076013308539,1,4,1
1,1,6.999990452081828,0,1.0,1.0000022921137413,7,2,1
1,1,5.000009738941282,0,,1.000005300647056,5,3,1
1,0,3.000006985663454,0,,0.9999929532673713,3,3,1
1,1,6.000001019258874,0,1.0,0.9999982038858617,6,2,1
0,1,1.9999923767654197,0,,1.9677609665695726e-06,2,3,1
-9999,0,2.9999914079398144,0,1.0,-9998.999991794715,3,3,1
1,1,0.999994623374231,1,1.0,0.9999960625882778,1,3,1
1,0,-9998.999994574055,0,1.0,1.0000052116725573,-9999,2,1
0,0,3.999990443748326,0,1.0,-2.6583879191537904e-06,4,2,1
1,0,3.000004375122486,0,1.0,0.9999988245783267,3,3,1
0,1,6.999987582444711,0,1.0,8.29519042024073e-06,7,2,1
1,1,1.9999979593141557,0,1.0,0.9999800693962895,2,3,1
1,0,7.000001096477546,1,1.0,0.9999870352767193,7,1,0
0,1,2.0000244513014507,0,1.0,-1.4821853974428208e-05,2,3,1
1,1,4.999986226843445,1,1.0,0.9999766638388016,5,3,1
1,1,5.000014720145665,0,1.0,0.9999932173555984,5,2,1
0,1,-9998.999998501577,1,1.0,7.494338997277405e-06,-9999,3,0
0,1,5.00000411171918,0,1.0,-2.848840663825748e-06,5,2,1
0,1,2.000001183479134,0,1.0,1.9779008194185214e-06,2,1,1
1,1,5.000004447268182,0,1.0,1.000010892174967,5,3,1
0,0,0.9999984631489564,1,1.0,1.3276861322676917e-05,1,3,0
0,1,2.0000145405018146,0,1.0,-6.913793472613955e-07,2,2,0
1,1,3.999995435288558,1,1.0,1.0000135358588957,4,3,1
0,0,5.000011322345721,1,1.0,9.212665843410921e-07,5,2,1
1,1,2.999993556328798,1,,0.9999916260177617,3,4,1
1,1,3.999999397481536,0,1.0,0.9999940559964781,4,3,1
1,1,2.999989280374477,1,1.0,0.9999851946348743,3,2,1
0,1,5.000004550237204,1,1.0,-8.881338537336524e-06,5,0,1
1,0,2.0000144512595694,0,1.0,0.9999964198331193,2,2,1
1,0,4.999999226438201,0,1.0,1.0000080358501937,5,1,1
1,0,1.999998031143013,1,1.0,1.0000172076983116,2,3,1
1,0,5.999988853830369,0,1.0,0.9999861781848463,6,3,1
1,0,4.999997707073464,0,1.0,1.0000039282746827,5,3,1
0,0,4.999984072057403,0,1.0,-1.0405439391575344e-05,5,1,1
1,1,1.9999908712201329,-9999,1.0,1.0000047469708846,2,2,1
1,0,5.000002267860461,1,1.0,0.9999986891334931,5,3,1
0,1,3.0000131901319773,0,1.0,-1.8309058258475305e-05,3,2,1
1,0,5.000028092108613,1,1.0,1.0000092829699156,5,3,1
1,1,4.99999413414915,0,1.0,0.9999939499928719,5,2,1
1,1,1.0000143530015664,0,1.0,0.9999946609976162,1,3,1
0,0,4.000002437524804,1,,-1.06975241128969e-05,4,2,1
1,0,4.999998487523532,0,1.0,0.9999934571672331,5,2,1
1,1,5.000004325944517,0,1.0,1.000004278904407,5,3,1
1,1,3.0000006191648367,0,1.0,0.9999981075565907,3,1,1
1,0,3.0000011039572563,0,1.0,1.0000032866200228,3,2,1
0,0,7.999995916668372,1,1.0,3.619218539288437e-06,8,1,0
1,0,4.999986018903402,0,,1.0000132066165552,5,1,1
-9999,0,6.999984563747975,0,1.0,-9999.000003427862,7,1,1
1,1,2.000006532448833,0,1.0,0.9999852314218315,2,3,1
1,1,4.999997232999099,0,1.0,1.0000106722241657,5,2,1
0,1,0.9999940391110035,1,1.0,-3.314881720972547e-06,1,3,1
1,0,5.000000085056267,0,1.0,1.0000111459244458,5,3,1
1,1,7.000007949322529,0,1.0,1.000003833771132,7,2,1
0,1,6.000001803639431,0,1.0,-1.3113753020334494e-06,6,2,1
1,1,-9999.000006560549,0,1.0,1.0000034877589405,-9999,3,1
0,0,4.000012262929556,1,1.0,1.9510125601262997e-05,4,1,1
1,0,4.00001579185503,-9999,1.0,1.0000207698052905,4,3,1
1,1,4.000004945566554,0,1.0,1.0000006938113513,4,3,1
1,1,3.0000097366351133,1,1.0,1.0000016019059332,3,4,1
1,0,4.000012419599968,0,1.0,1.0000107624015746,4,3,1
1,1,5.000011300993164,0,1.0,0.9999915433896723,5,2,1
1,1,-9998.999993859008,0,1.0,1.0000033307037262,-9999,3,1
0,1,-9998.999994016529,0,1.0,-2.5862847953856406e-07,-9999,1,1
1,1,5.000005196605733,0,1.0,1.0000031390821145,5,2,1
0,1,1.9999890266232545,0,,-8.333688059494058e-06,2,3,1
1,0,7.000007007231568,0,2.0,0.9999841043250669,7,2,0
1,0,4.999986441860289,0,1.0,0.99997927016564,5,1,1
1,1,0.9999920540054488,0,1.0,0.9999888261588701,1,3,0
1,1,-9998.999986964349,1,,0.9999954132471506,-9999,1,1
0,0,-9998.999991597799,0,1.0,-2.9319158664876187e-06,-9999,3,1
1,1,5.000014873982897,0,1.0,1.0000193723116242,5,0,1
0,0,3.999997283256163,0,1.0,1.1059933699072982e-05,4,3,1
1,0,2.9999884775115873,0,1.0,0.9999903790888366,3,2,1
-9999,1,3.999997595628029,0,1.0,-9998.999996522916,4,1,0
0,1,-9998.999998979687,1,1.0,-4.070782363503251e-06,-9999,3,1
1,0,7.000000789887164,1,,0.9999971563616196,7,1,1
-9999,1,3.0000113368047874,1,1.0,-9998.999998146743,3,2,1
0,1,5.99999638729575,1,1.0,6.1917111697539336e-06,6,2,1
1,0,5.000003520344718,0,1.0,0.9999966074151612,5,0,0
0,1,2.9999901137285057,0,1.0,1.0638515327343586e-05,3,2,1
1,0,2.0000045031727804,0,-9999.0,0.9999885806177385,2,3,1
1,0,6.000000031085502,1,-9999.0,1.0000000633906236,6,3,1
0,0,2.9999925018666174,0,1.0,2.5976737265958326e-05,3,0,0
1,1,1.9999976417063783,-9999,1.0,1.0000022307974263,2,2,1
0,1,1.9999981582425348,0,,1.4332145066061729e-05,2,1,1
1,1,4.999997298448706,0,,1.0000009152017817,5,2,1
1,0,6.000017713412423,1,1.0,1.0000058077709533,6,2,1
1,1,3.9999990155399767,0,1.0,0.9999994321680561,4,4,1
1,0,0.9999975610388983,-9999,-9999.0,0.9999982959241883,1,2,0
0,1,3.9999790254904237,1,,-7.794823967254197e-06,4,1,1
1,0,4.99999105792648,0,1.0,1.0000043030135897,5,1,1
1,1,1.9999973692657553,0,1.0,0.9999914846281082,2,2,1
1,1,5.999993141473238,0,1.0,1.000006655852363,6,1,1
1,1,2.0000138170759336,1,,1.0000108528700444,2,3,1
-9999,1,5.999998350622246,1,1.0,-9998.999996334685,6,2,1
1,0,3.0000128844424934,1,1.0,0.9999971375126644,3,1,1
1,1,6.00000061704634,1,1.0,1.000004539655793,6,3,1
0,1,5.000000372278365,1,-9999.0,-3.086730555464126e-06,5,2,1
1,1,1.999999112035523,1,,1.0000093554712546,2,3,0
1,1,2.0000000379625162,0,1.0,0.9999816859391578,2,3,1
1,1,6.00001718795003,1,1.0,0.9999966439263188,6,3,1
0,1,1.9999768038927326,0,1.0,-1.990811995123998e-05,2,0,1
0,1,5.999979984542556,1,1.0,-1.4950608302272051e-05,6,3,1
0,0,2.9999945682916893,1,1.0,1.3638622298139094e-05,3,2,0
1,1,5.000000145278819,1,1.0,1.0000089518498196,5,2,1
1,1,5.000006901044248,0,1.0,0.9999928051976672,5,3,1
1,1,5.00000473087198,0,1.0,0.9999849749654396,5,3,1
0,0,3.9999961575408713,1,1.0,-2.9645288378416515e-05,4,3,1
1,1,2.0000101904369325,0,1.0,0.9999945650449207,2,2,1
1,1,6.000010301954031,1,1.0,1.0000242041501224,6,3,1
1,1,5.000001840578313,0,1.0,1.0000043488427146,5,2,1
1,0,6.000009626575725,1,1.0,0.9999944042771395,6,2,1
0,0,7.000002726452634,0,1.0,4.650802095003063e-06,7,0,1
1,1,2.999994385169732,0,1.0,0.99998439041647,3,3,1
1,1,5.00000697816839,1,1.0,0.999997026766373,5,2,1
1,0,3.0000011061312257,-9999,1.0,1.0000009947747301,3,3,1
1,1,3.0000000133984677,0,,0.9999991389934818,3,2,0
1,0,5.000014729535722,0,1.0,1.000007908061217,5,3,1
1,1,1.9999754912787147,0,-9999.0,1.0000034464522625,2,3,1
0,1,3.9999858231582985,0,1.0,6.68326018107997e-06,4,1,1
1,0,4.999988129295736,0,1.0,0.9999931162771777,5,2,1
0,0,-9999.000003632607,-9999,1.0,8.978154084105482e-06,-9999,0,1
1,1,2.9999974539183025,1,1.0,1.0000162893694762,3,3,1
1,0,4.999984926743522,1,1.0,0.9999902985048035,5,2,1
0,0,2.999990148419677,0,1.0,-8.876956557145599e-06,3,2,1
1,1,1.9999913915832148,1,1.0,1.0000133578433632,2,3,1
1,1,4.00002457424092,-9999,,0.999998086560133,4,1,1
1,0,5.000018017419477,0,1.0,1.0000140382139207,5,2,1
1,1,1.999995882505823,0,1.0,0.999995574642881,2,3,1
1,1,2.999996364167097,1,1.0,1.0000145504557627,3,4,1
1,1,4.999988507960028,0,1.0,1.0000013148581681,5,3,1
1,0,5.999980918695868,1,,1.0000025822882332,6,2,1
1,0,1.9999988311981358,0,1.0,1.0000156471802166,2,2,1
1,1,4.999990021480167,1,1.0,0.9999963822952256,5,2,1
1,0,1.9999991514946833,0,1.0,0.9999905887790408,2,2,1
1,0,4.999983997941509,0,,0.9999955143579197,5,2,1
1,0,1.999992380255417,0,1.0,1.0000045233395065,2,4,0
0,0,4.000001486270953,0,1.0,-1.5657590721805143e-05,4,2,1
1,0,3.000003662095978,0,1.0,1.0000063747090264,3,2,1
1,1,8.000004174719587,0,1.0,0.9999946122868238,8,2,1
1,0,4.999986795110159,0,1.0,1.0000114781266074,5,2,1
0,1,7.000008546857301,0,1.0,-2.3942603049004717e-05,7,1,1
1,1,2.999991997883034,0,1.0,0.999992134342249,3,3,1
1,0,3.000006328579146,1,,0.9999831353184877,3,3,1
1,1,1.9999998936132337,0,1.0,0.9999917377053363,2,3,1
0,1,4.999986236125009,1,1.0,2.4766590110894314e-06,5,2,1
0,0,3.999996838022954,0,1.0,-1.7922662544975492e-06,4,1,1
1,1,2.0000036536374206,-9999,1.0,0.9999974662243105,2,3,1
1,1,2.0000061296538045,0,1.0,0.9999984081512862,2,2,1
1,1,4.9999985901210255,0,-9999.0,1.0000020338824063,5,3,1
-9999,0,6.000015317788906,0,1.0,-9999.000010085361,6,2,1
1,1,4.00001007510771,1,,1.000007068496409,4,3,0
1,1,4.999997433458836,1,1.0,1.0000066266597039,5,3,1
1,1,-9998.999992498782,0,1.0,1.0000038503793767,-9999,2,1
0,0,7.000019337934852,1,1.0,5.565334427512632e-06,7,1,1
1,0,5.000019604846008,0,1.0,1.0000029641800081,5,3,1
1,1,1.9999877200011917,-9999,,1.0000203507330274,2,3,1
1,0,1.9999907346688883,0,1.0,0.9999991290582895,2,2,1
1,1,2.0000148491878673,1,1.0,0.9999969291678167,2,3,1
1,1,3.9999894171894916,0,1.0,0.9999924647241965,4,2,1
0,0,5.999986774588667,0,1.0,-1.032262670577837e-05,6,2,1
1,1,1.9999951380586931,1,1.0,0.999987555282124,2,3,1
1,0,3.0000042022670947,0,1.0,0.9999911120268677,3,3,1
0,0,2.9999989760329338,0,1.0,-7.068038165207132e-07,3,3,1
1,1,1.999993494363796,0,1.0,1.000003342951285,2,3,1
1,0,5.999993257875383,0,1.0,1.0000005114205854,6,2,0
1,0,4.9999928766293555,1,1.0,0.9999923446472258,5,2,1
0,1,3.9999912049037136,0,1.0,9.001845640199633e-06,4,1,1
1,0,1.0000228163287728,0,1.0,1.000007394126723,1,1,1
0,0,7.000002975110712,0,-9999.0,-1.59648307422017e-06,7,1,1
1,0,2.000008867590544,0,1.0,0.9999934708385534,2,3,0
0,0,3.9999951092253188,0,1.0,5.484279208297996e-06,4,2,1
1,0,1.999998140433228,0,1.0,1.000001879735875,2,2,1
1,1,1.9999928644601863,1,1.0,0.9999855187274058,2,2,1
1,1,4.9999734829166504,1,1.0,0.9999993201974402,5,3,1
0,1,3.9999862199072314,0,1.0,2.6203581207438106e-06,4,3,1
1,1,1.9999818938132001,0,1.0,0.9999910030521352,2,3,1
0,0,5.999977502162221,0,1.0,1.8984339283744302e-06,6,2,1
1,0,6.999988046410257,0,1.0,0.9999854517751474,7,2,0
1,1,4.000013249556794,0,1.0,1.000013361861,4,3,1
1,0,2.9999995556383228,0,1.0,1.0000124794998506,3,2,1
0,1,5.0000129056376235,0,1.0,-2.525173343029648e-06,5,3,1
0,0,3.000004109825769,0,1.0,3.6345433783907318e-06,3,3,1
1,1,5.000007825588257,0,1.0,0.999975900780342,5,1,1
0,1,3.999990991030047,0,1.0,-1.156347660265333e-05,4,2,1
1,1,3.000005239509542,0,1.0,0.9999970622107984,3,2,1
1,1,4.000007287142341,0,1.0,0.9999892786697857,4,2,1
1,1,1.9999942335270777,0,1.0,1.0000071439648264,2,3,1
1,0,2.000005595403706,0,1.0,1.0000199729653074,2,3,1
1,1,5.000005661877585,1,1.0,0.9999882338528057,5,4,1
1,1,4.999994504473789,0,,0.9999916253659592,5,2,1
1,0,5.999988772315677,0,1.0,1.0000023544836831,6,2,1
0,1,6.999988158716681,0,1.0,1.6111161484996208e-05,7,1,1
1,1,2.0000008650554193,1,1.0,0.9999877762568746,2,3,1
-9999,1,5.000003270098688,0,1.0,-9998.999997509638,5,2,1
1,1,4.999992074741695,0,1.0,1.0000182129885082,5,2,1
0,0,2.000000265853413,1,1.0,-1.6517591481792674e-05,2,1,1
1,1,2.0000057053703615,0,1.0,0.9999871893079315,2,3,1
0,0,5.000006181907147,0,,-4.236066064608383e-06,5,2,1
0,0,3.0000155188012014,0,1.0,-5.205884128554111e-06,3,0,1
1,1,1.0000127698083219,0,1.0,1.0000081260128775,1,3,1
0,0,2.9999899870856725,0,1.0,2.4165971982083808e-06,3,1,1
1,1,3.0000168358620956,1,1.0,0.9999822503794036,3,3,1
0,1,2.9999946902349546,0,1.0,5.154104029008109e-06,3,1,1
1,0,5.0000104487281245,0,1.0,0.9999942246111264,5,1,1
1,0,2.0000006798662606,0,1.0,1.0000127444721694,2,2,1
1,0,4.9999958785062155,1,1.0,0.9999937241246356,5,1,1
-9999,0,6.999981923031402,-9999,1.0,-9999.000006366154,7,1,1
0,0,3.999998284354898,1,1.0,5.411316108045314e-06,4,1,1
1,1,5.999984406167647,-9999,1.0,1.0000076292648234,6,2,1
